Date,Time,Temperature(°C),Interval
2025-03-28,12:26:34,-,10 min
28-03-2025,12:26:34,25.85,10 min
28-03-2025,12:36:34,25.76,10 min
28-03-2025,12:46:34,25.85,10 min
28-03-2025,12:56:34,25.85,10 min
28-03-2025,13:06:34,25.77,10 min
28-03-2025,13:16:34,25.85,10 min
28-03-2025,13:26:34,25.85,10 min
28-03-2025,13:36:34,25.85,10 min
28-03-2025,13:46:34,25.85,10 min
28-03-2025,13:56:34,25.85,10 min
28-03-2025,14:06:34,25.84,10 min
28-03-2025,14:16:34,25.84,10 min
28-03-2025,14:26:34,25.85,10 min
28-03-2025,14:36:34,25.84,10 min
28-03-2025,14:46:34,25.85,10 min
28-03-2025,14:56:34,25.85,10 min
28-03-2025,15:06:34,25.85,10 min
28-03-2025,15:16:34,25.84,10 min
28-03-2025,15:26:34,25.85,10 min
28-03-2025,15:36:34,25.85,10 min
