Date,Time,Temperature(°C),Interval
2025-03-28,09:36:31,-,10 min
28-03-2025,09:36:31,26.50,10 min
28-03-2025,09:46:31,26.44,10 min
28-03-2025,09:56:31,26.40,10 min
28-03-2025,10:06:31,28.92,10 min
28-03-2025,10:16:31,26.31,10 min
28-03-2025,10:26:31,28.83,10 min
28-03-2025,10:36:31,28.79,10 min
28-03-2025,10:46:31,28.73,10 min
28-03-2025,10:56:31,26.15,10 min
28-03-2025,11:06:31,28.67,10 min
28-03-2025,11:16:31,28.63,10 min
28-03-2025,11:26:31,28.59,10 min
28-03-2025,11:36:31,28.54,10 min
28-03-2025,11:46:31,25.94,10 min
28-03-2025,11:56:31,28.47,10 min
28-03-2025,12:06:31,28.45,10 min
28-03-2025,12:16:31,28.41,10 min
28-03-2025,12:26:31,28.34,10 min
28-03-2025,12:36:31,28.35,10 min
28-03-2025,12:46:31,28.31,10 min
28-03-2025,12:56:31,28.20,10 min
28-03-2025,13:06:31,25.69,10 min
28-03-2025,13:16:31,28.23,10 min
28-03-2025,13:26:31,28.20,10 min
28-03-2025,13:36:31,28.17,10 min
28-03-2025,13:46:31,28.14,10 min
28-03-2025,13:56:31,27.48,10 min
28-03-2025,14:06:31,28.02,10 min
28-03-2025,14:16:31,26.14,10 min
28-03-2025,14:26:31,28.01,10 min
28-03-2025,14:36:31,27.87,10 min
28-03-2025,14:46:31,28.00,10 min
28-03-2025,14:56:31,27.97,10 min
28-03-2025,15:06:31,27.31,10 min
28-03-2025,15:16:31,27.93,10 min
28-03-2025,15:26:31,25.98,10 min
28-03-2025,15:36:31,27.89,10 min
28-03-2025,15:46:31,27.87,10 min
28-03-2025,15:56:31,27.85,10 min
28-03-2025,16:06:31,27.20,10 min
28-03-2025,16:16:31,27.80,10 min
28-03-2025,16:26:31,27.16,10 min
28-03-2025,16:36:31,27.79,10 min
28-03-2025,16:46:31,26.50,10 min
28-03-2025,16:56:31,27.71,10 min
28-03-2025,17:06:31,27.74,10 min
28-03-2025,17:16:31,27.72,10 min
28-03-2025,17:26:31,27.71,10 min
28-03-2025,17:36:31,27.71,10 min
28-03-2025,17:46:31,27.69,10 min
28-03-2025,17:56:31,27.67,10 min
28-03-2025,18:06:31,27.62,10 min
28-03-2025,18:16:31,27.65,10 min
28-03-2025,18:26:31,27.64,10 min
28-03-2025,18:36:31,27.62,10 min
28-03-2025,18:46:31,27.60,10 min
28-03-2025,18:56:31,27.56,10 min
28-03-2025,19:06:31,27.57,10 min
28-03-2025,19:16:31,27.56,10 min
28-03-2025,19:26:31,27.53,10 min
28-03-2025,19:36:31,27.53,10 min
28-03-2025,19:46:31,27.53,10 min
28-03-2025,19:56:31,27.51,10 min
28-03-2025,20:06:31,27.51,10 min
28-03-2025,20:16:31,27.50,10 min
28-03-2025,20:26:31,27.49,10 min
28-03-2025,20:36:31,27.40,10 min
28-03-2025,20:46:31,26.02,10 min
28-03-2025,20:56:31,27.46,10 min
28-03-2025,21:06:31,27.37,10 min
28-03-2025,21:16:31,27.43,10 min
28-03-2025,21:26:31,27.26,10 min
28-03-2025,21:36:31,26.14,10 min
28-03-2025,21:46:31,27.25,10 min
28-03-2025,21:56:31,27.36,10 min
28-03-2025,22:06:31,27.07,10 min
28-03-2025,22:16:31,27.39,10 min
