Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,14:19:49,-,10 min
02-04-2025,14:19:49,34.5,10
02-04-2025,14:29:49,34.5,10
02-04-2025,14:39:49,34.5,10
02-04-2025,14:49:49,34.5,10
02-04-2025,14:59:49,34.5,10
02-04-2025,15:09:49,34.6,10
02-04-2025,15:19:49,34.6,10
02-04-2025,15:29:49,24.3,10
02-04-2025,15:39:49,34.6,10
02-04-2025,15:49:49,34.6,10
02-04-2025,15:59:49,24.4,10
02-04-2025,16:09:49,34.6,10
02-04-2025,16:19:49,34.7,10
02-04-2025,16:29:49,34.7,10
02-04-2025,16:39:49,34.7,10
02-04-2025,16:49:49,34.7,10
02-04-2025,16:59:49,34.7,10
02-04-2025,17:09:49,34.7,10
02-04-2025,17:19:49,34.5,10
02-04-2025,17:29:49,34.7,10
02-04-2025,17:39:49,34.7,10
02-04-2025,17:49:49,34.8,10
02-04-2025,17:59:49,34.8,10
02-04-2025,18:09:49,34.8,10
02-04-2025,18:19:49,34.9,10
02-04-2025,18:29:49,34.9,10
02-04-2025,18:39:49,34.6,10
02-04-2025,18:49:49,24.8,10
02-04-2025,18:59:49,35.0,10
02-04-2025,19:09:49,34.8,10
02-04-2025,19:19:49,35.1,10
02-04-2025,19:29:49,35.2,10
02-04-2025,19:39:49,25.0,10
02-04-2025,19:49:49,35.2,10
02-04-2025,19:59:49,35.3,10
02-04-2025,20:09:49,35.3,10
02-04-2025,20:19:49,35.3,10
02-04-2025,20:29:49,35.4,10
02-04-2025,20:39:49,35.4,10
02-04-2025,20:49:49,25.3,10
