Date,Time,Temperature(°C),Interval
2025-03-27,18:34:12,-,10 min
27-03-2025,18:34:12,26.58,10 min
27-03-2025,18:44:12,26.58,10 min
27-03-2025,19:04:12,26.57,10 min
27-03-2025,19:34:12,26.57,10 min
27-03-2025,20:14:12,26.57,10 min
27-03-2025,21:04:12,26.57,10 min
27-03-2025,22:04:12,26.57,10 min
27-03-2025,23:14:12,26.56,10 min
28-03-2025,00:34:12,26.57,10 min
28-03-2025,02:04:12,26.57,10 min
28-03-2025,02:04:12,26.56,10 min
28-03-2025,02:14:12,26.56,10 min
28-03-2025,02:34:12,26.56,10 min
28-03-2025,03:04:12,26.56,10 min
28-03-2025,03:44:12,26.56,10 min
28-03-2025,04:34:12,26.56,10 min
28-03-2025,05:34:12,26.55,10 min
28-03-2025,06:44:12,26.56,10 min
28-03-2025,08:04:12,25.91,10 min
28-03-2025,09:34:12,25.75,10 min
28-03-2025,09:34:12,26.47,10 min
28-03-2025,09:44:12,26.55,10 min
28-03-2025,10:04:12,26.55,10 min
28-03-2025,10:34:12,26.55,10 min
28-03-2025,11:14:12,26.31,10 min
28-03-2025,12:04:12,26.54,10 min
28-03-2025,13:04:12,26.54,10 min
28-03-2025,14:14:12,26.46,10 min
28-03-2025,15:34:12,26.46,10 min
28-03-2025,17:04:12,26.50,10 min
28-03-2025,17:04:12,26.53,10 min
28-03-2025,17:14:12,26.53,10 min
28-03-2025,17:34:12,26.53,10 min
28-03-2025,18:04:12,25.89,10 min
28-03-2025,18:44:12,26.53,10 min
28-03-2025,19:34:12,25.73,10 min
28-03-2025,20:34:12,26.52,10 min
28-03-2025,21:44:12,26.53,10 min
28-03-2025,23:04:12,26.52,10 min
29-03-2025,00:34:12,26.52,10 min
29-03-2025,00:34:12,26.49,10 min
29-03-2025,00:44:12,25.87,10 min
29-03-2025,01:04:12,26.43,10 min
29-03-2025,01:34:12,26.50,10 min
29-03-2025,02:14:12,26.51,10 min
29-03-2025,03:04:12,25.86,10 min
29-03-2025,04:04:12,26.50,10 min
29-03-2025,05:14:12,26.42,10 min
29-03-2025,06:34:12,26.50,10 min
29-03-2025,08:04:12,26.50,10 min
29-03-2025,08:04:12,26.50,10 min
29-03-2025,08:14:12,26.50,10 min
29-03-2025,08:34:12,26.50,10 min
29-03-2025,09:04:12,26.50,10 min
29-03-2025,09:44:12,26.50,10 min
29-03-2025,10:34:12,26.50,10 min
29-03-2025,11:34:12,26.41,10 min
29-03-2025,12:44:12,26.49,10 min
29-03-2025,14:04:12,26.41,10 min
29-03-2025,15:34:12,26.40,10 min
29-03-2025,15:34:12,26.49,10 min
29-03-2025,15:44:12,26.40,10 min
29-03-2025,16:04:12,26.49,10 min
29-03-2025,16:34:12,26.48,10 min
29-03-2025,17:14:12,26.47,10 min
29-03-2025,18:04:12,26.47,10 min
29-03-2025,19:04:12,25.83,10 min
29-03-2025,20:14:12,26.32,10 min
29-03-2025,21:34:12,25.82,10 min
29-03-2025,23:04:12,26.46,10 min
29-03-2025,23:04:12,25.78,10 min
29-03-2025,23:14:12,25.66,10 min
29-03-2025,23:34:12,26.46,10 min
30-03-2025,00:04:12,26.30,10 min
30-03-2025,00:44:12,26.42,10 min
30-03-2025,01:34:12,26.42,10 min
30-03-2025,02:34:12,26.46,10 min
30-03-2025,03:44:12,26.29,10 min
30-03-2025,05:04:12,26.45,10 min
30-03-2025,06:34:12,25.76,10 min
30-03-2025,06:34:12,26.41,10 min
30-03-2025,06:44:12,26.41,10 min
30-03-2025,07:04:12,26.45,10 min
30-03-2025,07:34:12,25.81,10 min
30-03-2025,08:14:12,26.45,10 min
30-03-2025,09:04:12,26.44,10 min
30-03-2025,10:04:12,26.28,10 min
30-03-2025,11:14:12,25.80,10 min
30-03-2025,12:34:12,26.43,10 min
30-03-2025,14:04:12,26.43,10 min
30-03-2025,14:04:12,26.42,10 min
30-03-2025,14:14:12,26.42,10 min
30-03-2025,14:34:12,26.42,10 min
30-03-2025,15:04:12,26.42,10 min
30-03-2025,15:44:12,26.42,10 min
30-03-2025,16:34:12,26.42,10 min
30-03-2025,17:34:12,26.42,10 min
30-03-2025,18:44:12,25.76,10 min
30-03-2025,20:04:12,26.42,10 min
30-03-2025,21:34:12,26.42,10 min
30-03-2025,21:34:12,26.42,10 min
30-03-2025,21:44:12,26.42,10 min
30-03-2025,22:04:12,26.42,10 min
30-03-2025,22:34:12,26.42,10 min
30-03-2025,23:14:12,26.42,10 min
31-03-2025,00:04:12,26.41,10 min
31-03-2025,01:04:12,26.42,10 min
31-03-2025,02:14:12,26.42,10 min
31-03-2025,03:34:12,25.77,10 min
31-03-2025,05:04:12,25.77,10 min
31-03-2025,05:04:12,26.41,10 min
31-03-2025,05:14:12,26.41,10 min
31-03-2025,05:34:12,26.41,10 min
31-03-2025,06:04:12,25.76,10 min
31-03-2025,06:44:12,26.40,10 min
31-03-2025,07:34:12,26.41,10 min
31-03-2025,08:34:12,26.40,10 min
31-03-2025,09:44:12,26.24,10 min
31-03-2025,11:04:12,26.31,10 min
31-03-2025,12:34:12,26.24,10 min
31-03-2025,12:34:12,26.40,10 min
31-03-2025,12:44:12,26.40,10 min
31-03-2025,13:04:12,26.40,10 min
31-03-2025,13:34:12,26.40,10 min
31-03-2025,14:14:12,26.40,10 min
31-03-2025,15:04:12,26.40,10 min
31-03-2025,16:04:12,26.39,10 min
31-03-2025,17:14:12,26.39,10 min
31-03-2025,18:34:12,26.39,10 min
31-03-2025,20:04:12,26.39,10 min
31-03-2025,20:04:12,26.39,10 min
31-03-2025,20:14:12,26.38,10 min
31-03-2025,20:34:12,26.39,10 min
31-03-2025,21:04:12,26.39,10 min
31-03-2025,21:44:12,26.38,10 min
31-03-2025,22:34:12,26.39,10 min
31-03-2025,23:34:12,26.39,10 min
01-04-2025,00:44:12,26.38,10 min
01-04-2025,02:04:12,26.38,10 min
01-04-2025,03:34:12,26.39,10 min
01-04-2025,03:34:12,26.38,10 min
01-04-2025,03:44:12,26.38,10 min
01-04-2025,04:04:12,26.39,10 min
01-04-2025,04:34:12,25.74,10 min
01-04-2025,05:14:12,26.37,10 min
01-04-2025,06:04:12,25.73,10 min
01-04-2025,07:04:12,26.36,10 min
01-04-2025,08:14:12,26.37,10 min
01-04-2025,09:34:12,26.37,10 min
01-04-2025,11:04:12,26.37,10 min
01-04-2025,11:04:12,26.37,10 min
01-04-2025,11:14:12,26.36,10 min
01-04-2025,11:34:12,25.73,10 min
01-04-2025,12:04:12,26.37,10 min
01-04-2025,12:44:12,26.37,10 min
01-04-2025,13:34:12,25.73,10 min
01-04-2025,14:34:12,26.37,10 min
01-04-2025,15:44:12,26.36,10 min
01-04-2025,17:04:12,26.36,10 min
01-04-2025,18:34:12,26.36,10 min
01-04-2025,18:34:12,26.36,10 min
01-04-2025,18:44:12,26.36,10 min
01-04-2025,19:04:12,26.36,10 min
01-04-2025,19:34:12,26.36,10 min
01-04-2025,20:14:12,25.72,10 min
01-04-2025,21:04:12,26.36,10 min
01-04-2025,22:04:12,26.37,10 min
01-04-2025,23:14:12,26.32,10 min
02-04-2025,00:34:12,26.35,10 min
02-04-2025,02:04:12,26.28,10 min
02-04-2025,02:04:12,26.36,10 min
02-04-2025,02:14:12,26.35,10 min
02-04-2025,02:34:12,26.36,10 min
02-04-2025,03:04:12,26.28,10 min
