Date,Time,Temperature(°C),Interval
2025-03-28,10:14:11,-,10 min
02-04-2025,10:14:11,26.39,10 min
02-04-2025,10:24:11,26.39,10 min
02-04-2025,10:34:11,26.39,10 min
02-04-2025,10:44:11,26.39,10 min
02-04-2025,10:54:11,26.39,10 min
02-04-2025,11:04:11,26.31,10 min
02-04-2025,11:14:11,26.39,10 min
02-04-2025,11:24:11,26.39,10 min
02-04-2025,11:34:11,26.39,10 min
02-04-2025,11:44:11,26.39,10 min
02-04-2025,11:54:11,26.39,10 min
02-04-2025,12:04:11,26.38,10 min
02-04-2025,12:14:11,26.39,10 min
02-04-2025,12:24:11,26.34,10 min
02-04-2025,12:34:11,26.39,10 min
02-04-2025,12:44:11,26.39,10 min
02-04-2025,12:54:11,26.38,10 min
02-04-2025,13:04:11,26.35,10 min
02-04-2025,13:14:11,25.75,10 min
02-04-2025,13:24:11,26.39,10 min
02-04-2025,13:34:11,26.30,10 min
02-04-2025,13:44:11,26.39,10 min
02-04-2025,13:54:11,26.39,10 min
02-04-2025,14:04:11,26.39,10 min
02-04-2025,14:14:11,26.30,10 min
02-04-2025,14:24:11,26.39,10 min
02-04-2025,14:34:11,26.39,10 min
02-04-2025,14:44:11,26.31,10 min
02-04-2025,14:54:11,25.74,10 min
02-04-2025,15:04:11,26.38,10 min
02-04-2025,15:14:11,26.39,10 min
02-04-2025,15:24:11,26.39,10 min
02-04-2025,15:34:11,26.39,10 min
02-04-2025,15:44:11,25.75,10 min
02-04-2025,15:54:11,26.38,10 min
02-04-2025,16:04:11,25.74,10 min
02-04-2025,16:14:11,26.38,10 min
02-04-2025,16:24:11,26.39,10 min
02-04-2025,16:34:11,26.38,10 min
02-04-2025,16:44:11,26.38,10 min
02-04-2025,16:54:11,26.37,10 min
02-04-2025,17:04:11,25.74,10 min
02-04-2025,17:14:11,26.39,10 min
02-04-2025,17:24:11,26.38,10 min
02-04-2025,17:34:11,26.35,10 min
02-04-2025,17:44:11,26.39,10 min
02-04-2025,17:54:11,26.38,10 min
02-04-2025,18:04:11,26.35,10 min
02-04-2025,18:14:11,26.39,10 min
02-04-2025,18:24:11,26.39,10 min
02-04-2025,18:34:11,26.38,10 min
02-04-2025,18:44:11,26.35,10 min
02-04-2025,18:54:11,26.39,10 min
02-04-2025,19:04:11,26.37,10 min
02-04-2025,19:14:11,26.37,10 min
02-04-2025,19:24:11,26.37,10 min
02-04-2025,19:34:11,26.30,10 min
02-04-2025,19:44:11,26.37,10 min
02-04-2025,19:54:11,26.29,10 min
02-04-2025,20:04:11,26.36,10 min
02-04-2025,20:14:11,26.37,10 min
02-04-2025,20:24:11,26.29,10 min
02-04-2025,20:34:11,26.37,10 min
02-04-2025,20:44:11,26.36,10 min
02-04-2025,20:54:11,26.37,10 min
02-04-2025,21:04:11,26.36,10 min
02-04-2025,21:14:11,26.37,10 min
02-04-2025,21:24:11,26.37,10 min
02-04-2025,21:34:11,25.73,10 min
02-04-2025,21:44:11,26.32,10 min
02-04-2025,21:54:11,26.37,10 min
02-04-2025,22:04:11,25.64,10 min
02-04-2025,22:14:11,25.73,10 min
02-04-2025,22:24:11,26.36,10 min
02-04-2025,22:34:11,26.32,10 min
02-04-2025,22:44:11,26.35,10 min
02-04-2025,22:54:11,26.36,10 min
02-04-2025,23:04:11,26.27,10 min
02-04-2025,23:14:11,26.36,10 min
02-04-2025,23:24:11,25.68,10 min
02-04-2025,23:34:11,26.35,10 min
02-04-2025,23:44:11,26.27,10 min
02-04-2025,23:54:11,26.35,10 min
03-04-2025,00:04:11,26.27,10 min
03-04-2025,00:14:11,26.35,10 min
03-04-2025,00:24:11,26.33,10 min
03-04-2025,00:34:11,26.27,10 min
03-04-2025,00:44:11,26.35,10 min
03-04-2025,00:54:11,26.35,10 min
03-04-2025,01:04:11,26.35,10 min
