Date,Time,Temperature(°C),Interval
2025-04-14,14:33:13,-,2 min
14-04-2025,14:33:13,27.4,2 min
14-04-2025,14:35:13,26.8,2 min
14-04-2025,14:37:13,26.6,2 min
14-04-2025,14:39:13,26.4,2 min
14-04-2025,14:41:13,26.3,2 min
14-04-2025,14:43:13,26.4,2 min
14-04-2025,14:45:13,29.7,2 min
14-04-2025,14:47:13,32.6,2 min
14-04-2025,14:49:13,34.2,2 min
14-04-2025,14:51:13,35.3,2 min
14-04-2025,14:53:13,36.2,2 min
14-04-2025,14:55:13,36.8,2 min
14-04-2025,14:57:13,37.3,2 min
14-04-2025,14:59:13,37.7,2 min
14-04-2025,15:01:13,38.1,2 min
14-04-2025,15:03:13,38.4,2 min
14-04-2025,15:05:13,38.6,2 min
14-04-2025,15:07:13,38.7,2 min
14-04-2025,15:09:13,38.9,2 min
14-04-2025,15:11:13,39.0,2 min
14-04-2025,15:13:13,39.1,2 min
14-04-2025,15:15:13,39.2,2 min
14-04-2025,15:17:13,39.5,2 min
14-04-2025,15:19:13,39.8,2 min
14-04-2025,15:21:13,39.8,2 min
14-04-2025,15:23:13,39.8,2 min
14-04-2025,15:25:13,39.7,2 min
14-04-2025,15:27:13,39.0,2 min
14-04-2025,15:29:13,36.3,2 min
14-04-2025,15:31:13,33.3,2 min
