Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,19:48:32,-,30 sec
02-04-2025,19:48:32,24.2,0.5
02-04-2025,19:49:02,24.2,0.5
02-04-2025,19:49:32,23.6,0.5
02-04-2025,19:50:02,24.2,0.5
02-04-2025,19:50:32,24.2,0.5
02-04-2025,19:51:02,24.2,0.5
02-04-2025,19:51:32,24.2,0.5
02-04-2025,19:52:02,23.9,0.5
02-04-2025,19:52:32,24.2,0.5
02-04-2025,19:53:02,24.2,0.5
02-04-2025,19:53:32,24.2,0.5
02-04-2025,19:54:02,23.5,0.5
02-04-2025,19:54:32,24.2,0.5
02-04-2025,19:55:02,24.2,0.5
02-04-2025,19:55:32,24.2,0.5
02-04-2025,19:56:02,24.1,0.5
02-04-2025,19:56:32,24.2,0.5
02-04-2025,19:57:02,24.2,0.5
02-04-2025,19:57:32,24.2,0.5
02-04-2025,19:58:02,24.2,0.5
02-04-2025,19:58:32,24.2,0.5
02-04-2025,19:59:02,24.2,0.5
02-04-2025,19:59:32,24.2,0.5
02-04-2025,20:00:02,24.2,0.5
02-04-2025,20:00:32,24.2,0.5
02-04-2025,20:01:02,24.1,0.5
02-04-2025,20:01:32,24.1,0.5
02-04-2025,20:02:02,24.1,0.5
02-04-2025,20:02:32,24.1,0.5
02-04-2025,20:03:02,24.1,0.5
02-04-2025,20:03:32,24.1,0.5
02-04-2025,20:04:02,24.1,0.5
02-04-2025,20:04:32,24.1,0.5
02-04-2025,20:05:02,24.1,0.5
02-04-2025,20:05:32,24.1,0.5
02-04-2025,20:06:02,24.1,0.5
02-04-2025,20:06:32,24.1,0.5
02-04-2025,20:07:02,24.1,0.5
02-04-2025,20:07:32,24.1,0.5
02-04-2025,20:08:02,24.1,0.5
02-04-2025,20:08:32,24.1,0.5
02-04-2025,20:09:02,24.0,0.5
