Date,Time,Temperature(°C),Interval(in minutes)
2025-04-03,19:28:37,-,30 sec
03-04-2025,19:28:37,12.3,0.5
03-04-2025,19:29:07,12.3,0.5
03-04-2025,19:29:37,12.3,0.5
03-04-2025,19:30:07,12.3,0.5
03-04-2025,19:30:37,12.3,0.5
03-04-2025,19:31:07,12.3,0.5
03-04-2025,19:31:37,12.3,0.5
03-04-2025,19:32:07,12.3,0.5
03-04-2025,19:32:37,12.3,0.5
03-04-2025,19:33:07,12.3,0.5
03-04-2025,19:33:37,12.3,0.5
03-04-2025,19:34:07,12.3,0.5
03-04-2025,19:34:37,12.3,0.5
03-04-2025,19:35:07,12.3,0.5
03-04-2025,19:35:37,12.3,0.5
03-04-2025,19:36:07,12.3,0.5
03-04-2025,19:36:37,12.3,0.5
03-04-2025,19:37:07,12.3,0.5
03-04-2025,19:37:37,12.3,0.5
03-04-2025,19:38:07,12.3,0.5
03-04-2025,19:38:37,12.3,0.5
03-04-2025,19:39:07,12.3,0.5
03-04-2025,19:39:37,12.3,0.5
03-04-2025,19:40:07,12.3,0.5
03-04-2025,19:40:37,12.3,0.5
03-04-2025,19:41:07,12.3,0.5
03-04-2025,19:41:37,12.3,0.5
03-04-2025,19:42:07,12.3,0.5
03-04-2025,19:42:37,12.3,0.5
03-04-2025,19:43:07,12.3,0.5
03-04-2025,19:43:37,12.3,0.5
03-04-2025,19:44:07,12.3,0.5
03-04-2025,19:44:37,12.3,0.5
03-04-2025,19:45:07,12.3,0.5
03-04-2025,19:45:37,12.3,0.5
03-04-2025,19:46:07,12.3,0.5
03-04-2025,19:46:37,12.3,0.5
03-04-2025,19:47:07,12.3,0.5
03-04-2025,19:47:37,12.3,0.5
03-04-2025,19:48:07,12.3,0.5
03-04-2025,19:48:37,12.3,0.5
03-04-2025,19:49:07,12.3,0.5
03-04-2025,19:49:37,12.3,0.5
03-04-2025,19:50:07,12.3,0.5
03-04-2025,19:50:37,12.3,0.5
03-04-2025,19:51:07,12.3,0.5
03-04-2025,19:51:37,12.3,0.5
03-04-2025,19:52:07,12.3,0.5
03-04-2025,19:52:37,12.3,0.5
03-04-2025,19:53:07,12.3,0.5
03-04-2025,19:53:37,12.3,0.5
03-04-2025,19:54:07,12.3,0.5
03-04-2025,19:54:37,12.3,0.5
03-04-2025,19:55:07,12.3,0.5
03-04-2025,19:55:37,12.3,0.5
03-04-2025,19:56:07,12.3,0.5
03-04-2025,19:56:37,12.3,0.5
03-04-2025,19:57:07,12.3,0.5
03-04-2025,19:57:37,12.3,0.5
03-04-2025,19:58:07,12.3,0.5
03-04-2025,19:58:37,12.3,0.5
03-04-2025,19:59:07,12.3,0.5
03-04-2025,19:59:37,12.3,0.5
03-04-2025,20:00:07,12.3,0.5
03-04-2025,20:00:37,12.3,0.5
03-04-2025,20:01:07,12.3,0.5
03-04-2025,20:01:37,12.3,0.5
03-04-2025,20:02:07,12.3,0.5
03-04-2025,20:02:37,12.3,0.5
03-04-2025,20:03:07,12.3,0.5
03-04-2025,20:03:37,12.3,0.5
03-04-2025,20:04:07,12.3,0.5
03-04-2025,20:04:37,12.3,0.5
03-04-2025,20:05:07,12.3,0.5
03-04-2025,20:05:37,12.3,0.5
03-04-2025,20:06:07,12.3,0.5
03-04-2025,20:06:37,12.3,0.5
03-04-2025,20:07:07,12.3,0.5
03-04-2025,20:07:37,12.3,0.5
