Date,Time,Temperature(°C),Interval(in minutes)
2025-04-04,16:34:53,-,30 sec
04-04-2025,16:34:53,26.4,0.5
04-04-2025,16:35:23,26.3,0.5
04-04-2025,16:35:53,26.3,0.5
04-04-2025,16:36:23,26.2,0.5
04-04-2025,16:36:53,26.2,0.5
04-04-2025,16:37:23,26.1,0.5
04-04-2025,16:37:53,26.1,0.5
04-04-2025,16:38:23,26.0,0.5
04-04-2025,16:38:53,26.0,0.5
04-04-2025,16:39:23,26.0,0.5
04-04-2025,16:39:53,20.8,0.5
04-04-2025,16:40:23,25.9,0.5
04-04-2025,16:40:53,25.8,0.5
04-04-2025,16:41:23,25.8,0.5
04-04-2025,16:41:53,25.7,0.5
04-04-2025,16:42:23,25.7,0.5
04-04-2025,16:42:53,25.6,0.5
04-04-2025,16:43:23,25.6,0.5
04-04-2025,16:43:53,25.5,0.5
04-04-2025,16:44:23,25.5,0.5
04-04-2025,16:44:53,25.5,0.5
04-04-2025,16:45:23,25.3,0.5
