Date,Time,Temperature(°C),Interval(in minutes)
2025-04-04,09:52:54,-,30 sec
2025-04-04,10:03:19,-,30 sec
04-04-2025,10:03:19,12.3,0.5
04-04-2025,10:03:49,12.3,0.5
04-04-2025,10:04:19,12.3,0.5
04-04-2025,10:04:49,12.3,0.5
04-04-2025,10:05:19,12.3,0.5
04-04-2025,10:05:49,12.3,0.5
04-04-2025,10:06:19,12.3,0.5
04-04-2025,10:06:49,12.3,0.5
04-04-2025,10:07:19,12.3,0.5
04-04-2025,10:07:49,12.3,0.5
04-04-2025,10:08:19,12.3,0.5
04-04-2025,10:08:49,12.3,0.5
04-04-2025,10:09:19,12.3,0.5
04-04-2025,10:09:49,12.3,0.5
04-04-2025,10:10:19,12.3,0.5
04-04-2025,10:10:49,12.3,0.5
04-04-2025,10:11:19,12.3,0.5
04-04-2025,10:11:49,12.3,0.5
04-04-2025,10:12:19,12.3,0.5
04-04-2025,10:12:49,12.3,0.5
04-04-2025,10:13:19,12.3,0.5
04-04-2025,10:13:49,12.3,0.5
04-04-2025,10:14:19,12.3,0.5
04-04-2025,10:14:49,12.3,0.5
04-04-2025,10:15:19,12.3,0.5
04-04-2025,10:15:49,12.3,0.5
04-04-2025,10:16:19,12.3,0.5
04-04-2025,10:16:49,12.3,0.5
04-04-2025,10:17:19,12.3,0.5
04-04-2025,10:17:49,12.3,0.5
04-04-2025,10:18:19,12.3,0.5
04-04-2025,10:18:49,12.3,0.5
04-04-2025,10:19:19,12.3,0.5
04-04-2025,10:19:49,12.3,0.5
04-04-2025,10:20:19,12.3,0.5
04-04-2025,10:20:49,12.3,0.5
04-04-2025,10:21:19,12.3,0.5
04-04-2025,10:21:49,12.3,0.5
04-04-2025,10:22:19,12.3,0.5
04-04-2025,10:22:49,12.3,0.5
04-04-2025,10:23:19,12.3,0.5
04-04-2025,10:23:49,12.3,0.5
04-04-2025,10:24:19,12.3,0.5
04-04-2025,10:24:49,12.3,0.5
04-04-2025,10:25:19,12.3,0.5
04-04-2025,10:25:49,12.3,0.5
04-04-2025,10:26:19,12.3,0.5
04-04-2025,10:26:49,12.3,0.5
04-04-2025,10:27:19,12.3,0.5
04-04-2025,10:27:49,12.3,0.5
04-04-2025,10:28:19,12.3,0.5
04-04-2025,10:28:49,12.3,0.5
04-04-2025,10:29:19,12.3,0.5
04-04-2025,10:29:49,12.3,0.5
04-04-2025,10:30:19,12.3,0.5
04-04-2025,10:30:49,12.3,0.5
04-04-2025,10:31:19,12.3,0.5
04-04-2025,10:31:49,12.3,0.5
04-04-2025,10:32:19,12.3,0.5
04-04-2025,10:32:49,12.3,0.5
04-04-2025,10:33:19,12.3,0.5
04-04-2025,10:33:49,12.3,0.5
04-04-2025,10:34:19,12.3,0.5
