Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,18:15:27,-,30 sec
2025-04-02,09:18:05,-,30 sec
02-04-2025,09:18:05,25.6,0.5
02-04-2025,09:18:35,25.7,0.5
02-04-2025,09:19:05,25.7,0.5
02-04-2025,09:19:35,25.7,0.5
02-04-2025,09:20:05,25.7,0.5
02-04-2025,09:20:35,25.7,0.5
02-04-2025,09:21:05,25.7,0.5
02-04-2025,09:21:35,25.7,0.5
02-04-2025,09:22:05,25.7,0.5
02-04-2025,09:22:35,25.7,0.5
02-04-2025,09:23:05,25.7,0.5
02-04-2025,09:23:35,25.6,0.5
02-04-2025,09:24:05,25.7,0.5
02-04-2025,09:24:35,25.7,0.5
02-04-2025,09:25:05,25.7,0.5
02-04-2025,09:25:35,25.7,0.5
02-04-2025,09:26:05,25.7,0.5
02-04-2025,09:26:35,25.7,0.5
02-04-2025,09:27:05,25.7,0.5
02-04-2025,09:27:35,25.7,0.5
02-04-2025,09:28:05,25.7,0.5
02-04-2025,09:28:35,25.7,0.5
02-04-2025,09:29:05,25.6,0.5
02-04-2025,09:29:35,25.6,0.5
02-04-2025,09:30:05,25.6,0.5
02-04-2025,09:30:35,25.6,0.5
02-04-2025,09:31:05,25.5,0.5
02-04-2025,09:31:35,25.5,0.5
02-04-2025,09:32:05,25.5,0.5
02-04-2025,09:32:35,25.5,0.5
02-04-2025,09:33:05,25.5,0.5
02-04-2025,09:33:35,25.5,0.5
02-04-2025,09:34:05,25.4,0.5
02-04-2025,09:34:35,25.4,0.5
02-04-2025,09:35:05,25.4,0.5
02-04-2025,09:35:35,25.4,0.5
02-04-2025,09:36:05,25.4,0.5
02-04-2025,09:36:35,25.4,0.5
02-04-2025,09:37:05,25.4,0.5
02-04-2025,09:37:35,25.4,0.5
02-04-2025,09:38:05,25.4,0.5
02-04-2025,09:38:35,25.4,0.5
02-04-2025,09:39:05,25.3,0.5
02-04-2025,09:39:35,25.3,0.5
02-04-2025,09:40:05,25.3,0.5
02-04-2025,09:40:35,25.3,0.5
02-04-2025,09:41:05,25.3,0.5
02-04-2025,09:41:35,25.3,0.5
02-04-2025,09:42:05,25.3,0.5
02-04-2025,09:42:35,25.3,0.5
02-04-2025,09:43:05,25.3,0.5
02-04-2025,09:43:35,25.3,0.5
02-04-2025,09:44:05,25.3,0.5
02-04-2025,09:44:35,25.3,0.5
02-04-2025,09:45:05,25.3,0.5
02-04-2025,09:45:35,25.3,0.5
02-04-2025,09:46:05,25.2,0.5
02-04-2025,09:46:35,25.2,0.5
02-04-2025,09:47:05,25.2,0.5
02-04-2025,09:47:35,25.2,0.5
02-04-2025,09:48:05,25.2,0.5
02-04-2025,09:48:35,25.2,0.5
02-04-2025,09:49:05,25.2,0.5
02-04-2025,09:49:35,25.2,0.5
02-04-2025,09:50:05,25.2,0.5
02-04-2025,09:50:35,25.2,0.5
02-04-2025,09:51:05,25.3,0.5
02-04-2025,09:51:35,25.3,0.5
02-04-2025,09:52:05,25.3,0.5
02-04-2025,09:52:35,25.2,0.5
