Date,Time,Temperature(°C),Interval(in minutes)
2025-03-29,18:15:22,-,30 sec
29-03-2025,18:15:22,25.1,0.5
29-03-2025,18:15:52,25.1,0.5
29-03-2025,18:16:22,25.1,0.5
29-03-2025,18:16:52,25.1,0.5
29-03-2025,18:17:22,25.1,0.5
29-03-2025,18:17:52,25.1,0.5
29-03-2025,18:18:22,25.0,0.5
29-03-2025,18:18:52,25.0,0.5
29-03-2025,18:19:22,25.0,0.5
29-03-2025,18:19:52,24.9,0.5
29-03-2025,18:20:22,24.9,0.5
29-03-2025,18:20:52,24.9,0.5
29-03-2025,18:21:22,24.9,0.5
29-03-2025,18:21:52,24.9,0.5
29-03-2025,18:22:22,24.9,0.5
29-03-2025,18:22:52,24.8,0.5
29-03-2025,18:23:22,24.8,0.5
29-03-2025,18:23:52,24.8,0.5
29-03-2025,18:24:22,24.7,0.5
29-03-2025,18:24:52,24.7,0.5
29-03-2025,18:25:22,24.6,0.5
29-03-2025,18:25:52,24.6,0.5
29-03-2025,18:26:22,24.5,0.5
29-03-2025,18:26:52,24.5,0.5
29-03-2025,18:27:22,24.5,0.5
29-03-2025,18:27:52,24.5,0.5
29-03-2025,18:28:22,24.4,0.5
29-03-2025,18:28:52,24.4,0.5
29-03-2025,18:29:22,24.4,0.5
29-03-2025,18:29:52,24.4,0.5
