Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,12:39:53,-,30 sec
01-04-2025,19:41:36,25.4,0.5
01-04-2025,19:42:06,25.4,0.5
01-04-2025,19:42:36,24.8,0.5
01-04-2025,19:43:06,25.4,0.5
01-04-2025,19:43:36,25.2,0.5
01-04-2025,19:44:06,25.4,0.5
01-04-2025,19:44:36,25.4,0.5
01-04-2025,19:45:06,25.4,0.5
01-04-2025,19:45:36,25.4,0.5
01-04-2025,19:46:06,25.4,0.5
01-04-2025,19:46:36,25.4,0.5
01-04-2025,19:47:06,25.2,0.5
01-04-2025,19:47:36,25.4,0.5
01-04-2025,19:48:06,25.4,0.5
01-04-2025,19:48:36,25.4,0.5
01-04-2025,19:49:06,25.4,0.5
01-04-2025,19:49:36,25.1,0.5
01-04-2025,19:50:06,25.4,0.5
01-04-2025,19:50:36,25.4,0.5
01-04-2025,19:51:06,25.4,0.5
01-04-2025,19:51:36,25.4,0.5
01-04-2025,19:52:06,25.4,0.5
01-04-2025,19:52:36,25.4,0.5
01-04-2025,19:53:06,25.5,0.5
01-04-2025,19:53:36,25.5,0.5
01-04-2025,19:54:06,25.5,0.5
01-04-2025,19:54:36,25.6,0.5
01-04-2025,19:55:06,25.6,0.5
01-04-2025,19:55:36,25.6,0.5
01-04-2025,19:56:06,25.7,0.5
01-04-2025,19:56:36,25.7,0.5
01-04-2025,19:57:06,25.7,0.5
01-04-2025,19:57:36,25.7,0.5
01-04-2025,19:58:06,25.7,0.5
01-04-2025,19:58:36,25.7,0.5
01-04-2025,19:59:06,25.7,0.5
01-04-2025,19:59:36,25.7,0.5
01-04-2025,20:00:06,25.7,0.5
01-04-2025,20:00:36,25.7,0.5
01-04-2025,20:01:06,25.7,0.5
01-04-2025,20:01:36,25.7,0.5
01-04-2025,20:02:06,25.7,0.5
01-04-2025,20:02:36,25.7,0.5
01-04-2025,20:03:06,25.6,0.5
01-04-2025,20:03:36,25.6,0.5
01-04-2025,20:04:06,25.6,0.5
01-04-2025,20:04:36,25.6,0.5
01-04-2025,20:05:06,25.6,0.5
01-04-2025,20:05:36,25.6,0.5
01-04-2025,20:06:06,25.6,0.5
01-04-2025,20:06:36,25.6,0.5
01-04-2025,20:07:06,25.6,0.5
01-04-2025,20:07:36,25.6,0.5
01-04-2025,20:08:06,25.6,0.5
01-04-2025,20:08:36,25.6,0.5
01-04-2025,20:09:06,25.6,0.5
01-04-2025,20:09:36,25.6,0.5
01-04-2025,20:10:06,25.6,0.5
01-04-2025,20:10:36,25.6,0.5
01-04-2025,20:11:06,25.6,0.5
01-04-2025,20:11:36,25.6,0.5
01-04-2025,20:12:06,25.5,0.5
01-04-2025,20:12:36,25.5,0.5
01-04-2025,20:13:06,25.5,0.5
01-04-2025,20:13:36,25.5,0.5
01-04-2025,20:14:06,25.5,0.5
01-04-2025,20:14:36,25.5,0.5
01-04-2025,20:15:06,25.5,0.5
01-04-2025,20:15:36,25.4,0.5
01-04-2025,20:16:06,25.5,0.5
01-04-2025,20:16:36,25.5,0.5
01-04-2025,20:17:06,25.5,0.5
01-04-2025,20:17:36,25.5,0.5
01-04-2025,20:18:06,25.5,0.5
01-04-2025,20:18:36,25.5,0.5
01-04-2025,20:19:06,25.5,0.5
01-04-2025,20:19:36,25.5,0.5
01-04-2025,20:20:06,25.5,0.5
01-04-2025,20:20:36,25.5,0.5
01-04-2025,20:21:06,25.3,0.5
01-04-2025,20:21:36,25.5,0.5
01-04-2025,20:22:06,25.5,0.5
01-04-2025,20:22:36,25.5,0.5
01-04-2025,20:23:06,25.5,0.5
01-04-2025,20:23:36,25.5,0.5
01-04-2025,20:24:06,25.5,0.5
01-04-2025,20:24:36,25.5,0.5
01-04-2025,20:25:06,25.5,0.5
01-04-2025,20:25:36,25.5,0.5
01-04-2025,20:26:06,25.2,0.5
01-04-2025,20:26:36,25.5,0.5
01-04-2025,20:27:06,25.5,0.5
01-04-2025,20:27:36,25.5,0.5
01-04-2025,20:28:06,25.5,0.5
01-04-2025,20:28:36,25.4,0.5
01-04-2025,20:29:06,25.5,0.5
01-04-2025,20:29:36,25.5,0.5
01-04-2025,20:30:06,25.5,0.5
01-04-2025,20:30:36,25.5,0.5
01-04-2025,20:31:06,25.5,0.5
01-04-2025,20:31:36,25.5,0.5
01-04-2025,20:32:06,25.5,0.5
01-04-2025,20:32:36,25.5,0.5
01-04-2025,20:33:06,25.5,0.5
01-04-2025,20:33:36,25.5,0.5
01-04-2025,20:34:06,25.5,0.5
01-04-2025,20:34:36,25.5,0.5
01-04-2025,20:35:06,25.5,0.5
01-04-2025,20:35:36,25.5,0.5
01-04-2025,20:36:06,25.5,0.5
01-04-2025,20:36:36,25.5,0.5
01-04-2025,20:37:06,25.5,0.5
01-04-2025,20:37:36,25.5,0.5
01-04-2025,20:38:06,25.5,0.5
01-04-2025,20:38:36,25.5,0.5
01-04-2025,20:39:06,25.5,0.5
01-04-2025,20:39:36,25.5,0.5
01-04-2025,20:40:06,25.5,0.5
01-04-2025,20:40:36,25.5,0.5
01-04-2025,20:41:06,25.5,0.5
01-04-2025,20:41:36,25.5,0.5
01-04-2025,20:42:06,25.3,0.5
01-04-2025,20:42:36,25.5,0.5
01-04-2025,20:43:06,25.5,0.5
01-04-2025,20:43:36,25.5,0.5
01-04-2025,20:44:06,25.5,0.5
01-04-2025,20:44:36,25.5,0.5
01-04-2025,20:45:06,25.4,0.5
01-04-2025,20:45:36,24.8,0.5
01-04-2025,20:46:06,25.5,0.5
01-04-2025,20:46:36,25.5,0.5
01-04-2025,20:47:06,25.5,0.5
01-04-2025,20:47:36,25.5,0.5
01-04-2025,20:48:06,25.5,0.5
01-04-2025,20:48:36,25.5,0.5
01-04-2025,20:49:06,25.5,0.5
01-04-2025,20:49:36,25.1,0.5
01-04-2025,20:50:06,25.3,0.5
01-04-2025,20:50:36,25.5,0.5
01-04-2025,20:51:06,25.5,0.5
01-04-2025,20:51:36,25.1,0.5
01-04-2025,20:52:06,25.3,0.5
01-04-2025,20:52:36,25.5,0.5
01-04-2025,20:53:06,25.5,0.5
01-04-2025,20:53:36,25.5,0.5
01-04-2025,20:54:06,25.5,0.5
01-04-2025,20:54:36,25.5,0.5
01-04-2025,20:55:06,25.5,0.5
01-04-2025,20:55:36,25.5,0.5
01-04-2025,20:56:06,25.5,0.5
01-04-2025,20:56:36,25.2,0.5
01-04-2025,20:57:06,25.5,0.5
01-04-2025,20:57:36,25.5,0.5
01-04-2025,20:58:06,25.3,0.5
01-04-2025,20:58:36,24.8,0.5
01-04-2025,20:59:06,25.4,0.5
01-04-2025,20:59:36,25.5,0.5
01-04-2025,21:00:06,25.5,0.5
01-04-2025,21:00:36,25.5,0.5
01-04-2025,21:01:06,25.5,0.5
01-04-2025,21:01:36,25.5,0.5
01-04-2025,21:02:06,25.5,0.5
01-04-2025,21:02:36,25.5,0.5
01-04-2025,21:03:06,25.4,0.5
01-04-2025,21:03:36,25.5,0.5
01-04-2025,21:04:06,25.4,0.5
01-04-2025,21:04:36,25.4,0.5
01-04-2025,21:05:06,25.4,0.5
01-04-2025,21:05:36,25.4,0.5
01-04-2025,21:06:06,25.4,0.5
01-04-2025,21:06:36,25.4,0.5
01-04-2025,21:07:06,25.3,0.5
01-04-2025,21:07:36,25.4,0.5
01-04-2025,21:08:06,25.4,0.5
01-04-2025,21:08:36,25.1,0.5
01-04-2025,21:09:06,24.1,0.5
01-04-2025,21:09:36,25.4,0.5
01-04-2025,21:10:06,25.4,0.5
01-04-2025,21:10:36,25.4,0.5
01-04-2025,21:11:06,24.1,0.5
01-04-2025,21:11:36,25.4,0.5
01-04-2025,21:12:06,25.4,0.5
01-04-2025,21:12:36,25.4,0.5
01-04-2025,21:13:06,25.4,0.5
01-04-2025,21:13:36,25.1,0.5
01-04-2025,21:14:06,25.4,0.5
01-04-2025,21:14:36,25.4,0.5
01-04-2025,21:15:06,25.4,0.5
01-04-2025,21:15:36,22.8,0.5
01-04-2025,21:16:06,25.4,0.5
01-04-2025,21:16:36,25.4,0.5
01-04-2025,21:17:06,25.1,0.5
01-04-2025,21:17:36,25.4,0.5
01-04-2025,21:18:06,25.1,0.5
01-04-2025,21:18:36,25.4,0.5
01-04-2025,21:19:06,25.4,0.5
01-04-2025,21:19:36,25.4,0.5
01-04-2025,21:20:06,25.4,0.5
01-04-2025,21:20:36,25.4,0.5
01-04-2025,21:21:06,24.8,0.5
01-04-2025,21:21:36,25.4,0.5
01-04-2025,21:22:06,25.4,0.5
01-04-2025,21:22:36,25.4,0.5
01-04-2025,21:23:06,25.2,0.5
01-04-2025,21:23:36,25.4,0.5
01-04-2025,21:24:06,25.4,0.5
01-04-2025,21:24:36,25.4,0.5
01-04-2025,21:25:06,24.6,0.5
01-04-2025,21:25:36,25.4,0.5
01-04-2025,21:26:06,25.4,0.5
01-04-2025,21:26:36,25.4,0.5
01-04-2025,21:27:06,25.4,0.5
01-04-2025,21:27:36,25.4,0.5
01-04-2025,21:28:06,24.7,0.5
01-04-2025,21:28:36,25.1,0.5
01-04-2025,21:29:06,25.4,0.5
01-04-2025,21:29:36,25.4,0.5
01-04-2025,21:30:06,25.4,0.5
01-04-2025,21:30:36,25.4,0.5
01-04-2025,21:31:06,25.4,0.5
01-04-2025,21:31:36,25.4,0.5
01-04-2025,21:32:06,25.4,0.5
01-04-2025,21:32:36,25.4,0.5
01-04-2025,21:33:06,25.4,0.5
01-04-2025,21:33:36,25.1,0.5
01-04-2025,21:34:06,25.4,0.5
01-04-2025,21:34:36,25.3,0.5
01-04-2025,21:35:06,25.4,0.5
01-04-2025,21:35:36,25.3,0.5
01-04-2025,21:36:06,25.1,0.5
01-04-2025,21:36:36,25.4,0.5
01-04-2025,21:37:06,25.3,0.5
01-04-2025,21:37:36,25.4,0.5
01-04-2025,21:38:06,25.4,0.5
01-04-2025,21:38:36,25.4,0.5
01-04-2025,21:39:06,25.4,0.5
01-04-2025,21:39:36,25.1,0.5
01-04-2025,21:40:06,24.1,0.5
01-04-2025,21:40:36,25.4,0.5
01-04-2025,21:41:06,25.4,0.5
01-04-2025,21:41:36,25.4,0.5
01-04-2025,21:42:06,25.1,0.5
