Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,17:43:46,-,30 sec
01-04-2025,17:43:46,25.4,0.5
01-04-2025,17:44:16,25.4,0.5
01-04-2025,17:44:46,25.4,0.5
01-04-2025,17:45:16,25.4,0.5
01-04-2025,17:45:46,25.4,0.5
01-04-2025,17:46:16,25.4,0.5
01-04-2025,17:46:46,25.4,0.5
01-04-2025,17:47:16,25.5,0.5
01-04-2025,17:47:46,25.5,0.5
01-04-2025,17:48:16,25.5,0.5
01-04-2025,17:48:46,25.5,0.5
01-04-2025,17:49:16,25.5,0.5
01-04-2025,17:49:46,25.5,0.5
01-04-2025,17:50:16,25.5,0.5
01-04-2025,17:50:46,25.5,0.5
01-04-2025,17:51:16,25.7,0.5
01-04-2025,17:51:46,25.8,0.5
01-04-2025,17:52:16,25.9,0.5
01-04-2025,17:52:46,25.9,0.5
01-04-2025,17:53:16,25.9,0.5
01-04-2025,17:53:46,25.8,0.5
01-04-2025,17:54:16,25.6,0.5
01-04-2025,17:54:46,25.6,0.5
01-04-2025,17:55:16,25.5,0.5
01-04-2025,17:55:46,25.5,0.5
01-04-2025,17:56:16,25.4,0.5
01-04-2025,17:56:46,25.4,0.5
01-04-2025,17:57:16,25.4,0.5
01-04-2025,17:57:46,25.4,0.5
01-04-2025,17:58:16,25.4,0.5
