Date,Time,Temperature(°C),Interval(in minutes)
2025-04-04,16:50:04,-,30 sec
04-04-2025,16:50:04,25.9,0.5
04-04-2025,16:50:34,25.9,0.5
04-04-2025,16:51:04,25.9,0.5
04-04-2025,16:51:34,25.9,0.5
04-04-2025,16:52:04,25.9,0.5
04-04-2025,16:52:34,25.9,0.5
04-04-2025,16:53:04,25.9,0.5
04-04-2025,16:53:34,25.9,0.5
04-04-2025,16:54:04,25.9,0.5
04-04-2025,16:54:34,26.0,0.5
04-04-2025,16:55:04,26.0,0.5
04-04-2025,16:55:34,26.0,0.5
04-04-2025,16:56:04,26.0,0.5
04-04-2025,16:56:34,26.0,0.5
04-04-2025,16:57:04,26.0,0.5
04-04-2025,16:57:34,26.0,0.5
04-04-2025,16:58:04,26.0,0.5
04-04-2025,16:58:34,26.0,0.5
04-04-2025,16:59:04,26.0,0.5
04-04-2025,16:59:34,26.0,0.5
04-04-2025,17:00:04,26.0,0.5
04-04-2025,17:00:34,26.0,0.5
04-04-2025,17:01:04,26.0,0.5
04-04-2025,17:01:34,26.0,0.5
04-04-2025,17:02:04,26.0,0.5
04-04-2025,17:02:34,26.0,0.5
04-04-2025,17:03:04,26.0,0.5
04-04-2025,17:03:34,26.0,0.5
04-04-2025,17:04:04,26.0,0.5
04-04-2025,17:04:34,26.0,0.5
04-04-2025,17:05:04,26.0,0.5
04-04-2025,17:05:34,26.0,0.5
04-04-2025,17:06:04,26.0,0.5
04-04-2025,17:06:34,26.0,0.5
04-04-2025,17:07:04,26.0,0.5
04-04-2025,17:07:34,26.0,0.5
04-04-2025,17:08:04,26.0,0.5
04-04-2025,17:08:34,26.0,0.5
04-04-2025,17:09:04,26.0,0.5
04-04-2025,17:09:34,26.0,0.5
04-04-2025,17:10:04,26.0,0.5
04-04-2025,17:10:34,26.0,0.5
04-04-2025,17:11:04,26.0,0.5
04-04-2025,17:11:34,26.0,0.5
04-04-2025,17:12:04,26.0,0.5
04-04-2025,17:12:34,26.0,0.5
04-04-2025,17:13:04,26.1,0.5
04-04-2025,17:13:34,26.1,0.5
04-04-2025,17:14:04,26.1,0.5
04-04-2025,17:14:34,26.1,0.5
04-04-2025,17:15:04,26.1,0.5
04-04-2025,17:15:34,26.1,0.5
04-04-2025,17:16:04,26.1,0.5
04-04-2025,17:16:34,26.1,0.5
04-04-2025,17:17:04,26.1,0.5
04-04-2025,17:17:34,26.1,0.5
04-04-2025,17:18:04,26.1,0.5
04-04-2025,17:18:34,26.1,0.5
04-04-2025,17:19:04,26.1,0.5
04-04-2025,17:19:34,26.1,0.5
04-04-2025,17:20:04,26.1,0.5
04-04-2025,17:20:34,26.1,0.5
04-04-2025,17:21:04,26.1,0.5
04-04-2025,17:21:34,26.1,0.5
04-04-2025,17:22:04,26.1,0.5
04-04-2025,17:22:34,26.1,0.5
04-04-2025,17:23:04,26.1,0.5
04-04-2025,17:23:34,26.1,0.5
04-04-2025,17:24:04,26.1,0.5
04-04-2025,17:24:34,26.1,0.5
