Date,Time,Temperature(°C),Interval(in minutes)
2025-04-03,13:04:18,-,30 sec
02-04-2025,15:30:01,33.2,0.5
02-04-2025,15:30:31,32.7,0.5
02-04-2025,15:31:01,33.2,0.5
02-04-2025,15:31:31,33.5,0.5
02-04-2025,15:32:01,33.5,0.5
02-04-2025,15:32:31,33.5,0.5
02-04-2025,15:33:01,33.5,0.5
02-04-2025,15:33:31,33.5,0.5
02-04-2025,15:34:01,33.5,0.5
02-04-2025,15:34:31,33.5,0.5
02-04-2025,15:35:01,33.5,0.5
02-04-2025,15:35:31,33.8,0.5
02-04-2025,15:36:01,33.8,0.5
02-04-2025,15:36:31,33.8,0.5
02-04-2025,15:37:01,33.8,0.5
02-04-2025,15:37:31,32.7,0.5
02-04-2025,15:38:01,34.0,0.5
02-04-2025,15:38:31,34.0,0.5
02-04-2025,15:39:01,12.9,0.5
02-04-2025,15:39:31,34.0,0.5
02-04-2025,15:40:01,34.0,0.5
02-04-2025,15:40:31,34.0,0.5
02-04-2025,15:41:01,33.8,0.5
02-04-2025,15:41:31,33.8,0.5
02-04-2025,15:42:01,33.8,0.5
02-04-2025,15:42:31,33.8,0.5
02-04-2025,15:43:01,33.8,0.5
02-04-2025,15:43:31,33.5,0.5
02-04-2025,15:44:01,33.5,0.5
02-04-2025,15:44:31,33.5,0.5
02-04-2025,15:45:01,33.5,0.5
02-04-2025,15:45:31,33.0,0.5
02-04-2025,15:46:01,33.5,0.5
02-04-2025,15:46:31,33.5,0.5
