Date,Time,Temperature(°C),Interval
2025-04-10,17:53:00,-,5 min
10-04-2025,17:53:00,34.5,5 min
10-04-2025,17:58:00,34.7,5 min
10-04-2025,18:03:00,34.8,5 min
10-04-2025,18:08:00,34.8,5 min
10-04-2025,18:13:00,34.7,5 min
10-04-2025,18:18:00,34.6,5 min
10-04-2025,18:23:00,34.5,5 min
10-04-2025,18:28:00,34.4,5 min
10-04-2025,18:33:00,34.3,5 min
10-04-2025,18:38:00,34.1,5 min
10-04-2025,18:43:00,34.0,5 min
10-04-2025,18:48:00,34.0,5 min
10-04-2025,18:53:00,34.1,5 min
10-04-2025,18:58:00,34.8,5 min
10-04-2025,19:03:00,35.3,5 min
10-04-2025,19:08:00,35.6,5 min
10-04-2025,19:13:00,35.8,5 min
10-04-2025,19:18:00,36.0,5 min
10-04-2025,19:23:00,35.6,5 min
10-04-2025,19:28:00,35.3,5 min
10-04-2025,19:33:00,35.3,5 min
10-04-2025,19:38:00,35.3,5 min
10-04-2025,19:43:00,35.5,5 min
10-04-2025,19:48:00,35.5,5 min
10-04-2025,19:53:00,35.3,5 min
10-04-2025,19:58:00,35.0,5 min
10-04-2025,20:03:00,34.8,5 min
10-04-2025,20:08:00,34.7,5 min
10-04-2025,20:13:00,34.5,5 min
10-04-2025,20:18:00,34.5,5 min
10-04-2025,20:23:00,34.3,5 min
10-04-2025,20:28:00,34.2,5 min
10-04-2025,20:33:00,34.1,5 min
10-04-2025,20:38:00,34.0,5 min
10-04-2025,20:43:00,34.3,5 min
10-04-2025,20:48:00,34.4,5 min
10-04-2025,20:53:00,35.1,5 min
10-04-2025,20:58:00,35.4,5 min
10-04-2025,21:03:00,35.7,5 min
10-04-2025,21:08:00,35.9,5 min
10-04-2025,21:13:00,36.1,5 min
10-04-2025,21:18:00,36.3,5 min
10-04-2025,21:23:00,36.4,5 min
10-04-2025,21:28:00,36.5,5 min
10-04-2025,21:33:00,36.6,5 min
10-04-2025,21:38:00,36.7,5 min
10-04-2025,21:43:00,36.8,5 min
10-04-2025,21:48:00,36.9,5 min
10-04-2025,21:53:00,37.0,5 min
10-04-2025,21:58:00,37.1,5 min
10-04-2025,22:03:00,37.1,5 min
10-04-2025,22:08:00,37.2,5 min
10-04-2025,22:13:00,37.3,5 min
10-04-2025,22:18:00,37.4,5 min
10-04-2025,22:23:00,37.5,5 min
10-04-2025,22:28:00,37.4,5 min
10-04-2025,22:33:00,37.5,5 min
10-04-2025,22:38:00,37.6,5 min
10-04-2025,22:43:00,37.7,5 min
10-04-2025,22:48:00,37.8,5 min
10-04-2025,22:53:00,37.8,5 min
10-04-2025,22:58:00,37.9,5 min
10-04-2025,23:03:00,37.9,5 min
10-04-2025,23:08:00,38.0,5 min
10-04-2025,23:13:00,38.0,5 min
10-04-2025,23:18:00,38.0,5 min
10-04-2025,23:23:00,38.0,5 min
10-04-2025,23:28:00,38.0,5 min
10-04-2025,23:33:00,38.1,5 min
10-04-2025,23:38:00,38.1,5 min
