Date,Time,Temperature(°C),Interval
2025-04-14,12:52:55,-,2 min
14-04-2025,12:52:55,26.9,2 min
14-04-2025,12:54:55,27.0,2 min
14-04-2025,12:56:55,27.0,2 min
14-04-2025,12:58:55,27.0,2 min
14-04-2025,13:00:55,27.0,2 min
14-04-2025,13:02:55,27.0,2 min
14-04-2025,13:04:55,26.9,2 min
14-04-2025,13:06:55,26.9,2 min
14-04-2025,13:08:55,26.9,2 min
14-04-2025,13:10:55,26.9,2 min
14-04-2025,13:12:55,26.9,2 min
14-04-2025,13:14:55,26.9,2 min
14-04-2025,13:16:55,26.9,2 min
14-04-2025,13:18:55,26.8,2 min
14-04-2025,13:20:55,26.8,2 min
14-04-2025,13:22:55,26.8,2 min
14-04-2025,13:24:55,26.8,2 min
14-04-2025,13:26:55,26.7,2 min
14-04-2025,13:28:55,26.7,2 min
14-04-2025,13:30:55,26.7,2 min
14-04-2025,13:32:55,26.7,2 min
14-04-2025,13:34:55,26.7,2 min
14-04-2025,13:36:55,26.7,2 min
14-04-2025,13:38:55,26.7,2 min
14-04-2025,13:40:55,26.7,2 min
14-04-2025,13:42:55,26.6,2 min
14-04-2025,13:44:55,26.6,2 min
14-04-2025,13:46:55,26.6,2 min
14-04-2025,13:48:55,26.6,2 min
14-04-2025,13:50:55,26.6,2 min
14-04-2025,13:52:55,26.6,2 min
14-04-2025,13:54:55,26.6,2 min
14-04-2025,13:56:55,26.6,2 min
14-04-2025,13:58:55,26.7,2 min
14-04-2025,14:00:55,26.6,2 min
14-04-2025,14:02:55,26.7,2 min
14-04-2025,14:04:55,26.7,2 min
14-04-2025,14:06:55,26.7,2 min
14-04-2025,14:08:55,26.7,2 min
