Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,18:47:18,-,30 sec
02-04-2025,18:47:18,28.6,0.5
2025-04-02,18:50:31,-,30 sec
02-04-2025,18:50:31,25.9,0.5
02-04-2025,18:51:01,25.9,0.5
02-04-2025,18:51:31,25.9,0.5
02-04-2025,18:52:01,25.9,0.5
02-04-2025,18:52:31,25.9,0.5
02-04-2025,18:53:01,25.9,0.5
02-04-2025,18:53:31,25.8,0.5
02-04-2025,18:54:01,25.9,0.5
02-04-2025,18:54:31,25.9,0.5
02-04-2025,18:55:01,25.9,0.5
02-04-2025,18:55:31,25.9,0.5
02-04-2025,18:56:01,25.7,0.5
02-04-2025,18:56:31,25.9,0.5
02-04-2025,18:57:01,25.8,0.5
02-04-2025,18:57:31,25.9,0.5
02-04-2025,18:58:01,25.9,0.5
02-04-2025,18:58:31,25.6,0.5
02-04-2025,18:59:01,25.9,0.5
02-04-2025,18:59:31,25.9,0.5
02-04-2025,19:00:01,25.9,0.5
02-04-2025,19:00:31,25.6,0.5
2025-04-02,18:52:10,-,30 sec
02-04-2025,18:52:10,25.7,0.5
02-04-2025,18:52:40,25.6,0.5
02-04-2025,18:53:10,25.6,0.5
02-04-2025,18:53:40,25.6,0.5
02-04-2025,18:54:10,25.6,0.5
02-04-2025,18:54:40,25.6,0.5
02-04-2025,18:55:10,25.6,0.5
