Date,Time,Temperature(°C),Interval(in minutes)
2025-03-31,12:18:47,-,30 sec
31-03-2025,12:18:47,28.7,0.5
31-03-2025,12:19:17,28.3,0.5
31-03-2025,12:19:47,28.0,0.5
31-03-2025,12:20:17,27.9,0.5
31-03-2025,12:20:47,27.9,0.5
31-03-2025,12:21:17,27.9,0.5
31-03-2025,12:21:47,27.8,0.5
31-03-2025,12:22:17,27.8,0.5
31-03-2025,12:22:47,27.7,0.5
31-03-2025,12:23:17,26.4,0.5
31-03-2025,12:23:47,27.6,0.5
31-03-2025,12:24:17,27.6,0.5
31-03-2025,12:24:47,27.5,0.5
31-03-2025,12:25:17,27.4,0.5
31-03-2025,12:25:47,27.4,0.5
31-03-2025,12:26:17,27.3,0.5
31-03-2025,12:26:47,26.9,0.5
31-03-2025,12:27:17,27.2,0.5
31-03-2025,12:27:47,27.1,0.5
31-03-2025,12:28:17,27.1,0.5
31-03-2025,12:28:47,27.0,0.5
31-03-2025,12:29:17,26.9,0.5
31-03-2025,12:29:47,26.9,0.5
31-03-2025,12:30:17,26.8,0.5
31-03-2025,12:30:47,26.8,0.5
31-03-2025,12:31:17,26.8,0.5
31-03-2025,12:31:47,26.7,0.5
31-03-2025,12:32:17,26.7,0.5
31-03-2025,12:32:47,26.7,0.5
31-03-2025,12:33:17,26.7,0.5
31-03-2025,12:33:47,26.7,0.5
31-03-2025,12:34:17,26.7,0.5
31-03-2025,12:34:47,26.7,0.5
31-03-2025,12:35:17,26.7,0.5
31-03-2025,12:35:47,26.7,0.5
31-03-2025,12:36:17,26.7,0.5
31-03-2025,12:36:47,26.7,0.5
31-03-2025,12:37:17,26.7,0.5
31-03-2025,12:37:47,26.4,0.5
31-03-2025,12:38:17,26.7,0.5
31-03-2025,12:38:47,26.7,0.5
31-03-2025,12:39:17,26.7,0.5
31-03-2025,12:39:47,26.7,0.5
31-03-2025,12:40:17,26.7,0.5
31-03-2025,12:40:47,26.7,0.5
31-03-2025,12:41:17,26.7,0.5
31-03-2025,12:41:47,26.7,0.5
31-03-2025,12:42:17,26.7,0.5
31-03-2025,12:42:47,26.7,0.5
31-03-2025,12:43:17,26.7,0.5
31-03-2025,12:43:47,26.7,0.5
31-03-2025,12:44:17,26.7,0.5
31-03-2025,12:44:47,26.7,0.5
31-03-2025,12:45:17,26.7,0.5
31-03-2025,12:45:47,26.8,0.5
31-03-2025,12:46:17,26.8,0.5
31-03-2025,12:46:47,26.8,0.5
31-03-2025,12:47:17,26.8,0.5
31-03-2025,12:47:47,26.8,0.5
31-03-2025,12:48:17,26.8,0.5
31-03-2025,12:48:47,26.7,0.5
31-03-2025,12:49:17,26.7,0.5
31-03-2025,12:49:47,26.8,0.5
31-03-2025,12:50:17,26.8,0.5
31-03-2025,12:50:47,26.8,0.5
31-03-2025,12:51:17,26.8,0.5
31-03-2025,12:51:47,26.8,0.5
