Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,17:22:39,-,2 min
01-04-2025,17:22:39,24.8,2
01-04-2025,17:24:39,24.8,2
01-04-2025,17:26:39,24.8,2
01-04-2025,17:28:39,24.8,2
01-04-2025,17:30:39,24.8,2
01-04-2025,17:32:39,24.8,2
01-04-2025,17:34:39,24.8,2
01-04-2025,17:36:39,24.8,2
01-04-2025,17:38:39,24.5,2
01-04-2025,17:40:39,24.8,2
01-04-2025,17:40:39,24.8,2
01-04-2025,17:42:39,24.8,2
01-04-2025,17:44:39,24.8,2
01-04-2025,17:46:39,24.8,2
01-04-2025,17:48:39,24.8,2
01-04-2025,17:50:39,24.8,2
01-04-2025,17:52:39,24.8,2
01-04-2025,17:54:39,24.8,2
01-04-2025,17:56:39,24.8,2
01-04-2025,17:58:39,24.8,2
01-04-2025,17:58:39,24.6,2
01-04-2025,18:00:39,24.8,2
01-04-2025,18:02:39,24.8,2
01-04-2025,18:04:39,24.8,2
01-04-2025,18:06:39,24.8,2
01-04-2025,18:08:39,24.8,2
01-04-2025,18:10:39,24.8,2
01-04-2025,18:12:39,24.8,2
01-04-2025,18:14:39,24.8,2
01-04-2025,18:16:39,24.6,2
