Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,09:32:50,-,30 sec
02-04-2025,09:32:50,28.0,0.5
02-04-2025,09:33:20,28.0,0.5
02-04-2025,09:33:50,27.3,0.5
02-04-2025,09:34:20,28.0,0.5
02-04-2025,09:34:50,27.8,0.5
02-04-2025,09:35:20,28.0,0.5
02-04-2025,09:35:50,28.0,0.5
02-04-2025,09:36:20,28.0,0.5
02-04-2025,09:36:50,28.0,0.5
02-04-2025,09:37:20,28.0,0.5
02-04-2025,09:37:50,28.0,0.5
02-04-2025,09:38:20,27.9,0.5
02-04-2025,09:38:50,27.9,0.5
02-04-2025,09:39:20,27.9,0.5
02-04-2025,09:39:50,27.9,0.5
02-04-2025,09:40:20,27.9,0.5
02-04-2025,09:40:50,27.9,0.5
02-04-2025,09:41:20,27.9,0.5
02-04-2025,09:41:50,27.9,0.5
02-04-2025,09:42:20,27.9,0.5
02-04-2025,09:42:50,27.9,0.5
02-04-2025,09:43:20,27.9,0.5
02-04-2025,09:43:50,27.9,0.5
02-04-2025,09:44:20,27.9,0.5
02-04-2025,09:44:50,27.9,0.5
02-04-2025,09:45:20,27.9,0.5
02-04-2025,09:45:50,27.9,0.5
02-04-2025,09:46:20,27.9,0.5
02-04-2025,09:46:50,27.9,0.5
02-04-2025,09:47:20,27.9,0.5
02-04-2025,09:47:50,27.9,0.5
02-04-2025,09:48:20,27.9,0.5
02-04-2025,09:48:50,27.9,0.5
02-04-2025,09:49:20,27.9,0.5
02-04-2025,09:49:50,27.9,0.5
02-04-2025,09:50:20,27.9,0.5
02-04-2025,09:50:50,27.9,0.5
02-04-2025,09:51:20,27.9,0.5
02-04-2025,09:51:50,27.9,0.5
02-04-2025,09:52:20,27.9,0.5
02-04-2025,09:52:50,27.9,0.5
02-04-2025,09:53:20,27.9,0.5
02-04-2025,09:53:50,27.9,0.5
02-04-2025,09:54:20,27.9,0.5
02-04-2025,09:54:50,27.8,0.5
02-04-2025,09:55:20,27.8,0.5
02-04-2025,09:55:50,27.8,0.5
02-04-2025,09:56:20,27.8,0.5
02-04-2025,09:56:50,27.8,0.5
02-04-2025,09:57:20,27.8,0.5
02-04-2025,09:57:50,27.8,0.5
02-04-2025,09:58:20,27.8,0.5
02-04-2025,09:58:50,27.8,0.5
02-04-2025,09:59:20,27.8,0.5
02-04-2025,09:59:50,27.8,0.5
02-04-2025,10:00:20,27.8,0.5
02-04-2025,10:00:50,27.8,0.5
02-04-2025,10:01:20,27.8,0.5
02-04-2025,10:01:50,27.8,0.5
02-04-2025,10:02:20,27.8,0.5
02-04-2025,10:02:50,27.8,0.5
