Date,Time,Temperature(°C),Interval
2025-04-09,13:53:48,-,30 sec
09-04-2025,13:53:48,25.1,30 sec
09-04-2025,13:54:18,25.1,30 sec
09-04-2025,13:54:48,25.0,30 sec
09-04-2025,13:55:18,25.0,30 sec
09-04-2025,13:55:48,24.9,30 sec
09-04-2025,13:56:18,24.8,30 sec
09-04-2025,13:56:48,24.8,30 sec
09-04-2025,13:57:18,24.8,30 sec
09-04-2025,13:57:48,24.8,30 sec
09-04-2025,13:58:18,24.7,30 sec
09-04-2025,13:53:48,24.8,30 sec
09-04-2025,13:54:18,24.9,30 sec
09-04-2025,13:54:48,25.0,30 sec
09-04-2025,13:55:18,25.2,30 sec
09-04-2025,13:55:48,25.3,30 sec
09-04-2025,13:56:18,25.3,30 sec
09-04-2025,13:56:48,25.4,30 sec
09-04-2025,13:57:18,25.3,30 sec
09-04-2025,13:57:48,25.3,30 sec
09-04-2025,13:58:18,25.4,30 sec
09-04-2025,13:53:48,25.4,30 sec
09-04-2025,13:54:18,25.5,30 sec
09-04-2025,13:54:48,25.5,30 sec
09-04-2025,13:55:18,25.5,30 sec
09-04-2025,13:55:48,25.5,30 sec
09-04-2025,13:56:18,25.4,30 sec
09-04-2025,13:56:48,25.4,30 sec
09-04-2025,13:57:18,25.4,30 sec
09-04-2025,13:57:48,25.5,30 sec
09-04-2025,13:58:18,25.5,30 sec
09-04-2025,13:53:48,25.6,30 sec
09-04-2025,13:54:18,25.6,30 sec
09-04-2025,13:54:48,25.6,30 sec
09-04-2025,13:55:18,25.6,30 sec
09-04-2025,13:55:48,25.5,30 sec
09-04-2025,13:56:18,25.5,30 sec
09-04-2025,13:56:48,25.5,30 sec
09-04-2025,13:57:18,25.5,30 sec
09-04-2025,13:57:48,25.6,30 sec
09-04-2025,13:58:18,25.6,30 sec
09-04-2025,13:53:48,25.5,30 sec
09-04-2025,13:54:18,25.5,30 sec
09-04-2025,13:54:48,25.4,30 sec
09-04-2025,13:55:18,25.3,30 sec
09-04-2025,13:55:48,25.3,30 sec
09-04-2025,13:56:18,25.2,30 sec
09-04-2025,13:56:48,25.2,30 sec
09-04-2025,13:57:18,25.3,30 sec
09-04-2025,13:57:48,25.3,30 sec
09-04-2025,13:58:18,25.3,30 sec
09-04-2025,13:53:48,25.3,30 sec
09-04-2025,13:54:18,25.3,30 sec
09-04-2025,13:54:48,25.2,30 sec
09-04-2025,13:55:18,25.3,30 sec
09-04-2025,13:55:48,25.4,30 sec
09-04-2025,13:56:18,25.4,30 sec
09-04-2025,13:56:48,25.5,30 sec
09-04-2025,13:57:18,25.5,30 sec
09-04-2025,13:57:48,25.5,30 sec
09-04-2025,13:58:18,25.5,30 sec
09-04-2025,13:53:48,25.5,30 sec
09-04-2025,13:54:18,25.5,30 sec
09-04-2025,13:54:48,25.5,30 sec
09-04-2025,13:55:18,25.5,30 sec
09-04-2025,13:55:48,25.6,30 sec
09-04-2025,13:56:18,25.6,30 sec
09-04-2025,13:56:48,25.6,30 sec
09-04-2025,13:57:18,25.6,30 sec
09-04-2025,13:57:48,25.5,30 sec
09-04-2025,13:58:18,25.6,30 sec
