Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,15:00:23,-,1 min
01-04-2025,15:00:23,24.6,1
01-04-2025,15:01:23,24.6,1
01-04-2025,15:02:23,24.6,1
01-04-2025,15:03:23,24.6,1
01-04-2025,15:04:23,24.6,1
01-04-2025,15:05:23,24.6,1
01-04-2025,15:06:23,24.6,1
01-04-2025,15:07:23,24.6,1
01-04-2025,15:08:23,24.6,1
01-04-2025,15:09:23,24.6,1
01-04-2025,15:10:23,24.6,1
01-04-2025,15:11:23,24.6,1
01-04-2025,15:12:23,24.6,1
01-04-2025,15:13:23,24.6,1
01-04-2025,15:14:23,24.6,1
01-04-2025,15:15:23,24.6,1
01-04-2025,15:16:23,24.6,1
01-04-2025,15:17:23,24.6,1
01-04-2025,15:18:23,24.6,1
01-04-2025,15:19:23,24.6,1
