Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,15:11:59,-,2 min
01-04-2025,15:11:59,24.6,2
01-04-2025,15:13:59,24.6,2
01-04-2025,15:15:59,24.6,2
01-04-2025,15:17:59,24.6,2
01-04-2025,15:19:59,24.6,2
01-04-2025,15:21:59,24.6,2
01-04-2025,15:23:59,24.6,2
01-04-2025,15:25:59,24.6,2
01-04-2025,15:27:59,24.3,2
01-04-2025,15:29:59,24.6,2
01-04-2025,15:31:59,24.6,2
01-04-2025,15:33:59,24.6,2
01-04-2025,15:35:59,24.6,2
01-04-2025,15:37:59,24.6,2
01-04-2025,15:39:59,24.6,2
01-04-2025,15:41:59,24.6,2
01-04-2025,15:43:59,24.3,2
01-04-2025,15:45:59,24.6,2
01-04-2025,15:47:59,24.6,2
01-04-2025,15:49:59,24.6,2
01-04-2025,15:51:59,24.6,2
01-04-2025,15:53:59,24.6,2
01-04-2025,15:55:59,24.6,2
01-04-2025,15:57:59,24.6,2
01-04-2025,15:59:59,24.6,2
01-04-2025,16:01:59,24.6,2
01-04-2025,16:03:59,24.6,2
01-04-2025,16:05:59,24.6,2
01-04-2025,16:07:59,24.6,2
01-04-2025,16:09:59,24.6,2
01-04-2025,16:11:59,24.6,2
01-04-2025,16:13:59,24.6,2
01-04-2025,16:15:59,24.6,2
01-04-2025,16:17:59,24.6,2
01-04-2025,16:19:59,24.6,2
01-04-2025,16:21:59,24.6,2
01-04-2025,16:23:59,24.6,2
01-04-2025,16:25:59,24.6,2
01-04-2025,16:27:59,24.3,2
01-04-2025,16:29:59,24.6,2
01-04-2025,16:31:59,24.6,2
01-04-2025,16:33:59,24.6,2
01-04-2025,16:35:59,24.6,2
01-04-2025,16:37:59,24.6,2
01-04-2025,16:39:59,24.6,2
01-04-2025,16:41:59,24.6,2
01-04-2025,16:43:59,24.6,2
01-04-2025,16:45:59,24.6,2
01-04-2025,16:47:59,24.6,2
01-04-2025,16:49:59,24.6,2
01-04-2025,16:51:59,24.6,2
01-04-2025,16:53:59,24.6,2
01-04-2025,16:55:59,24.6,2
01-04-2025,16:57:59,24.6,2
01-04-2025,16:59:59,24.6,2
01-04-2025,17:01:59,24.6,2
01-04-2025,17:03:59,24.6,2
01-04-2025,17:05:59,24.6,2
01-04-2025,17:07:59,24.6,2
01-04-2025,17:09:59,24.6,2
01-04-2025,17:11:59,24.6,2
01-04-2025,17:13:59,24.6,2
01-04-2025,17:15:59,24.6,2
01-04-2025,17:17:59,24.6,2
01-04-2025,17:19:59,24.6,2
01-04-2025,17:21:59,24.6,2
01-04-2025,17:23:59,24.6,2
01-04-2025,17:25:59,24.6,2
01-04-2025,17:27:59,24.6,2
01-04-2025,17:29:59,24.6,2
01-04-2025,17:31:59,24.6,2
01-04-2025,17:33:59,24.6,2
01-04-2025,17:35:59,24.6,2
01-04-2025,17:37:59,24.6,2
01-04-2025,17:39:59,24.6,2
01-04-2025,17:41:59,24.6,2
01-04-2025,17:43:59,24.6,2
01-04-2025,17:45:59,24.6,2
01-04-2025,17:47:59,24.6,2
01-04-2025,17:49:59,24.6,2
01-04-2025,17:51:59,24.6,2
01-04-2025,17:53:59,24.6,2
01-04-2025,17:55:59,24.6,2
01-04-2025,17:57:59,24.6,2
01-04-2025,17:59:59,24.6,2
01-04-2025,18:01:59,24.6,2
01-04-2025,18:03:59,24.6,2
01-04-2025,18:05:59,24.6,2
01-04-2025,18:07:59,24.3,2
01-04-2025,18:09:59,24.6,2
01-04-2025,18:11:59,24.6,2
01-04-2025,18:13:59,24.6,2
01-04-2025,18:15:59,24.6,2
01-04-2025,18:17:59,24.6,2
01-04-2025,18:19:59,24.6,2
01-04-2025,18:21:59,24.6,2
01-04-2025,18:23:59,24.6,2
01-04-2025,18:25:59,24.6,2
01-04-2025,18:27:59,24.6,2
01-04-2025,18:29:59,24.6,2
01-04-2025,18:31:59,24.6,2
01-04-2025,18:33:59,24.6,2
01-04-2025,18:35:59,24.6,2
01-04-2025,18:37:59,24.6,2
01-04-2025,18:39:59,24.6,2
01-04-2025,18:41:59,24.6,2
01-04-2025,18:43:59,24.5,2
01-04-2025,18:45:59,24.5,2
01-04-2025,18:47:59,24.6,2
01-04-2025,18:49:59,24.6,2
01-04-2025,18:51:59,24.6,2
01-04-2025,18:53:59,24.6,2
01-04-2025,18:55:59,24.6,2
01-04-2025,18:57:59,24.6,2
01-04-2025,18:59:59,24.6,2
01-04-2025,19:01:59,24.6,2
01-04-2025,19:03:59,24.6,2
01-04-2025,19:05:59,24.6,2
01-04-2025,19:07:59,24.6,2
01-04-2025,19:09:59,24.6,2
