Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,17:24:07,-,10 min
01-04-2025,17:24:07,24.8,10
01-04-2025,17:34:07,24.6,10
01-04-2025,17:44:07,24.8,10
01-04-2025,17:54:07,24.8,10
01-04-2025,18:04:07,24.8,10
01-04-2025,18:14:07,24.8,10
01-04-2025,18:24:07,24.8,10
01-04-2025,18:34:07,24.8,10
01-04-2025,18:44:07,24.8,10
01-04-2025,18:54:07,24.8,10
01-04-2025,18:54:07,24.8,10
01-04-2025,19:04:07,24.8,10
01-04-2025,19:14:07,24.6,10
01-04-2025,19:24:07,24.8,10
01-04-2025,19:34:07,24.8,10
01-04-2025,19:44:07,24.8,10
01-04-2025,19:54:07,24.8,10
01-04-2025,20:04:07,24.8,10
01-04-2025,20:14:07,24.8,10
01-04-2025,20:24:07,24.8,10
01-04-2025,20:24:07,24.8,10
01-04-2025,20:34:07,24.8,10
01-04-2025,20:44:07,24.8,10
01-04-2025,20:54:07,24.8,10
01-04-2025,21:04:07,24.8,10
01-04-2025,21:14:07,24.8,10
01-04-2025,21:24:07,24.8,10
01-04-2025,21:34:07,24.8,10
01-04-2025,21:44:07,24.8,10
01-04-2025,21:54:07,24.8,10
01-04-2025,21:54:07,24.8,10
01-04-2025,22:04:07,24.8,10
01-04-2025,22:14:07,24.8,10
01-04-2025,22:24:07,24.8,10
01-04-2025,22:34:07,24.8,10
01-04-2025,22:44:07,24.6,10
01-04-2025,22:54:07,24.8,10
01-04-2025,23:04:07,24.8,10
01-04-2025,23:14:07,24.8,10
01-04-2025,23:24:07,24.8,10
01-04-2025,23:24:07,24.8,10
01-04-2025,23:34:07,24.8,10
01-04-2025,23:44:07,24.5,10
01-04-2025,23:54:07,24.8,10
02-04-2025,00:04:07,24.8,10
02-04-2025,00:14:07,24.8,10
02-04-2025,00:24:07,24.8,10
02-04-2025,00:34:07,24.8,10
02-04-2025,00:44:07,24.8,10
02-04-2025,00:54:07,24.8,10
02-04-2025,00:54:07,24.8,10
02-04-2025,01:04:07,24.8,10
02-04-2025,01:14:07,24.8,10
02-04-2025,01:24:07,24.4,10
02-04-2025,01:34:07,24.8,10
02-04-2025,01:44:07,24.8,10
02-04-2025,01:54:07,24.8,10
02-04-2025,02:04:07,24.8,10
02-04-2025,02:14:07,24.8,10
02-04-2025,02:24:07,24.8,10
