Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,10:51:45,-,2 min
02-04-2025,10:51:45,24.9,2
02-04-2025,10:53:45,25.0,2
02-04-2025,10:55:45,24.3,2
02-04-2025,10:57:45,25.0,2
02-04-2025,10:59:45,25.0,2
02-04-2025,11:01:45,25.0,2
02-04-2025,11:03:45,24.9,2
02-04-2025,11:05:45,24.9,2
02-04-2025,11:07:45,24.9,2
02-04-2025,11:09:45,24.9,2
02-04-2025,11:11:45,24.9,2
02-04-2025,11:13:45,24.9,2
02-04-2025,11:15:45,24.9,2
02-04-2025,11:17:45,24.9,2
02-04-2025,11:19:45,24.9,2
02-04-2025,11:21:45,24.9,2
02-04-2025,11:23:45,24.9,2
02-04-2025,11:25:45,24.9,2
02-04-2025,11:27:45,24.9,2
02-04-2025,11:29:45,24.9,2
02-04-2025,11:31:45,24.9,2
02-04-2025,11:33:45,24.9,2
02-04-2025,11:35:45,24.9,2
02-04-2025,11:37:45,24.9,2
02-04-2025,11:39:45,24.9,2
02-04-2025,11:41:45,24.9,2
02-04-2025,11:43:45,24.9,2
02-04-2025,11:45:45,22.3,2
02-04-2025,11:47:45,24.9,2
02-04-2025,11:49:45,24.9,2
02-04-2025,11:51:45,24.9,2
02-04-2025,11:53:45,24.9,2
02-04-2025,11:55:45,24.9,2
02-04-2025,11:57:45,24.9,2
02-04-2025,11:59:45,24.9,2
02-04-2025,12:01:45,24.9,2
02-04-2025,12:03:45,24.9,2
02-04-2025,12:05:45,24.9,2
02-04-2025,12:07:45,24.9,2
02-04-2025,12:09:45,24.9,2
02-04-2025,12:11:45,24.9,2
02-04-2025,12:13:45,24.9,2
02-04-2025,12:15:45,24.9,2
02-04-2025,12:17:45,24.9,2
02-04-2025,12:19:45,24.9,2
02-04-2025,12:21:45,24.9,2
02-04-2025,12:23:45,24.9,2
02-04-2025,12:25:45,24.9,2
02-04-2025,12:27:45,24.9,2
02-04-2025,12:29:45,24.9,2
02-04-2025,12:31:45,24.9,2
02-04-2025,12:33:45,24.9,2
02-04-2025,12:35:45,24.9,2
02-04-2025,12:37:45,23.6,2
02-04-2025,12:39:45,24.9,2
02-04-2025,12:41:45,24.9,2
02-04-2025,12:43:45,24.9,2
02-04-2025,12:45:45,24.9,2
02-04-2025,12:47:45,24.9,2
02-04-2025,12:49:45,24.9,2
02-04-2025,12:51:45,24.8,2
02-04-2025,12:53:45,24.9,2
02-04-2025,12:55:45,24.8,2
02-04-2025,12:57:45,24.8,2
02-04-2025,12:59:45,24.8,2
02-04-2025,13:01:45,24.9,2
02-04-2025,13:03:45,24.9,2
02-04-2025,13:05:45,24.9,2
02-04-2025,13:07:45,24.7,2
02-04-2025,13:09:45,24.9,2
02-04-2025,13:11:45,24.9,2
02-04-2025,13:13:45,24.9,2
02-04-2025,13:15:45,24.9,2
02-04-2025,13:17:45,24.9,2
02-04-2025,13:19:45,24.9,2
02-04-2025,13:21:45,24.9,2
02-04-2025,13:23:45,24.9,2
02-04-2025,13:25:45,24.9,2
02-04-2025,13:27:45,24.9,2
02-04-2025,13:29:45,24.7,2
02-04-2025,13:31:45,24.9,2
02-04-2025,13:33:45,24.9,2
02-04-2025,13:35:45,24.9,2
02-04-2025,13:37:45,24.9,2
02-04-2025,13:39:45,22.4,2
02-04-2025,13:41:45,24.9,2
02-04-2025,13:43:45,24.9,2
02-04-2025,13:45:45,24.9,2
02-04-2025,13:47:45,24.9,2
02-04-2025,13:49:45,24.9,2
02-04-2025,13:51:45,24.9,2
02-04-2025,13:53:45,24.9,2
02-04-2025,13:55:45,24.9,2
02-04-2025,13:57:45,24.9,2
02-04-2025,13:59:45,24.9,2
02-04-2025,14:01:45,24.9,2
02-04-2025,14:03:45,24.9,2
02-04-2025,14:05:45,24.9,2
02-04-2025,14:07:45,24.9,2
02-04-2025,14:09:45,24.9,2
02-04-2025,14:11:45,24.9,2
02-04-2025,14:13:45,24.9,2
02-04-2025,14:15:45,24.9,2
02-04-2025,14:17:45,24.9,2
02-04-2025,14:19:45,24.9,2
02-04-2025,14:21:45,24.9,2
02-04-2025,14:23:45,24.9,2
02-04-2025,14:25:45,24.9,2
02-04-2025,14:27:45,24.9,2
02-04-2025,14:29:45,24.9,2
02-04-2025,14:31:45,24.9,2
02-04-2025,14:33:45,24.9,2
02-04-2025,14:35:45,24.9,2
02-04-2025,14:37:45,24.9,2
02-04-2025,14:39:45,24.9,2
02-04-2025,14:41:45,25.0,2
02-04-2025,14:43:45,25.0,2
02-04-2025,14:45:45,25.0,2
02-04-2025,14:47:45,25.0,2
02-04-2025,14:49:45,25.0,2
02-04-2025,14:51:45,25.0,2
02-04-2025,14:53:45,25.0,2
02-04-2025,14:55:45,25.0,2
02-04-2025,14:57:45,25.0,2
02-04-2025,14:59:45,25.0,2
02-04-2025,15:01:45,25.0,2
02-04-2025,15:03:45,25.0,2
02-04-2025,15:05:45,25.0,2
02-04-2025,15:07:45,24.3,2
02-04-2025,15:09:45,25.0,2
02-04-2025,15:11:45,25.0,2
02-04-2025,15:13:45,24.9,2
02-04-2025,15:15:45,24.3,2
02-04-2025,15:17:45,25.0,2
02-04-2025,15:19:45,25.0,2
02-04-2025,15:21:45,25.0,2
02-04-2025,15:23:45,25.0,2
02-04-2025,15:25:45,25.0,2
02-04-2025,15:27:45,25.0,2
02-04-2025,15:29:45,25.0,2
02-04-2025,15:31:45,24.9,2
02-04-2025,15:33:45,25.0,2
02-04-2025,15:35:45,25.0,2
02-04-2025,15:37:45,25.0,2
02-04-2025,15:39:45,25.0,2
02-04-2025,15:41:45,25.0,2
02-04-2025,15:43:45,24.9,2
02-04-2025,15:45:45,25.0,2
02-04-2025,15:47:45,25.0,2
02-04-2025,15:49:45,25.0,2
02-04-2025,15:51:45,25.0,2
02-04-2025,15:53:45,25.0,2
02-04-2025,15:55:45,25.0,2
02-04-2025,15:57:45,25.0,2
02-04-2025,15:59:45,24.3,2
02-04-2025,16:01:45,24.9,2
02-04-2025,16:03:45,25.0,2
02-04-2025,16:05:45,25.0,2
02-04-2025,16:07:45,24.9,2
02-04-2025,16:09:45,24.9,2
