Date,Time,Temperature(°C),Interval
2025-04-08,12:46:13,-,1 min
08-04-2025,12:46:13,33.7,1 min
08-04-2025,12:47:13,33.8,1 min
08-04-2025,12:48:13,33.8,1 min
08-04-2025,12:49:13,33.8,1 min
08-04-2025,12:50:13,33.8,1 min
08-04-2025,12:51:13,33.8,1 min
08-04-2025,12:52:13,33.8,1 min
08-04-2025,12:53:13,33.9,1 min
08-04-2025,12:54:13,33.9,1 min
08-04-2025,12:55:13,33.9,1 min
08-04-2025,12:56:13,33.9,1 min
08-04-2025,12:57:13,33.9,1 min
08-04-2025,12:58:13,33.9,1 min
08-04-2025,12:59:13,33.9,1 min
08-04-2025,13:00:13,33.9,1 min
08-04-2025,13:01:13,33.9,1 min
08-04-2025,13:02:13,34.0,1 min
08-04-2025,13:03:13,33.9,1 min
08-04-2025,13:04:13,34.0,1 min
08-04-2025,13:05:13,34.0,1 min
08-04-2025,13:06:13,33.9,1 min
08-04-2025,13:07:13,33.9,1 min
08-04-2025,13:08:13,33.9,1 min
08-04-2025,13:09:13,33.9,1 min
08-04-2025,13:10:13,33.9,1 min
08-04-2025,13:11:13,33.8,1 min
08-04-2025,13:12:13,33.8,1 min
08-04-2025,13:13:13,33.8,1 min
08-04-2025,13:14:13,33.8,1 min
08-04-2025,13:15:13,33.8,1 min
