Date,Time,Temperature(°C),Interval(in minutes)
2025-06-30,10:24:36,-,2 min
30-06-2025,10:24:36,28.2,2
30-06-2025,10:26:36,28.2,2
30-06-2025,10:28:36,28.3,2
30-06-2025,10:30:36,28.2,2
30-06-2025,10:32:36,28.2,2
30-06-2025,10:34:36,28.2,2
30-06-2025,10:36:36,28.2,2
30-06-2025,10:38:36,28.1,2
30-06-2025,10:40:36,28.1,2
30-06-2025,10:42:36,28.0,2
30-06-2025,10:44:36,28.0,2
30-06-2025,10:46:36,28.1,2
30-06-2025,10:48:36,28.1,2
30-06-2025,10:50:36,28.2,2
30-06-2025,10:52:36,28.1,2
30-06-2025,10:54:36,28.0,2
30-06-2025,10:56:36,28.1,2
30-06-2025,10:58:36,28.1,2
30-06-2025,11:00:36,28.1,2
30-06-2025,11:02:36,28.1,2
30-06-2025,11:04:36,28.0,2
30-06-2025,11:06:36,28.1,2
30-06-2025,11:08:36,28.1,2
30-06-2025,11:10:36,28.0,2
30-06-2025,11:12:36,28.0,2
30-06-2025,11:14:36,28.0,2
30-06-2025,11:16:36,28.0,2
30-06-2025,11:18:36,27.9,2
30-06-2025,11:20:36,28.0,2
30-06-2025,11:22:36,27.8,2
30-06-2025,11:24:36,27.9,2
30-06-2025,11:26:36,27.9,2
30-06-2025,11:28:36,28.1,2
30-06-2025,11:30:36,28.2,2
