Date,Time,Temperature(°C),Interval
2025-03-29,13:18:46,-,30 sec
29-03-2025,13:18:46,36.61,30 sec
29-03-2025,13:19:16,36.91,30 sec
29-03-2025,13:19:46,37.00,30 sec
29-03-2025,13:20:16,37.01,30 sec
29-03-2025,13:20:46,37.02,30 sec
29-03-2025,13:21:16,37.03,30 sec
29-03-2025,13:21:46,37.05,30 sec
29-03-2025,13:22:16,37.06,30 sec
29-03-2025,13:22:46,37.08,30 sec
29-03-2025,13:23:16,37.10,30 sec
29-03-2025,13:23:46,37.13,30 sec
29-03-2025,13:24:16,37.16,30 sec
29-03-2025,13:24:46,37.19,30 sec
29-03-2025,13:25:16,37.21,30 sec
29-03-2025,13:25:46,37.24,30 sec
29-03-2025,13:26:16,37.27,30 sec
29-03-2025,13:26:46,37.30,30 sec
29-03-2025,13:27:16,37.34,30 sec
29-03-2025,13:27:46,37.38,30 sec
29-03-2025,13:28:16,37.41,30 sec
29-03-2025,13:28:46,37.45,30 sec
29-03-2025,13:29:16,37.48,30 sec
29-03-2025,13:29:46,37.52,30 sec
29-03-2025,13:30:16,37.56,30 sec
29-03-2025,13:30:46,37.59,30 sec
29-03-2025,13:31:16,37.63,30 sec
29-03-2025,13:31:46,37.66,30 sec
29-03-2025,13:32:16,37.69,30 sec
29-03-2025,13:32:46,37.72,30 sec
29-03-2025,13:33:16,37.75,30 sec
29-03-2025,13:33:46,37.76,30 sec
29-03-2025,13:34:16,37.78,30 sec
29-03-2025,13:34:46,37.78,30 sec
29-03-2025,13:35:16,37.79,30 sec
29-03-2025,13:35:46,37.79,30 sec
29-03-2025,13:36:16,37.78,30 sec
29-03-2025,13:36:46,37.77,30 sec
29-03-2025,13:37:16,37.75,30 sec
29-03-2025,13:37:46,37.74,30 sec
29-03-2025,13:38:16,37.72,30 sec
29-03-2025,13:38:46,37.71,30 sec
29-03-2025,13:39:16,37.70,30 sec
29-03-2025,13:39:46,37.70,30 sec
29-03-2025,13:40:16,37.70,30 sec
29-03-2025,13:40:46,37.70,30 sec
29-03-2025,13:41:16,37.70,30 sec
29-03-2025,13:41:46,37.70,30 sec
29-03-2025,13:42:16,37.70,30 sec
29-03-2025,13:42:46,37.70,30 sec
29-03-2025,13:43:16,37.69,30 sec
29-03-2025,13:43:46,37.68,30 sec
29-03-2025,13:44:16,37.67,30 sec
29-03-2025,13:44:46,37.66,30 sec
29-03-2025,13:45:16,37.64,30 sec
29-03-2025,13:45:46,37.63,30 sec
29-03-2025,13:46:16,37.62,30 sec
29-03-2025,13:46:46,37.61,30 sec
29-03-2025,13:47:16,37.59,30 sec
29-03-2025,13:47:46,37.58,30 sec
29-03-2025,13:48:16,37.57,30 sec
29-03-2025,13:48:46,37.59,30 sec
29-03-2025,13:49:16,37.61,30 sec
29-03-2025,13:49:46,37.62,30 sec
29-03-2025,13:50:16,37.62,30 sec
29-03-2025,13:50:46,37.62,30 sec
29-03-2025,13:51:16,37.61,30 sec
29-03-2025,13:51:46,37.61,30 sec
29-03-2025,13:52:16,37.60,30 sec
29-03-2025,13:52:46,37.60,30 sec
29-03-2025,13:53:16,37.59,30 sec
29-03-2025,13:53:46,37.57,30 sec
29-03-2025,13:54:16,37.54,30 sec
29-03-2025,13:54:46,37.51,30 sec
29-03-2025,13:55:16,37.50,30 sec
29-03-2025,13:55:46,37.49,30 sec
29-03-2025,13:56:16,37.48,30 sec
29-03-2025,13:56:46,37.47,30 sec
29-03-2025,13:57:16,37.45,30 sec
29-03-2025,13:57:46,37.44,30 sec
29-03-2025,13:58:16,37.43,30 sec
29-03-2025,13:58:46,37.42,30 sec
29-03-2025,13:59:16,37.41,30 sec
29-03-2025,13:59:46,37.41,30 sec
29-03-2025,14:00:16,37.40,30 sec
29-03-2025,14:00:46,37.36,30 sec
29-03-2025,14:01:16,37.09,30 sec
29-03-2025,14:01:46,36.49,30 sec
29-03-2025,14:02:16,35.71,30 sec
2025-03-29,14:21:21,-,1 min
29-03-2025,14:37:04,33.02,30 sec
29-03-2025,14:37:34,33.07,30 sec
29-03-2025,14:38:04,33.16,30 sec
29-03-2025,14:38:34,33.26,30 sec
29-03-2025,14:39:04,33.38,30 sec
29-03-2025,14:39:34,33.53,30 sec
29-03-2025,14:40:04,31.13,30 sec
29-03-2025,14:40:34,33.88,30 sec
29-03-2025,14:41:04,34.07,30 sec
29-03-2025,14:41:34,34.29,30 sec
29-03-2025,14:42:04,34.54,30 sec
29-03-2025,14:42:34,34.74,30 sec
29-03-2025,14:43:04,34.92,30 sec
29-03-2025,14:43:34,35.09,30 sec
29-03-2025,14:44:04,32.68,30 sec
29-03-2025,14:44:34,35.39,30 sec
29-03-2025,14:45:04,35.51,30 sec
29-03-2025,14:45:34,35.63,30 sec
29-03-2025,14:46:04,35.74,30 sec
29-03-2025,14:46:34,35.83,30 sec
29-03-2025,14:47:04,35.89,30 sec
29-03-2025,14:47:34,35.96,30 sec
29-03-2025,14:48:04,36.02,30 sec
29-03-2025,14:48:34,36.08,30 sec
29-03-2025,14:49:04,36.12,30 sec
29-03-2025,14:49:34,36.16,30 sec
29-03-2025,14:50:04,36.20,30 sec
29-03-2025,14:50:34,36.23,30 sec
29-03-2025,14:51:04,36.25,30 sec
29-03-2025,14:51:34,36.27,30 sec
