Date,Time,Temperature(°C),Interval(in minutes)
2025-04-02,10:00:26,-,1 min
02-04-2025,10:00:26,26.1,1
02-04-2025,10:01:26,26.1,1
02-04-2025,10:02:26,26.1,1
02-04-2025,10:03:26,26.1,1
02-04-2025,10:04:26,26.1,1
02-04-2025,10:05:26,26.1,1
02-04-2025,10:06:26,26.1,1
02-04-2025,10:07:26,25.8,1
02-04-2025,10:08:26,26.1,1
02-04-2025,10:09:26,26.1,1
02-04-2025,10:10:26,26.0,1
02-04-2025,10:11:26,26.1,1
02-04-2025,10:12:26,26.1,1
02-04-2025,10:13:26,26.1,1
02-04-2025,10:14:26,26.1,1
02-04-2025,10:15:26,26.1,1
02-04-2025,10:16:26,25.8,1
02-04-2025,10:17:26,26.1,1
02-04-2025,10:18:26,26.1,1
02-04-2025,10:19:26,26.1,1
