Date,Time,Temperature(°C),Interval(in minutes)
2025-04-01,16:18:08,-,10 min
01-04-2025,16:18:08,24.6,10
01-04-2025,16:28:08,24.6,10
01-04-2025,16:38:08,24.6,10
01-04-2025,16:48:08,24.6,10
01-04-2025,16:58:08,24.6,10
01-04-2025,17:08:08,24.6,10
01-04-2025,17:18:08,24.6,10
01-04-2025,17:28:08,24.6,10
01-04-2025,17:38:08,24.6,10
01-04-2025,17:48:08,24.6,10
01-04-2025,17:58:08,24.6,10
01-04-2025,18:08:08,24.6,10
01-04-2025,18:18:08,24.6,10
01-04-2025,18:28:08,24.6,10
01-04-2025,18:38:08,24.6,10
01-04-2025,18:48:08,24.6,10
01-04-2025,18:58:08,24.3,10
01-04-2025,19:08:08,24.6,10
01-04-2025,19:18:08,24.6,10
01-04-2025,19:28:08,24.6,10
01-04-2025,19:38:08,24.6,10
01-04-2025,19:48:08,24.6,10
01-04-2025,19:58:08,24.6,10
01-04-2025,20:08:08,24.6,10
01-04-2025,20:18:08,24.6,10
01-04-2025,20:28:08,24.6,10
01-04-2025,20:38:08,24.6,10
01-04-2025,20:48:08,24.6,10
01-04-2025,20:58:08,24.6,10
01-04-2025,21:08:08,24.6,10
