Date,Time,Temperature (°C),Interval
14-04-2025,00:00:00,27.5,
14-04-2025,00:00:30,27.5,
14-04-2025,00:01:00,27.5,
14-04-2025,00:01:30,27.5,
14-04-2025,00:02:00,27.4,
14-04-2025,00:02:30,27.4,
14-04-2025,00:03:00,27.4,
14-04-2025,00:03:30,27.4,
14-04-2025,00:04:00,27.4,
14-04-2025,00:04:30,27.4,
14-04-2025,00:05:00,27.4,
14-04-2025,00:05:30,27.3,
14-04-2025,00:06:00,27.3,
14-04-2025,00:06:30,27.3,
14-04-2025,00:07:00,27.3,
14-04-2025,00:07:30,27.3,
14-04-2025,00:08:00,27.3,
14-04-2025,00:08:30,27.3,
14-04-2025,00:09:00,27.3,
14-04-2025,00:09:30,27.3,
14-04-2025,00:10:00,27.3,
