Date,Time,Temperature(°C),Interval(in minutes)
2025-06-28,10:50:47,-,5 min
28-06-2025,10:50:47,22.4,5
28-06-2025,10:55:47,22.4,5
28-06-2025,11:00:47,22.5,5
28-06-2025,11:05:47,22.3,5
28-06-2025,11:10:47,22.3,5
28-06-2025,11:15:47,22.3,5
28-06-2025,11:20:47,22.3,5
28-06-2025,11:25:47,22.4,5
28-06-2025,11:30:47,22.4,5
28-06-2025,11:35:47,22.4,5
28-06-2025,11:40:47,22.4,5
28-06-2025,11:45:47,22.3,5
28-06-2025,11:50:47,22.5,5
28-06-2025,11:55:47,22.3,5
28-06-2025,12:00:47,22.3,5
28-06-2025,12:05:47,22.3,5
28-06-2025,12:10:47,23.8,5
28-06-2025,12:15:47,24.3,5
28-06-2025,12:20:47,24.7,5
28-06-2025,12:25:47,25.1,5
28-06-2025,12:30:47,25.5,5
28-06-2025,12:35:47,25.9,5
28-06-2025,12:40:47,26.1,5
28-06-2025,12:45:47,26.3,5
28-06-2025,12:50:47,26.4,5
28-06-2025,12:55:47,26.6,5
28-06-2025,13:00:47,26.7,5
28-06-2025,13:05:47,26.8,5
