Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,13:21:54,-,30 sec
24-06-2025,13:21:54,26.1,0.5
24-06-2025,13:22:24,26.1,0.5
24-06-2025,13:22:54,26.1,0.5
24-06-2025,13:23:24,26.1,0.5
24-06-2025,13:23:54,26.1,0.5
24-06-2025,13:24:24,26.1,0.5
24-06-2025,13:24:54,26.1,0.5
24-06-2025,13:25:24,26.1,0.5
24-06-2025,13:25:54,26.1,0.5
24-06-2025,13:26:24,26.1,0.5
24-06-2025,13:26:54,26.1,0.5
24-06-2025,13:27:24,26.1,0.5
24-06-2025,13:27:54,26.1,0.5
24-06-2025,13:28:24,26.1,0.5
24-06-2025,13:28:54,26.1,0.5
24-06-2025,13:29:24,26.1,0.5
24-06-2025,13:29:54,26.1,0.5
24-06-2025,13:30:24,26.1,0.5
24-06-2025,13:30:54,26.1,0.5
24-06-2025,13:31:24,26.1,0.5
24-06-2025,13:31:54,26.1,0.5
24-06-2025,13:32:24,26.1,0.5
24-06-2025,13:32:54,26.1,0.5
24-06-2025,13:33:24,26.1,0.5
24-06-2025,13:33:54,26.1,0.5
24-06-2025,13:34:24,26.1,0.5
24-06-2025,13:34:54,26.1,0.5
24-06-2025,13:35:24,26.1,0.5
24-06-2025,13:35:54,26.1,0.5
24-06-2025,13:36:24,26.1,0.5
24-06-2025,13:36:54,26.1,0.5
24-06-2025,13:37:24,26.0,0.5
24-06-2025,13:37:54,26.0,0.5
24-06-2025,13:38:24,26.0,0.5
24-06-2025,13:38:54,26.0,0.5
24-06-2025,13:39:24,26.0,0.5
24-06-2025,13:39:54,26.0,0.5
24-06-2025,13:40:24,26.0,0.5
24-06-2025,13:40:54,26.0,0.5
24-06-2025,13:41:24,26.0,0.5
24-06-2025,13:41:54,26.0,0.5
24-06-2025,13:42:24,26.0,0.5
24-06-2025,13:42:54,26.0,0.5
24-06-2025,13:43:24,26.0,0.5
24-06-2025,13:43:54,26.0,0.5
24-06-2025,13:44:24,26.1,0.5
24-06-2025,13:44:54,26.1,0.5
24-06-2025,13:45:24,26.0,0.5
24-06-2025,13:45:54,26.1,0.5
24-06-2025,13:46:24,26.1,0.5
24-06-2025,13:46:54,26.1,0.5
24-06-2025,13:47:24,26.1,0.5
24-06-2025,13:47:54,26.1,0.5
24-06-2025,13:48:24,26.1,0.5
24-06-2025,13:48:54,26.1,0.5
24-06-2025,13:49:24,26.0,0.5
24-06-2025,13:49:54,26.1,0.5
24-06-2025,13:50:24,26.1,0.5
24-06-2025,13:50:54,26.1,0.5
24-06-2025,13:51:24,26.1,0.5
24-06-2025,13:51:54,26.1,0.5
24-06-2025,13:52:24,26.1,0.5
24-06-2025,13:52:54,26.1,0.5
24-06-2025,13:53:24,26.1,0.5
24-06-2025,13:53:54,26.1,0.5
24-06-2025,13:54:24,26.1,0.5
24-06-2025,13:54:54,26.1,0.5
24-06-2025,13:55:24,26.1,0.5
24-06-2025,13:55:54,26.1,0.5
24-06-2025,13:56:24,26.1,0.5
24-06-2025,13:56:54,26.0,0.5
24-06-2025,13:57:24,26.0,0.5
24-06-2025,13:57:54,26.0,0.5
24-06-2025,13:58:24,26.0,0.5
24-06-2025,13:58:54,26.0,0.5
24-06-2025,13:59:24,26.0,0.5
24-06-2025,13:59:54,26.1,0.5
