Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,13:24:58,-,30 sec
24-06-2025,13:24:58,26.0,0.5
24-06-2025,13:25:28,26.0,0.5
24-06-2025,13:25:58,26.0,0.5
24-06-2025,13:26:28,26.0,0.5
24-06-2025,13:26:58,26.0,0.5
24-06-2025,13:27:28,26.0,0.5
24-06-2025,13:27:58,26.1,0.5
24-06-2025,13:28:28,26.0,0.5
24-06-2025,13:28:58,26.0,0.5
24-06-2025,13:29:28,26.0,0.5
24-06-2025,13:29:58,26.0,0.5
24-06-2025,13:30:28,26.0,0.5
24-06-2025,13:30:58,26.0,0.5
24-06-2025,13:31:28,26.0,0.5
24-06-2025,13:31:58,26.0,0.5
24-06-2025,13:32:28,26.0,0.5
24-06-2025,13:32:58,26.0,0.5
24-06-2025,13:33:28,26.0,0.5
24-06-2025,13:33:58,26.0,0.5
24-06-2025,13:34:28,26.0,0.5
24-06-2025,13:34:58,26.0,0.5
24-06-2025,13:35:28,26.0,0.5
24-06-2025,13:35:58,26.0,0.5
24-06-2025,13:36:28,26.0,0.5
24-06-2025,13:36:58,26.0,0.5
24-06-2025,13:37:28,26.0,0.5
24-06-2025,13:37:58,26.0,0.5
24-06-2025,13:38:28,26.0,0.5
24-06-2025,13:38:58,26.0,0.5
24-06-2025,13:39:28,26.0,0.5
24-06-2025,13:39:58,26.0,0.5
24-06-2025,13:40:28,26.0,0.5
24-06-2025,13:40:58,26.0,0.5
24-06-2025,13:41:28,26.0,0.5
24-06-2025,13:41:58,26.0,0.5
24-06-2025,13:42:28,26.0,0.5
24-06-2025,13:42:58,26.0,0.5
24-06-2025,13:43:28,26.0,0.5
24-06-2025,13:43:58,26.0,0.5
24-06-2025,13:44:28,26.0,0.5
24-06-2025,13:44:58,26.0,0.5
24-06-2025,13:45:28,26.0,0.5
24-06-2025,13:45:58,26.0,0.5
24-06-2025,13:46:28,26.0,0.5
24-06-2025,13:46:58,26.0,0.5
24-06-2025,13:47:28,26.0,0.5
24-06-2025,13:47:58,26.0,0.5
24-06-2025,13:48:28,26.0,0.5
24-06-2025,13:48:58,26.0,0.5
24-06-2025,13:49:28,25.9,0.5
24-06-2025,13:49:58,25.9,0.5
24-06-2025,13:50:28,25.9,0.5
24-06-2025,13:50:58,26.0,0.5
24-06-2025,13:51:28,25.9,0.5
24-06-2025,13:51:58,25.9,0.5
24-06-2025,13:52:28,25.9,0.5
24-06-2025,13:52:58,25.9,0.5
24-06-2025,13:53:28,25.9,0.5
24-06-2025,13:53:58,25.9,0.5
24-06-2025,13:54:28,25.9,0.5
24-06-2025,13:54:58,25.9,0.5
24-06-2025,13:55:28,25.9,0.5
24-06-2025,13:55:58,25.9,0.5
24-06-2025,13:56:28,25.9,0.5
24-06-2025,13:56:58,25.9,0.5
24-06-2025,13:57:28,25.9,0.5
24-06-2025,13:57:58,25.9,0.5
24-06-2025,13:58:28,25.9,0.5
24-06-2025,13:58:58,25.9,0.5
