Date,Time,Temperature(°C),Interval
2025-04-14,11:20:05,-,30 sec
14-04-2025,11:20:05,27.0,30 sec
14-04-2025,11:20:35,26.9,30 sec
14-04-2025,11:21:05,26.8,30 sec
14-04-2025,11:21:35,26.8,30 sec
14-04-2025,11:22:05,26.8,30 sec
14-04-2025,11:22:35,26.8,30 sec
14-04-2025,11:23:05,26.8,30 sec
14-04-2025,11:23:35,26.7,30 sec
14-04-2025,11:24:05,26.7,30 sec
14-04-2025,11:24:35,26.8,30 sec
14-04-2025,11:25:05,26.8,30 sec
14-04-2025,11:25:35,26.8,30 sec
14-04-2025,11:26:05,26.9,30 sec
14-04-2025,11:26:35,26.9,30 sec
14-04-2025,11:27:05,26.9,30 sec
14-04-2025,11:27:35,26.8,30 sec
14-04-2025,11:28:05,26.8,30 sec
14-04-2025,11:28:35,26.7,30 sec
14-04-2025,11:29:05,26.7,30 sec
14-04-2025,11:29:35,26.7,30 sec
14-04-2025,11:30:05,26.6,30 sec
14-04-2025,11:30:35,26.6,30 sec
14-04-2025,11:31:05,26.6,30 sec
14-04-2025,11:31:35,26.6,30 sec
14-04-2025,11:32:05,26.6,30 sec
14-04-2025,11:32:35,26.6,30 sec
14-04-2025,11:33:05,26.5,30 sec
14-04-2025,11:33:35,26.5,30 sec
14-04-2025,11:34:05,26.5,30 sec
14-04-2025,11:34:35,26.5,30 sec
14-04-2025,11:35:05,26.5,30 sec
14-04-2025,11:35:35,26.5,30 sec
14-04-2025,11:36:05,26.5,30 sec
14-04-2025,11:36:35,26.5,30 sec
14-04-2025,11:37:05,26.5,30 sec
14-04-2025,11:37:35,26.5,30 sec
14-04-2025,11:38:05,26.5,30 sec
14-04-2025,11:38:35,26.6,30 sec
14-04-2025,11:39:05,26.6,30 sec
14-04-2025,11:39:35,26.6,30 sec
