Date,Time,Temperature(°C),Interval
2025-04-10,09:57:23,-,30 sec
10-04-2025,09:57:23,26.6,30 sec
10-04-2025,09:57:53,26.6,30 sec
10-04-2025,09:58:23,26.6,30 sec
10-04-2025,09:58:53,26.6,30 sec
10-04-2025,09:59:23,26.6,30 sec
10-04-2025,09:59:53,26.6,30 sec
10-04-2025,10:00:23,26.6,30 sec
10-04-2025,10:00:53,26.6,30 sec
10-04-2025,10:01:23,26.5,30 sec
10-04-2025,10:01:53,26.5,30 sec
10-04-2025,09:57:23,26.5,30 sec
10-04-2025,09:57:53,26.6,30 sec
10-04-2025,09:58:23,26.6,30 sec
10-04-2025,09:58:53,26.7,30 sec
10-04-2025,09:59:23,26.7,30 sec
10-04-2025,09:59:53,26.7,30 sec
10-04-2025,10:00:23,26.7,30 sec
10-04-2025,10:00:53,26.7,30 sec
10-04-2025,10:01:23,26.7,30 sec
10-04-2025,10:01:53,26.7,30 sec
10-04-2025,09:57:23,26.7,30 sec
10-04-2025,09:57:53,26.8,30 sec
10-04-2025,09:58:23,26.9,30 sec
10-04-2025,09:58:53,26.9,30 sec
10-04-2025,09:59:23,26.9,30 sec
10-04-2025,09:59:53,26.9,30 sec
10-04-2025,10:00:23,26.8,30 sec
10-04-2025,10:00:53,26.7,30 sec
10-04-2025,10:01:23,26.6,30 sec
10-04-2025,10:01:53,26.6,30 sec
10-04-2025,09:57:23,26.6,30 sec
10-04-2025,09:57:53,26.5,30 sec
