Date,Time,Temperature(°C),Interval
2025-04-10,17:42:30,-,10 min
10-04-2025,17:42:30,26.3,10 min
10-04-2025,17:52:30,26.3,10 min
10-04-2025,18:02:30,26.3,10 min
10-04-2025,18:12:30,26.3,10 min
10-04-2025,18:22:30,26.3,10 min
10-04-2025,18:32:30,26.3,10 min
10-04-2025,18:42:30,26.3,10 min
10-04-2025,18:52:30,26.3,10 min
10-04-2025,19:02:30,26.3,10 min
10-04-2025,19:12:30,26.3,10 min
10-04-2025,19:22:30,26.3,10 min
10-04-2025,19:32:30,26.3,10 min
10-04-2025,19:42:30,26.3,10 min
10-04-2025,19:52:30,26.3,10 min
10-04-2025,20:02:30,26.3,10 min
10-04-2025,20:12:30,26.3,10 min
10-04-2025,20:22:30,26.3,10 min
10-04-2025,20:32:30,26.3,10 min
10-04-2025,20:42:30,26.3,10 min
10-04-2025,20:52:30,26.3,10 min
10-04-2025,21:02:30,26.3,10 min
10-04-2025,21:12:30,26.3,10 min
10-04-2025,21:22:30,26.3,10 min
10-04-2025,21:32:30,26.3,10 min
10-04-2025,21:42:30,26.3,10 min
10-04-2025,21:52:30,26.3,10 min
10-04-2025,22:02:30,26.3,10 min
10-04-2025,22:12:30,26.3,10 min
10-04-2025,22:22:30,26.3,10 min
10-04-2025,22:32:30,26.3,10 min
10-04-2025,22:42:30,26.3,10 min
10-04-2025,22:52:30,26.3,10 min
10-04-2025,23:02:30,26.3,10 min
10-04-2025,23:12:30,26.3,10 min
10-04-2025,23:22:30,26.3,10 min
10-04-2025,23:32:30,26.3,10 min
10-04-2025,23:42:30,26.3,10 min
10-04-2025,23:52:30,26.3,10 min
11-04-2025,00:02:30,26.3,10 min
11-04-2025,00:12:30,26.3,10 min
11-04-2025,00:22:30,26.3,10 min
11-04-2025,00:32:30,26.3,10 min
11-04-2025,00:42:30,26.3,10 min
11-04-2025,00:52:30,26.3,10 min
11-04-2025,01:02:30,26.2,10 min
11-04-2025,01:12:30,26.2,10 min
11-04-2025,01:22:30,26.2,10 min
11-04-2025,01:32:30,26.2,10 min
11-04-2025,01:42:30,26.3,10 min
11-04-2025,01:52:30,26.2,10 min
11-04-2025,02:02:30,26.2,10 min
11-04-2025,02:12:30,26.2,10 min
11-04-2025,02:22:30,26.2,10 min
11-04-2025,02:32:30,26.2,10 min
11-04-2025,02:42:30,26.2,10 min
11-04-2025,02:52:30,26.2,10 min
11-04-2025,03:02:30,26.2,10 min
11-04-2025,03:12:30,26.2,10 min
11-04-2025,03:22:30,26.2,10 min
11-04-2025,03:32:30,26.2,10 min
11-04-2025,03:42:30,26.2,10 min
11-04-2025,03:52:30,26.2,10 min
11-04-2025,04:02:30,26.2,10 min
11-04-2025,04:12:30,26.2,10 min
11-04-2025,04:22:30,26.2,10 min
11-04-2025,04:32:30,26.2,10 min
11-04-2025,04:42:30,26.2,10 min
11-04-2025,04:52:30,26.2,10 min
11-04-2025,05:02:30,26.2,10 min
11-04-2025,05:12:30,26.2,10 min
11-04-2025,05:22:30,26.2,10 min
11-04-2025,05:32:30,26.2,10 min
11-04-2025,05:42:30,26.2,10 min
11-04-2025,05:52:30,26.2,10 min
11-04-2025,06:02:30,26.2,10 min
11-04-2025,06:12:30,26.2,10 min
11-04-2025,06:22:30,26.2,10 min
11-04-2025,06:32:30,26.2,10 min
11-04-2025,06:42:30,26.2,10 min
11-04-2025,06:52:30,26.2,10 min
11-04-2025,07:02:30,26.2,10 min
11-04-2025,07:12:30,26.2,10 min
11-04-2025,07:22:30,26.2,10 min
11-04-2025,07:32:30,26.2,10 min
11-04-2025,07:42:30,26.2,10 min
11-04-2025,07:52:30,26.2,10 min
11-04-2025,08:02:30,26.2,10 min
11-04-2025,08:12:30,26.2,10 min
11-04-2025,08:22:30,26.2,10 min
11-04-2025,08:32:30,26.2,10 min
