Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,15:21:30,-,30 sec
24-06-2025,15:21:30,25.9,0.5
24-06-2025,15:22:00,25.9,0.5
24-06-2025,15:22:30,25.9,0.5
24-06-2025,15:23:00,25.9,0.5
24-06-2025,15:23:30,25.9,0.5
24-06-2025,15:24:00,25.9,0.5
24-06-2025,15:24:30,25.9,0.5
24-06-2025,15:25:00,25.9,0.5
24-06-2025,15:25:30,25.9,0.5
24-06-2025,15:26:00,25.9,0.5
24-06-2025,15:26:30,25.9,0.5
24-06-2025,15:27:00,25.9,0.5
24-06-2025,15:27:30,25.9,0.5
24-06-2025,15:28:00,25.9,0.5
24-06-2025,15:28:30,25.9,0.5
24-06-2025,15:29:00,25.9,0.5
24-06-2025,15:29:30,25.9,0.5
24-06-2025,15:30:00,25.9,0.5
24-06-2025,15:30:30,25.9,0.5
24-06-2025,15:31:00,25.9,0.5
24-06-2025,15:31:30,25.9,0.5
24-06-2025,15:32:00,25.9,0.5
24-06-2025,15:32:30,25.9,0.5
24-06-2025,15:33:00,25.9,0.5
24-06-2025,15:33:30,25.9,0.5
24-06-2025,15:34:00,25.9,0.5
24-06-2025,15:34:30,25.9,0.5
24-06-2025,15:35:00,25.9,0.5
24-06-2025,15:35:30,25.9,0.5
24-06-2025,15:36:00,25.9,0.5
24-06-2025,15:36:30,25.9,0.5
