Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,14:40:13,-,30 sec
24-06-2025,14:40:13,26.2,1
24-06-2025,14:41:13,26.2,1
24-06-2025,14:42:13,26.2,1
24-06-2025,14:43:13,26.2,1
24-06-2025,14:44:13,26.2,1
24-06-2025,14:45:13,26.2,1
24-06-2025,14:46:13,26.2,1
24-06-2025,14:47:13,26.2,1
24-06-2025,14:48:13,26.2,1
24-06-2025,14:49:13,26.2,1
24-06-2025,14:50:13,26.2,1
24-06-2025,14:51:13,26.2,1
24-06-2025,14:52:13,26.2,1
24-06-2025,14:53:13,26.2,1
24-06-2025,14:54:13,26.2,1
24-06-2025,14:55:13,26.2,1
24-06-2025,14:56:13,26.2,1
24-06-2025,14:57:13,26.2,1
24-06-2025,14:58:13,26.2,1
24-06-2025,14:59:13,26.2,1
24-06-2025,15:00:13,26.2,1
24-06-2025,15:01:13,26.2,1
24-06-2025,15:02:13,26.2,1
24-06-2025,15:03:13,26.2,1
24-06-2025,15:04:13,26.2,1
24-06-2025,15:05:13,26.2,1
24-06-2025,15:06:13,26.2,1
24-06-2025,15:07:13,26.2,1
24-06-2025,15:08:13,26.2,1
24-06-2025,15:09:13,26.2,1
24-06-2025,15:10:13,26.2,1
24-06-2025,15:11:13,26.2,1
24-06-2025,15:12:13,26.2,1
24-06-2025,15:13:13,26.2,1
24-06-2025,15:14:13,26.2,1
24-06-2025,15:15:13,26.2,1
24-06-2025,15:16:13,26.2,1
24-06-2025,15:17:13,26.2,1
24-06-2025,15:18:13,26.2,1
24-06-2025,15:19:13,26.2,1
24-06-2025,15:20:13,26.2,1
24-06-2025,15:21:13,26.2,1
24-06-2025,15:22:13,26.2,1
24-06-2025,15:23:13,26.2,1
24-06-2025,15:24:13,26.2,1
24-06-2025,15:25:13,26.2,1
24-06-2025,15:26:13,26.2,1
24-06-2025,15:27:13,26.2,1
24-06-2025,15:28:13,26.2,1
24-06-2025,15:29:13,26.2,1
24-06-2025,15:30:13,26.2,1
24-06-2025,15:31:13,26.2,1
24-06-2025,15:32:13,26.2,1
24-06-2025,15:33:13,26.2,1
24-06-2025,15:34:13,26.2,1
24-06-2025,15:35:13,26.2,1
24-06-2025,15:36:13,26.2,1
24-06-2025,15:37:13,26.2,1
24-06-2025,15:38:13,26.2,1
24-06-2025,15:39:13,26.2,1
24-06-2025,15:40:13,26.2,1
24-06-2025,15:41:13,26.2,1
24-06-2025,15:42:13,26.2,1
24-06-2025,15:43:13,26.2,1
24-06-2025,15:44:13,26.2,1
24-06-2025,15:45:13,26.2,1
24-06-2025,15:46:13,26.2,1
24-06-2025,15:47:13,26.2,1
24-06-2025,15:48:13,26.2,1
24-06-2025,15:49:13,26.2,1
24-06-2025,15:50:13,26.2,1
24-06-2025,15:51:13,26.2,1
24-06-2025,15:52:13,26.2,1
24-06-2025,15:53:13,26.2,1
24-06-2025,15:54:13,26.2,1
24-06-2025,15:55:13,26.2,1
24-06-2025,15:56:13,26.2,1
24-06-2025,15:57:13,26.2,1
24-06-2025,15:58:13,26.2,1
24-06-2025,15:59:13,26.2,1
24-06-2025,16:00:13,26.2,1
24-06-2025,16:01:13,26.1,1
24-06-2025,16:02:13,26.1,1
24-06-2025,16:03:13,26.1,1
24-06-2025,16:04:13,26.1,1
24-06-2025,16:05:13,26.1,1
24-06-2025,16:06:13,26.1,1
24-06-2025,16:07:13,26.1,1
24-06-2025,16:08:13,26.1,1
24-06-2025,16:09:13,26.1,1
24-06-2025,16:10:13,26.1,1
24-06-2025,16:11:13,26.1,1
24-06-2025,16:12:13,26.1,1
24-06-2025,16:13:13,26.1,1
24-06-2025,16:14:13,26.1,1
24-06-2025,16:15:13,26.1,1
24-06-2025,16:16:13,26.1,1
24-06-2025,16:17:13,26.1,1
24-06-2025,16:18:13,26.1,1
24-06-2025,16:19:13,26.1,1
24-06-2025,16:20:13,26.1,1
24-06-2025,16:21:13,26.1,1
24-06-2025,16:22:13,26.1,1
24-06-2025,16:23:13,26.1,1
24-06-2025,16:24:13,26.1,1
24-06-2025,16:25:13,26.1,1
24-06-2025,16:26:13,26.1,1
24-06-2025,16:27:13,26.1,1
24-06-2025,16:28:13,26.1,1
24-06-2025,16:29:13,26.1,1
24-06-2025,16:30:13,26.1,1
24-06-2025,16:31:13,26.1,1
24-06-2025,16:32:13,26.1,1
24-06-2025,16:33:13,26.1,1
24-06-2025,16:34:13,26.1,1
24-06-2025,16:35:13,26.1,1
