Date,Time,Temperature(°C),Interval
2025-04-10,10:54:33,-,2 min
10-04-2025,10:54:33,27.0,2 min
10-04-2025,10:56:33,27.0,2 min
10-04-2025,10:58:33,27.0,2 min
10-04-2025,11:00:33,27.0,2 min
10-04-2025,11:02:33,27.0,2 min
10-04-2025,11:04:33,27.0,2 min
10-04-2025,11:06:33,26.9,2 min
10-04-2025,11:08:33,26.9,2 min
10-04-2025,11:10:33,27.0,2 min
10-04-2025,11:12:33,26.9,2 min
10-04-2025,10:54:33,26.9,2 min
10-04-2025,10:56:33,26.9,2 min
10-04-2025,10:58:33,26.9,2 min
10-04-2025,11:00:33,26.9,2 min
10-04-2025,11:02:33,26.9,2 min
10-04-2025,11:04:33,26.9,2 min
10-04-2025,11:06:33,26.9,2 min
10-04-2025,11:08:33,26.9,2 min
10-04-2025,11:10:33,26.9,2 min
10-04-2025,11:12:33,26.9,2 min
10-04-2025,10:54:33,26.9,2 min
10-04-2025,10:56:33,26.9,2 min
10-04-2025,10:58:33,26.9,2 min
10-04-2025,11:00:33,26.9,2 min
10-04-2025,11:02:33,26.9,2 min
10-04-2025,11:04:33,26.9,2 min
10-04-2025,11:06:33,26.9,2 min
10-04-2025,11:08:33,26.9,2 min
10-04-2025,11:10:33,26.9,2 min
10-04-2025,11:12:33,26.9,2 min
10-04-2025,10:54:33,26.9,2 min
10-04-2025,10:56:33,26.9,2 min
10-04-2025,10:58:33,26.9,2 min
10-04-2025,11:00:33,26.9,2 min
10-04-2025,11:02:33,26.9,2 min
10-04-2025,11:04:33,26.9,2 min
10-04-2025,11:06:33,26.9,2 min
10-04-2025,11:08:33,26.9,2 min
10-04-2025,11:10:33,26.9,2 min
10-04-2025,11:12:33,26.9,2 min
10-04-2025,10:54:33,26.9,2 min
10-04-2025,10:56:33,26.9,2 min
10-04-2025,10:58:33,26.9,2 min
10-04-2025,11:00:33,26.9,2 min
10-04-2025,11:02:33,26.9,2 min
10-04-2025,11:04:33,26.9,2 min
10-04-2025,11:06:33,26.9,2 min
10-04-2025,11:08:33,26.9,2 min
10-04-2025,11:10:33,26.9,2 min
10-04-2025,11:12:33,26.9,2 min
10-04-2025,10:54:33,26.9,2 min
10-04-2025,10:56:33,26.9,2 min
10-04-2025,10:58:33,26.9,2 min
10-04-2025,11:00:33,26.9,2 min
10-04-2025,11:02:33,26.9,2 min
10-04-2025,11:04:33,26.9,2 min
10-04-2025,11:06:33,26.9,2 min
10-04-2025,11:08:33,26.9,2 min
10-04-2025,11:10:33,26.9,2 min
10-04-2025,11:12:33,26.9,2 min
10-04-2025,10:54:33,26.8,2 min
10-04-2025,10:56:33,26.8,2 min
10-04-2025,10:58:33,26.8,2 min
10-04-2025,11:00:33,26.8,2 min
10-04-2025,11:02:33,26.8,2 min
10-04-2025,11:04:33,26.8,2 min
10-04-2025,11:06:33,26.8,2 min
10-04-2025,11:08:33,26.8,2 min
10-04-2025,11:10:33,26.8,2 min
10-04-2025,11:12:33,26.8,2 min
