Date,Time,Temperature(°C),Interval
2025-04-10,11:01:18,-,2 min
10-04-2025,11:01:18,26.5,2 min
10-04-2025,11:03:18,26.5,2 min
10-04-2025,11:05:18,26.5,2 min
10-04-2025,11:07:18,26.5,2 min
10-04-2025,11:09:18,26.5,2 min
10-04-2025,11:11:18,26.5,2 min
10-04-2025,11:13:18,26.5,2 min
10-04-2025,11:15:18,26.5,2 min
10-04-2025,11:17:18,26.5,2 min
10-04-2025,11:19:18,26.5,2 min
10-04-2025,11:01:18,26.5,2 min
10-04-2025,11:03:18,26.5,2 min
10-04-2025,11:05:18,26.5,2 min
10-04-2025,11:07:18,26.5,2 min
10-04-2025,11:09:18,26.5,2 min
10-04-2025,11:11:18,26.5,2 min
10-04-2025,11:13:18,26.5,2 min
10-04-2025,11:15:18,26.5,2 min
10-04-2025,11:17:18,26.5,2 min
10-04-2025,11:19:18,26.5,2 min
10-04-2025,11:01:18,26.5,2 min
10-04-2025,11:03:18,26.5,2 min
10-04-2025,11:05:18,26.5,2 min
10-04-2025,11:07:18,26.5,2 min
10-04-2025,11:09:18,26.5,2 min
10-04-2025,11:11:18,26.5,2 min
10-04-2025,11:13:18,26.5,2 min
10-04-2025,11:15:18,26.5,2 min
10-04-2025,11:17:18,26.5,2 min
10-04-2025,11:19:18,26.5,2 min
