Date,Time,Temperature(°C),Interval
2025-04-10,12:09:33,-,5 min
10-04-2025,12:09:33,25.2,5 min
10-04-2025,12:14:33,25.2,5 min
10-04-2025,12:19:33,25.2,5 min
10-04-2025,12:24:33,25.2,5 min
10-04-2025,12:29:33,25.2,5 min
10-04-2025,12:34:33,25.2,5 min
10-04-2025,12:39:33,25.1,5 min
10-04-2025,12:44:33,25.1,5 min
10-04-2025,12:49:33,25.2,5 min
10-04-2025,12:54:33,25.2,5 min
10-04-2025,12:59:33,25.2,5 min
10-04-2025,13:04:33,25.2,5 min
10-04-2025,13:09:33,25.2,5 min
10-04-2025,13:14:33,25.2,5 min
10-04-2025,13:19:33,25.2,5 min
10-04-2025,13:24:33,25.2,5 min
10-04-2025,13:29:33,25.2,5 min
10-04-2025,13:34:33,25.2,5 min
10-04-2025,13:39:33,25.2,5 min
10-04-2025,13:44:33,25.2,5 min
10-04-2025,13:49:33,25.2,5 min
10-04-2025,13:54:33,25.2,5 min
10-04-2025,13:59:33,25.2,5 min
10-04-2025,14:04:33,25.2,5 min
10-04-2025,14:09:33,25.2,5 min
10-04-2025,14:14:33,25.2,5 min
10-04-2025,14:19:33,25.2,5 min
10-04-2025,14:24:33,25.2,5 min
10-04-2025,14:29:33,25.2,5 min
10-04-2025,14:34:33,25.2,5 min
10-04-2025,14:39:33,25.2,5 min
10-04-2025,14:44:33,25.2,5 min
10-04-2025,14:49:33,25.2,5 min
10-04-2025,14:54:33,25.2,5 min
10-04-2025,14:59:33,25.2,5 min
10-04-2025,15:04:33,25.2,5 min
10-04-2025,15:09:33,25.2,5 min
10-04-2025,15:14:33,25.2,5 min
10-04-2025,15:19:33,25.2,5 min
10-04-2025,15:24:33,25.2,5 min
10-04-2025,15:29:33,25.2,5 min
10-04-2025,15:34:33,25.2,5 min
10-04-2025,15:39:33,25.2,5 min
10-04-2025,15:44:33,25.2,5 min
10-04-2025,15:49:33,25.2,5 min
10-04-2025,15:54:33,25.2,5 min
10-04-2025,15:59:33,25.2,5 min
10-04-2025,16:04:33,25.2,5 min
10-04-2025,16:09:33,25.2,5 min
10-04-2025,16:14:33,25.2,5 min
10-04-2025,16:19:33,25.2,5 min
10-04-2025,16:24:33,25.2,5 min
10-04-2025,16:29:33,25.2,5 min
10-04-2025,16:34:33,25.2,5 min
10-04-2025,16:39:33,25.2,5 min
10-04-2025,16:44:33,25.2,5 min
10-04-2025,16:49:33,25.2,5 min
10-04-2025,16:54:33,25.2,5 min
10-04-2025,16:59:33,25.2,5 min
10-04-2025,17:04:33,25.2,5 min
10-04-2025,17:09:33,25.2,5 min
10-04-2025,17:14:33,25.2,5 min
10-04-2025,17:19:33,25.2,5 min
10-04-2025,17:24:33,25.2,5 min
10-04-2025,17:29:33,25.2,5 min
10-04-2025,17:34:33,25.2,5 min
10-04-2025,17:39:33,25.2,5 min
10-04-2025,17:44:33,25.2,5 min
10-04-2025,17:49:33,25.2,5 min
10-04-2025,17:54:33,25.2,5 min
