Date,Time,Temperature(°C),Interval
2025-04-10,12:15:33,-,10 min
10-04-2025,12:15:33,25.1,10 min
10-04-2025,12:25:33,25.1,10 min
10-04-2025,12:35:33,25.1,10 min
10-04-2025,12:45:33,25.1,10 min
10-04-2025,12:55:33,25.1,10 min
10-04-2025,13:05:33,25.1,10 min
10-04-2025,13:15:33,25.1,10 min
10-04-2025,13:25:33,25.1,10 min
10-04-2025,13:35:33,25.1,10 min
10-04-2025,13:45:33,25.2,10 min
10-04-2025,13:55:33,25.2,10 min
10-04-2025,14:05:33,25.2,10 min
10-04-2025,14:15:33,25.2,10 min
10-04-2025,14:25:33,25.1,10 min
10-04-2025,14:35:33,25.1,10 min
10-04-2025,14:45:33,25.1,10 min
10-04-2025,14:55:33,25.1,10 min
10-04-2025,15:05:33,25.1,10 min
10-04-2025,15:15:33,25.2,10 min
10-04-2025,15:25:33,25.1,10 min
10-04-2025,15:35:33,25.2,10 min
10-04-2025,15:45:33,25.1,10 min
10-04-2025,15:55:33,25.1,10 min
10-04-2025,16:05:33,25.1,10 min
10-04-2025,16:15:33,25.1,10 min
10-04-2025,16:25:33,25.1,10 min
10-04-2025,16:35:33,25.1,10 min
10-04-2025,16:45:33,25.1,10 min
10-04-2025,16:55:33,25.1,10 min
10-04-2025,17:05:33,25.1,10 min
10-04-2025,17:15:33,25.1,10 min
10-04-2025,17:25:33,25.1,10 min
10-04-2025,17:35:33,25.1,10 min
10-04-2025,17:45:33,25.1,10 min
10-04-2025,17:55:33,25.1,10 min
10-04-2025,18:05:33,25.1,10 min
10-04-2025,18:15:33,25.1,10 min
10-04-2025,18:25:33,25.1,10 min
10-04-2025,18:35:33,25.1,10 min
10-04-2025,18:45:33,25.1,10 min
10-04-2025,18:55:33,25.1,10 min
10-04-2025,19:05:33,25.1,10 min
10-04-2025,19:15:33,25.1,10 min
10-04-2025,19:25:33,25.1,10 min
10-04-2025,19:35:33,25.1,10 min
10-04-2025,19:45:33,25.1,10 min
10-04-2025,19:55:33,25.1,10 min
