Date,Time,Temperature(°C),Interval
2025-04-10,11:59:56,-,2 min
10-04-2025,11:59:56,25.1,2 min
10-04-2025,12:01:56,25.1,2 min
10-04-2025,12:03:56,25.1,2 min
10-04-2025,12:05:56,25.1,2 min
10-04-2025,12:07:56,25.1,2 min
10-04-2025,12:09:56,25.1,2 min
10-04-2025,12:11:56,25.1,2 min
10-04-2025,12:13:56,25.1,2 min
10-04-2025,12:15:56,25.1,2 min
10-04-2025,12:17:56,25.1,2 min
10-04-2025,12:19:56,25.1,2 min
10-04-2025,12:21:56,25.1,2 min
10-04-2025,12:23:56,25.1,2 min
10-04-2025,12:25:56,25.1,2 min
10-04-2025,12:27:56,25.1,2 min
10-04-2025,12:29:56,25.1,2 min
10-04-2025,12:31:56,25.1,2 min
10-04-2025,12:33:56,25.1,2 min
10-04-2025,12:35:56,25.1,2 min
10-04-2025,12:37:56,25.1,2 min
10-04-2025,12:39:56,25.1,2 min
10-04-2025,12:41:56,25.1,2 min
10-04-2025,12:43:56,25.1,2 min
10-04-2025,12:45:56,25.1,2 min
10-04-2025,12:47:56,25.1,2 min
10-04-2025,12:49:56,25.1,2 min
10-04-2025,12:51:56,25.1,2 min
10-04-2025,12:53:56,25.1,2 min
10-04-2025,12:55:56,25.1,2 min
10-04-2025,12:57:56,25.1,2 min
10-04-2025,12:59:56,25.1,2 min
10-04-2025,13:01:56,25.1,2 min
10-04-2025,13:03:56,25.1,2 min
10-04-2025,13:05:56,25.1,2 min
10-04-2025,13:07:56,25.1,2 min
10-04-2025,13:09:56,25.1,2 min
10-04-2025,13:11:56,25.1,2 min
10-04-2025,13:13:56,25.1,2 min
10-04-2025,13:15:56,25.1,2 min
10-04-2025,13:17:56,25.1,2 min
10-04-2025,13:19:56,25.1,2 min
10-04-2025,13:21:56,25.1,2 min
10-04-2025,13:23:56,25.1,2 min
10-04-2025,13:25:56,25.1,2 min
10-04-2025,13:27:56,25.1,2 min
10-04-2025,13:29:56,25.1,2 min
10-04-2025,13:31:56,25.1,2 min
10-04-2025,13:33:56,25.1,2 min
10-04-2025,13:35:56,25.1,2 min
10-04-2025,13:37:56,25.1,2 min
10-04-2025,13:39:56,25.1,2 min
10-04-2025,13:41:56,25.1,2 min
10-04-2025,13:43:56,25.1,2 min
10-04-2025,13:45:56,25.1,2 min
10-04-2025,13:47:56,25.1,2 min
10-04-2025,13:49:56,25.1,2 min
10-04-2025,13:51:56,25.1,2 min
10-04-2025,13:53:56,25.1,2 min
10-04-2025,13:55:56,25.1,2 min
10-04-2025,13:57:56,25.1,2 min
10-04-2025,13:59:56,25.1,2 min
10-04-2025,14:01:56,25.1,2 min
10-04-2025,14:03:56,25.1,2 min
