Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,15:13:36,-,30 sec
24-06-2025,15:13:36,25.7,0.5
24-06-2025,15:14:06,25.7,0.5
24-06-2025,15:14:36,25.7,0.5
24-06-2025,15:15:06,25.7,0.5
24-06-2025,15:15:36,25.7,0.5
24-06-2025,15:16:06,25.7,0.5
24-06-2025,15:16:36,25.7,0.5
24-06-2025,15:17:06,25.7,0.5
24-06-2025,15:17:36,25.7,0.5
24-06-2025,15:18:06,25.7,0.5
24-06-2025,15:18:36,25.7,0.5
24-06-2025,15:19:06,25.7,0.5
24-06-2025,15:19:36,25.7,0.5
24-06-2025,15:20:06,25.7,0.5
24-06-2025,15:20:36,25.7,0.5
24-06-2025,15:21:06,25.7,0.5
24-06-2025,15:21:36,25.7,0.5
24-06-2025,15:22:06,25.7,0.5
24-06-2025,15:22:36,25.7,0.5
24-06-2025,15:23:06,25.7,0.5
24-06-2025,15:23:36,25.7,0.5
24-06-2025,15:24:06,25.7,0.5
24-06-2025,15:24:36,25.7,0.5
24-06-2025,15:25:06,25.7,0.5
24-06-2025,15:25:36,25.7,0.5
24-06-2025,15:26:06,25.7,0.5
24-06-2025,15:26:36,25.7,0.5
24-06-2025,15:27:06,25.7,0.5
24-06-2025,15:27:36,25.7,0.5
24-06-2025,15:28:06,25.7,0.5
24-06-2025,15:28:36,25.7,0.5
24-06-2025,15:29:06,25.7,0.5
24-06-2025,15:29:36,25.7,0.5
24-06-2025,15:30:06,25.7,0.5
24-06-2025,15:30:36,25.7,0.5
24-06-2025,15:31:06,25.7,0.5
24-06-2025,15:31:36,25.7,0.5
24-06-2025,15:32:06,25.7,0.5
24-06-2025,15:32:36,25.7,0.5
24-06-2025,15:33:06,25.7,0.5
24-06-2025,15:33:36,25.7,0.5
24-06-2025,15:34:06,25.7,0.5
24-06-2025,15:34:36,25.7,0.5
24-06-2025,15:35:06,25.7,0.5
24-06-2025,15:35:36,25.7,0.5
24-06-2025,15:36:06,25.7,0.5
24-06-2025,15:36:36,25.7,0.5
24-06-2025,15:37:06,25.7,0.5
24-06-2025,15:37:36,25.7,0.5
24-06-2025,15:38:06,25.7,0.5
24-06-2025,15:38:36,25.7,0.5
24-06-2025,15:39:06,25.7,0.5
24-06-2025,15:39:36,25.7,0.5
24-06-2025,15:40:06,25.7,0.5
