Date,Time,Temperature(°C),Interval(in minutes)
2025-06-28,10:14:12,-,1 min
28-06-2025,10:14:12,22.5,1
28-06-2025,10:15:12,22.6,1
28-06-2025,10:16:12,22.6,1
28-06-2025,10:17:12,22.6,1
28-06-2025,10:18:12,22.6,1
28-06-2025,10:19:12,22.7,1
28-06-2025,10:20:12,22.6,1
28-06-2025,10:21:12,22.6,1
28-06-2025,10:22:12,22.6,1
28-06-2025,10:23:12,22.6,1
28-06-2025,10:24:12,22.6,1
28-06-2025,10:25:12,22.6,1
28-06-2025,10:26:12,22.5,1
28-06-2025,10:27:12,22.5,1
28-06-2025,10:28:12,22.5,1
28-06-2025,10:29:12,22.5,1
28-06-2025,10:30:12,22.5,1
28-06-2025,10:31:12,22.5,1
28-06-2025,10:32:12,22.6,1
28-06-2025,10:33:12,22.6,1
28-06-2025,10:34:12,22.5,1
28-06-2025,10:35:12,22.6,1
28-06-2025,10:36:12,22.5,1
28-06-2025,10:37:12,22.5,1
28-06-2025,10:38:12,22.5,1
28-06-2025,10:39:12,22.5,1
28-06-2025,10:40:12,22.5,1
28-06-2025,10:41:12,22.5,1
28-06-2025,10:42:12,22.5,1
28-06-2025,10:43:12,22.4,1
