Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,12:52:05,-,30 sec
24-06-2025,12:52:05,26.3,0.5
24-06-2025,12:52:35,26.3,0.5
24-06-2025,12:53:05,26.3,0.5
24-06-2025,12:53:35,26.3,0.5
24-06-2025,12:54:05,26.3,0.5
24-06-2025,12:54:35,26.3,0.5
24-06-2025,12:55:05,26.3,0.5
24-06-2025,12:55:35,26.3,0.5
24-06-2025,12:56:05,26.3,0.5
24-06-2025,12:56:35,26.3,0.5
24-06-2025,12:57:05,26.3,0.5
24-06-2025,12:57:35,26.3,0.5
24-06-2025,12:58:05,26.3,0.5
24-06-2025,12:58:35,26.3,0.5
24-06-2025,12:59:05,26.3,0.5
24-06-2025,12:59:35,26.3,0.5
24-06-2025,13:00:05,26.3,0.5
24-06-2025,13:00:35,26.3,0.5
24-06-2025,13:01:05,26.3,0.5
24-06-2025,13:01:35,26.3,0.5
24-06-2025,13:02:05,26.3,0.5
24-06-2025,13:02:35,26.3,0.5
24-06-2025,13:03:05,26.3,0.5
24-06-2025,13:03:35,26.3,0.5
24-06-2025,13:04:05,26.3,0.5
24-06-2025,13:04:35,26.3,0.5
24-06-2025,13:05:05,26.3,0.5
24-06-2025,13:05:35,26.3,0.5
24-06-2025,13:06:05,26.3,0.5
24-06-2025,13:06:35,26.3,0.5
