Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,12:50:26,-,1 min
24-06-2025,12:50:26,26.4,1
24-06-2025,12:51:26,26.4,1
24-06-2025,12:52:26,26.4,1
24-06-2025,12:53:26,26.4,1
24-06-2025,12:54:26,26.4,1
24-06-2025,12:55:26,26.4,1
24-06-2025,12:56:26,26.4,1
24-06-2025,12:57:26,26.4,1
24-06-2025,12:58:26,26.4,1
24-06-2025,12:59:26,26.4,1
24-06-2025,13:00:26,26.4,1
24-06-2025,13:01:26,26.4,1
24-06-2025,13:02:26,26.4,1
24-06-2025,13:03:26,26.4,1
24-06-2025,13:04:26,26.4,1
24-06-2025,13:05:26,26.4,1
24-06-2025,13:06:26,26.4,1
24-06-2025,13:07:26,26.4,1
24-06-2025,13:08:26,26.4,1
24-06-2025,13:09:26,26.4,1
24-06-2025,13:10:26,26.4,1
24-06-2025,13:11:26,26.4,1
24-06-2025,13:12:26,26.4,1
24-06-2025,13:13:26,26.4,1
24-06-2025,13:14:26,26.4,1
24-06-2025,13:15:26,26.4,1
24-06-2025,13:16:26,26.4,1
24-06-2025,13:17:26,26.4,1
24-06-2025,13:18:26,26.4,1
24-06-2025,13:19:26,26.4,1
