Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,12:20:42,-,30 sec
24-06-2025,12:20:42,26.8,1
24-06-2025,12:21:42,26.8,1
24-06-2025,12:22:42,26.8,1
24-06-2025,12:23:42,26.8,1
24-06-2025,12:24:42,26.8,1
24-06-2025,12:25:42,26.8,1
24-06-2025,12:26:42,26.8,1
24-06-2025,12:27:42,26.8,1
24-06-2025,12:28:42,26.8,1
24-06-2025,12:29:42,26.8,1
2025-06-24,12:25:42,-,30 sec
24-06-2025,12:25:42,26.8,0.5
24-06-2025,12:26:12,26.8,0.5
24-06-2025,12:26:42,26.8,0.5
24-06-2025,12:27:12,26.8,0.5
24-06-2025,12:27:42,26.8,0.5
24-06-2025,12:28:12,26.8,0.5
24-06-2025,12:28:42,26.8,0.5
24-06-2025,12:29:12,26.8,0.5
24-06-2025,12:29:42,26.8,0.5
24-06-2025,12:30:12,26.8,0.5
2025-06-24,12:27:21,-,30 sec
24-06-2025,12:27:21,26.8,0.5
24-06-2025,12:27:51,26.8,0.5
24-06-2025,12:28:21,26.8,0.5
24-06-2025,12:28:51,26.8,0.5
24-06-2025,12:29:21,26.8,0.5
24-06-2025,12:29:51,26.8,0.5
2025-06-24,12:31:04,-,30 sec
24-06-2025,12:31:04,26.8,0.5
24-06-2025,12:31:34,26.8,0.5
24-06-2025,12:32:04,26.8,0.5
24-06-2025,12:32:34,26.8,0.5
24-06-2025,12:33:04,26.8,0.5
24-06-2025,12:33:34,26.8,0.5
24-06-2025,12:34:04,26.8,0.5
24-06-2025,12:34:34,26.8,0.5
24-06-2025,12:35:04,26.8,0.5
24-06-2025,12:35:34,26.8,0.5
24-06-2025,12:36:04,26.8,0.5
24-06-2025,12:36:34,26.8,0.5
2025-06-24,12:35:22,-,30 sec
24-06-2025,12:35:22,26.8,0.5
24-06-2025,12:35:52,26.8,0.5
24-06-2025,12:36:22,26.8,0.5
24-06-2025,12:36:52,26.8,0.5
24-06-2025,12:37:22,26.8,0.5
24-06-2025,12:37:52,26.8,0.5
24-06-2025,12:38:22,26.8,0.5
24-06-2025,12:38:52,26.8,0.5
24-06-2025,12:39:22,26.9,0.5
24-06-2025,12:39:52,26.9,0.5
24-06-2025,12:40:22,26.9,0.5
24-06-2025,12:40:52,26.9,0.5
24-06-2025,12:41:22,26.8,0.5
24-06-2025,12:41:52,26.9,0.5
24-06-2025,12:42:22,26.9,0.5
24-06-2025,12:42:52,26.9,0.5
24-06-2025,12:43:22,26.9,0.5
24-06-2025,12:43:52,26.8,0.5
24-06-2025,12:44:22,26.8,0.5
24-06-2025,12:44:52,26.8,0.5
24-06-2025,12:45:22,26.8,0.5
24-06-2025,12:45:52,26.8,0.5
24-06-2025,12:46:22,26.8,0.5
24-06-2025,12:46:52,26.8,0.5
24-06-2025,12:47:22,26.8,0.5
24-06-2025,12:47:52,26.8,0.5
24-06-2025,12:48:22,26.8,0.5
24-06-2025,12:48:52,26.8,0.5
24-06-2025,12:49:22,26.8,0.5
24-06-2025,12:49:52,26.8,0.5
24-06-2025,12:50:22,26.8,0.5
24-06-2025,12:50:52,26.8,0.5
24-06-2025,12:51:22,26.8,0.5
24-06-2025,12:51:52,26.8,0.5
24-06-2025,12:52:22,26.8,0.5
