Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,13:20:05,-,30 sec
24-06-2025,13:20:05,26.0,0.5
24-06-2025,13:20:35,26.0,0.5
24-06-2025,13:21:05,26.0,0.5
24-06-2025,13:21:35,26.0,0.5
24-06-2025,13:22:05,26.0,0.5
24-06-2025,13:22:35,26.0,0.5
24-06-2025,13:23:05,26.0,0.5
24-06-2025,13:23:35,26.0,0.5
24-06-2025,13:24:05,26.0,0.5
24-06-2025,13:24:35,26.0,0.5
24-06-2025,13:25:05,26.0,0.5
24-06-2025,13:25:35,26.0,0.5
24-06-2025,13:26:05,26.0,0.5
24-06-2025,13:26:35,26.0,0.5
24-06-2025,13:27:05,26.0,0.5
24-06-2025,13:27:35,26.0,0.5
24-06-2025,13:28:05,26.0,0.5
24-06-2025,13:28:35,26.0,0.5
24-06-2025,13:29:05,26.0,0.5
24-06-2025,13:29:35,26.0,0.5
24-06-2025,13:30:05,26.0,0.5
24-06-2025,13:30:35,26.0,0.5
24-06-2025,13:31:05,26.0,0.5
24-06-2025,13:31:35,26.0,0.5
24-06-2025,13:32:05,26.0,0.5
24-06-2025,13:32:35,26.0,0.5
24-06-2025,13:33:05,26.0,0.5
24-06-2025,13:33:35,26.0,0.5
24-06-2025,13:34:05,26.0,0.5
24-06-2025,13:34:35,26.0,0.5
24-06-2025,13:35:05,26.0,0.5
24-06-2025,13:35:35,26.0,0.5
24-06-2025,13:36:05,26.0,0.5
24-06-2025,13:36:35,26.0,0.5
24-06-2025,13:37:05,26.0,0.5
24-06-2025,13:37:35,26.0,0.5
24-06-2025,13:38:05,26.0,0.5
24-06-2025,13:38:35,26.0,0.5
24-06-2025,13:39:05,26.0,0.5
24-06-2025,13:39:35,26.0,0.5
24-06-2025,13:40:05,26.0,0.5
24-06-2025,13:40:35,26.0,0.5
24-06-2025,13:41:05,26.0,0.5
24-06-2025,13:41:35,26.0,0.5
24-06-2025,13:42:05,26.0,0.5
24-06-2025,13:42:35,26.0,0.5
24-06-2025,13:43:05,26.0,0.5
24-06-2025,13:43:35,26.0,0.5
24-06-2025,13:44:05,26.1,0.5
24-06-2025,13:44:35,26.0,0.5
24-06-2025,13:45:05,26.0,0.5
24-06-2025,13:45:35,26.0,0.5
24-06-2025,13:46:05,26.0,0.5
24-06-2025,13:46:35,26.1,0.5
24-06-2025,13:47:05,26.1,0.5
24-06-2025,13:47:35,26.1,0.5
24-06-2025,13:48:05,26.1,0.5
24-06-2025,13:48:35,26.1,0.5
24-06-2025,13:49:05,26.1,0.5
24-06-2025,13:49:35,26.1,0.5
