Date,Time,Temperature(°C),Interval
2025-04-10,15:22:32,-,1 min
10-04-2025,15:22:32,26.2,1 min
10-04-2025,15:23:32,26.2,1 min
10-04-2025,15:24:32,26.2,1 min
10-04-2025,15:25:32,26.2,1 min
10-04-2025,15:26:32,26.2,1 min
10-04-2025,15:27:32,26.2,1 min
10-04-2025,15:28:32,26.2,1 min
10-04-2025,15:29:32,26.2,1 min
10-04-2025,15:30:32,26.2,1 min
10-04-2025,15:31:32,26.2,1 min
10-04-2025,15:32:32,26.2,1 min
10-04-2025,15:33:32,26.2,1 min
10-04-2025,15:34:32,26.2,1 min
10-04-2025,15:35:32,26.2,1 min
10-04-2025,15:36:32,26.2,1 min
10-04-2025,15:37:32,26.2,1 min
10-04-2025,15:38:32,26.2,1 min
10-04-2025,15:39:32,26.2,1 min
10-04-2025,15:40:32,26.2,1 min
10-04-2025,15:41:32,26.2,1 min
10-04-2025,15:42:32,26.2,1 min
10-04-2025,15:43:32,26.3,1 min
10-04-2025,15:44:32,26.3,1 min
10-04-2025,15:45:32,26.3,1 min
10-04-2025,15:46:32,26.3,1 min
10-04-2025,15:47:32,26.3,1 min
10-04-2025,15:48:32,26.3,1 min
10-04-2025,15:49:32,26.3,1 min
10-04-2025,15:50:32,26.3,1 min
10-04-2025,15:51:32,26.3,1 min
10-04-2025,15:22:32,26.3,1 min
10-04-2025,15:23:32,26.3,1 min
10-04-2025,15:24:32,26.3,1 min
10-04-2025,15:25:32,26.3,1 min
10-04-2025,15:26:32,26.3,1 min
10-04-2025,15:27:32,26.3,1 min
10-04-2025,15:28:32,26.3,1 min
10-04-2025,15:29:32,26.3,1 min
10-04-2025,15:30:32,26.3,1 min
10-04-2025,15:31:32,26.3,1 min
10-04-2025,15:32:32,26.3,1 min
10-04-2025,15:33:32,26.3,1 min
10-04-2025,15:34:32,26.3,1 min
10-04-2025,15:35:32,26.3,1 min
10-04-2025,15:36:32,26.3,1 min
10-04-2025,15:37:32,26.3,1 min
10-04-2025,15:38:32,26.3,1 min
10-04-2025,15:39:32,26.3,1 min
10-04-2025,15:40:32,26.3,1 min
10-04-2025,15:41:32,26.4,1 min
10-04-2025,15:42:32,26.4,1 min
10-04-2025,15:43:32,26.4,1 min
10-04-2025,15:44:32,26.4,1 min
10-04-2025,15:45:32,26.4,1 min
10-04-2025,15:46:32,26.4,1 min
10-04-2025,15:47:32,26.4,1 min
10-04-2025,15:48:32,26.4,1 min
10-04-2025,15:49:32,26.4,1 min
10-04-2025,15:50:32,26.4,1 min
10-04-2025,15:51:32,26.4,1 min
10-04-2025,15:52:32,26.4,1 min
10-04-2025,15:53:32,26.4,1 min
10-04-2025,15:54:32,26.4,1 min
10-04-2025,15:55:32,26.4,1 min
10-04-2025,15:56:32,26.4,1 min
10-04-2025,15:57:32,26.4,1 min
10-04-2025,15:58:32,26.4,1 min
10-04-2025,15:59:32,26.4,1 min
10-04-2025,16:00:32,26.4,1 min
10-04-2025,16:01:32,26.4,1 min
10-04-2025,16:02:32,26.4,1 min
10-04-2025,16:03:32,26.4,1 min
10-04-2025,16:04:32,26.4,1 min
10-04-2025,16:05:32,26.4,1 min
10-04-2025,16:06:32,26.4,1 min
10-04-2025,16:07:32,26.4,1 min
10-04-2025,16:08:32,26.4,1 min
10-04-2025,16:09:32,26.4,1 min
10-04-2025,16:10:32,26.4,1 min
10-04-2025,16:11:32,26.4,1 min
10-04-2025,16:12:32,26.4,1 min
10-04-2025,16:13:32,26.4,1 min
10-04-2025,16:14:32,26.4,1 min
10-04-2025,16:15:32,26.4,1 min
10-04-2025,16:16:32,26.4,1 min
