Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,15:32:19,-,30 sec
24-06-2025,15:32:19,24.6,0.5
24-06-2025,15:32:49,24.6,0.5
24-06-2025,15:33:19,24.6,0.5
24-06-2025,15:33:49,24.6,0.5
24-06-2025,15:34:19,24.6,0.5
24-06-2025,15:34:49,24.6,0.5
24-06-2025,15:35:19,24.6,0.5
24-06-2025,15:35:49,24.6,0.5
24-06-2025,15:36:19,24.6,0.5
24-06-2025,15:36:49,24.6,0.5
24-06-2025,15:37:19,24.6,0.5
24-06-2025,15:37:49,24.6,0.5
24-06-2025,15:38:19,24.6,0.5
24-06-2025,15:38:49,24.6,0.5
24-06-2025,15:39:19,24.6,0.5
24-06-2025,15:39:49,24.6,0.5
24-06-2025,15:40:19,24.6,0.5
24-06-2025,15:40:49,24.6,0.5
24-06-2025,15:41:19,24.6,0.5
24-06-2025,15:41:49,24.6,0.5
24-06-2025,15:42:19,24.6,0.5
24-06-2025,15:42:49,24.6,0.5
24-06-2025,15:43:19,24.6,0.5
24-06-2025,15:43:49,24.6,0.5
24-06-2025,15:44:19,24.6,0.5
24-06-2025,15:44:49,24.6,0.5
24-06-2025,15:45:19,24.6,0.5
24-06-2025,15:45:49,24.6,0.5
24-06-2025,15:46:19,24.6,0.5
24-06-2025,15:46:49,24.6,0.5
24-06-2025,15:47:19,24.6,0.5
24-06-2025,15:47:49,24.6,0.5
24-06-2025,15:48:19,24.6,0.5
24-06-2025,15:48:49,24.6,0.5
24-06-2025,15:49:19,24.6,0.5
24-06-2025,15:49:49,24.6,0.5
24-06-2025,15:50:19,24.6,0.5
24-06-2025,15:50:49,24.6,0.5
24-06-2025,15:51:19,24.6,0.5
24-06-2025,15:51:49,24.6,0.5
24-06-2025,15:52:19,24.6,0.5
24-06-2025,15:52:49,24.6,0.5
24-06-2025,15:53:19,24.6,0.5
24-06-2025,15:53:49,24.6,0.5
24-06-2025,15:54:19,24.6,0.5
24-06-2025,15:54:49,24.6,0.5
24-06-2025,15:55:19,24.6,0.5
24-06-2025,15:55:49,24.6,0.5
24-06-2025,15:56:19,24.6,0.5
24-06-2025,15:56:49,24.6,0.5
24-06-2025,15:57:19,24.6,0.5
24-06-2025,15:57:49,24.6,0.5
24-06-2025,15:58:19,24.6,0.5
24-06-2025,15:58:49,24.6,0.5
24-06-2025,15:59:19,24.6,0.5
24-06-2025,15:59:49,24.6,0.5
24-06-2025,16:00:19,24.6,0.5
24-06-2025,16:00:49,24.6,0.5
24-06-2025,16:01:19,24.6,0.5
24-06-2025,16:01:49,24.6,0.5
24-06-2025,16:02:19,24.6,0.5
