Date,Time,Temperature(°C),Interval(in minutes)
2025-06-25,17:42:47,-,2 min
25-06-2025,17:42:47,35.9,2
25-06-2025,17:44:47,35.6,2
25-06-2025,17:46:47,34.9,2
25-06-2025,17:48:47,34.5,2
25-06-2025,17:50:47,34.3,2
25-06-2025,17:52:47,34.0,2
25-06-2025,17:54:47,33.8,2
25-06-2025,17:56:47,33.6,2
25-06-2025,17:58:47,33.4,2
25-06-2025,18:00:47,33.2,2
25-06-2025,18:02:47,33.1,2
25-06-2025,18:04:47,32.9,2
25-06-2025,18:06:47,32.7,2
25-06-2025,18:08:47,32.6,2
25-06-2025,18:10:47,32.4,2
25-06-2025,18:12:47,32.2,2
25-06-2025,18:14:47,32.1,2
25-06-2025,18:16:47,32.0,2
25-06-2025,18:18:47,33.3,2
25-06-2025,18:20:47,33.3,2
25-06-2025,18:22:47,35.1,2
25-06-2025,18:24:47,35.7,2
25-06-2025,18:26:47,36.0,2
25-06-2025,18:28:47,36.1,2
25-06-2025,18:30:47,36.2,2
25-06-2025,18:32:47,36.2,2
25-06-2025,18:34:47,36.2,2
25-06-2025,18:36:47,36.2,2
25-06-2025,18:38:47,36.1,2
25-06-2025,18:40:47,36.1,2
25-06-2025,18:42:47,36.0,2
25-06-2025,18:44:47,36.1,2
25-06-2025,18:46:47,35.9,2
25-06-2025,18:48:47,36.0,2
25-06-2025,18:50:47,35.9,2
25-06-2025,18:52:47,35.9,2
25-06-2025,18:54:47,35.9,2
25-06-2025,18:56:47,35.8,2
25-06-2025,18:58:47,35.9,2
25-06-2025,19:00:47,35.9,2
25-06-2025,19:02:47,35.1,2
25-06-2025,19:04:47,34.7,2
25-06-2025,19:06:47,34.5,2
25-06-2025,19:08:47,34.2,2
25-06-2025,19:10:47,34.0,2
25-06-2025,19:12:47,34.9,2
25-06-2025,19:14:47,35.5,2
25-06-2025,19:16:47,35.8,2
25-06-2025,19:18:47,35.8,2
25-06-2025,19:20:47,36.0,2
25-06-2025,19:22:47,35.9,2
25-06-2025,19:24:47,36.0,2
25-06-2025,19:26:47,35.8,2
25-06-2025,19:28:47,35.8,2
25-06-2025,19:30:47,36.0,2
25-06-2025,19:32:47,36.0,2
25-06-2025,19:34:47,35.9,2
25-06-2025,19:36:47,35.9,2
25-06-2025,19:38:47,35.9,2
25-06-2025,19:40:47,35.8,2
25-06-2025,19:42:47,35.9,2
25-06-2025,19:44:47,35.8,2
25-06-2025,19:46:47,35.8,2
25-06-2025,19:48:47,35.8,2
25-06-2025,19:50:47,35.8,2
25-06-2025,19:52:47,35.8,2
25-06-2025,19:54:47,35.9,2
25-06-2025,19:56:47,35.9,2
25-06-2025,19:58:47,35.8,2
25-06-2025,20:00:47,35.8,2
25-06-2025,20:02:47,35.8,2
25-06-2025,20:04:47,35.8,2
25-06-2025,20:06:47,35.9,2
25-06-2025,20:08:47,35.9,2
25-06-2025,20:10:47,35.9,2
25-06-2025,20:12:47,35.8,2
25-06-2025,20:14:47,35.9,2
25-06-2025,20:16:47,35.8,2
25-06-2025,20:18:47,35.9,2
25-06-2025,20:20:47,35.9,2
25-06-2025,20:22:47,35.9,2
25-06-2025,20:24:47,35.8,2
25-06-2025,20:26:47,35.8,2
25-06-2025,20:28:47,35.8,2
25-06-2025,20:30:47,35.9,2
25-06-2025,20:32:47,35.9,2
25-06-2025,20:34:47,35.9,2
25-06-2025,20:36:47,35.9,2
25-06-2025,20:38:47,35.8,2
25-06-2025,20:40:47,35.9,2
25-06-2025,20:42:47,35.8,2
25-06-2025,20:44:47,35.9,2
25-06-2025,20:46:47,35.9,2
25-06-2025,20:48:47,35.8,2
25-06-2025,20:50:47,35.8,2
25-06-2025,20:52:47,35.9,2
25-06-2025,20:54:47,35.9,2
25-06-2025,20:56:47,35.8,2
25-06-2025,20:58:47,35.9,2
25-06-2025,21:00:47,35.9,2
25-06-2025,21:02:47,35.8,2
25-06-2025,21:04:47,35.9,2
25-06-2025,21:06:47,35.9,2
25-06-2025,21:08:47,35.8,2
25-06-2025,21:10:47,35.8,2
25-06-2025,21:12:47,35.9,2
25-06-2025,21:14:47,35.8,2
25-06-2025,21:16:47,35.9,2
25-06-2025,21:18:47,35.8,2
25-06-2025,21:20:47,35.9,2
25-06-2025,21:22:47,35.8,2
25-06-2025,21:24:47,35.9,2
25-06-2025,21:26:47,35.9,2
25-06-2025,21:28:47,35.8,2
25-06-2025,21:30:47,35.8,2
25-06-2025,21:32:47,35.8,2
25-06-2025,21:34:47,35.9,2
25-06-2025,21:36:47,35.9,2
25-06-2025,21:38:47,35.8,2
25-06-2025,21:40:47,35.8,2
25-06-2025,21:42:47,35.8,2
25-06-2025,21:44:47,35.8,2
25-06-2025,21:46:47,35.9,2
25-06-2025,21:48:47,35.8,2
25-06-2025,21:50:47,35.8,2
25-06-2025,21:52:47,35.9,2
25-06-2025,21:54:47,35.9,2
25-06-2025,21:56:47,35.9,2
25-06-2025,21:58:47,35.8,2
25-06-2025,22:00:47,35.8,2
25-06-2025,22:02:47,35.8,2
25-06-2025,22:04:47,35.8,2
25-06-2025,22:06:47,35.9,2
25-06-2025,22:08:47,35.9,2
25-06-2025,22:10:47,35.9,2
25-06-2025,22:12:47,35.8,2
25-06-2025,22:14:47,35.8,2
25-06-2025,22:16:47,35.9,2
25-06-2025,22:18:47,35.9,2
25-06-2025,22:20:47,35.8,2
25-06-2025,22:22:47,35.9,2
25-06-2025,22:24:47,35.8,2
25-06-2025,22:26:47,35.9,2
25-06-2025,22:28:47,35.8,2
25-06-2025,22:30:47,35.8,2
25-06-2025,22:32:47,35.9,2
25-06-2025,22:34:47,35.8,2
25-06-2025,22:36:47,35.9,2
25-06-2025,22:38:47,35.8,2
25-06-2025,22:40:47,35.8,2
25-06-2025,22:42:47,35.8,2
25-06-2025,22:44:47,35.8,2
25-06-2025,22:46:47,35.8,2
25-06-2025,22:48:47,35.8,2
25-06-2025,22:50:47,35.8,2
25-06-2025,22:52:47,35.8,2
25-06-2025,22:54:47,35.8,2
25-06-2025,22:56:47,35.8,2
25-06-2025,22:58:47,35.9,2
25-06-2025,23:00:47,35.8,2
25-06-2025,23:02:47,35.8,2
25-06-2025,23:04:47,35.9,2
