Date,Time,Temperature(°C),Interval(in minutes)
2025-06-26,10:34:26,-,2 min
26-06-2025,10:34:26,28.7,2
26-06-2025,10:36:26,28.7,2
26-06-2025,10:38:26,28.7,2
26-06-2025,10:40:26,28.6,2
26-06-2025,10:42:26,28.6,2
26-06-2025,10:44:26,28.9,2
26-06-2025,10:46:26,28.8,2
26-06-2025,10:48:26,28.7,2
26-06-2025,10:50:26,28.8,2
26-06-2025,10:52:26,28.8,2
26-06-2025,10:54:26,28.8,2
26-06-2025,10:56:26,28.8,2
26-06-2025,10:58:26,28.8,2
26-06-2025,11:00:26,28.8,2
26-06-2025,11:02:26,28.9,2
26-06-2025,11:04:26,28.9,2
26-06-2025,11:06:26,28.9,2
26-06-2025,11:08:26,28.8,2
26-06-2025,11:10:26,28.8,2
26-06-2025,11:12:26,28.9,2
26-06-2025,11:14:26,29.0,2
26-06-2025,11:16:26,28.9,2
26-06-2025,11:18:26,28.9,2
26-06-2025,11:20:26,28.9,2
26-06-2025,11:22:26,28.8,2
26-06-2025,11:24:26,28.8,2
26-06-2025,11:26:26,30.6,2
26-06-2025,11:28:26,30.5,2
26-06-2025,11:30:26,29.4,2
26-06-2025,11:32:26,30.2,2
26-06-2025,11:34:26,29.2,2
26-06-2025,11:36:26,29.2,2
26-06-2025,11:38:26,28.9,2
26-06-2025,11:40:26,28.8,2
26-06-2025,11:42:26,28.7,2
26-06-2025,11:44:26,28.6,2
26-06-2025,11:46:26,28.5,2
26-06-2025,11:48:26,28.4,2
26-06-2025,11:50:26,28.5,2
26-06-2025,11:52:26,28.3,2
26-06-2025,11:54:26,28.5,2
26-06-2025,11:56:26,28.6,2
26-06-2025,11:58:26,28.7,2
26-06-2025,12:00:26,28.8,2
26-06-2025,12:02:26,28.5,2
26-06-2025,12:04:26,28.4,2
26-06-2025,12:06:26,28.5,2
26-06-2025,12:08:26,28.6,2
26-06-2025,12:10:26,28.5,2
26-06-2025,12:12:26,28.4,2
26-06-2025,12:14:26,28.2,2
26-06-2025,12:16:26,28.1,2
26-06-2025,12:18:26,28.1,2
26-06-2025,12:20:26,28.3,2
26-06-2025,12:22:26,28.2,2
26-06-2025,12:24:26,28.3,2
26-06-2025,12:26:26,28.1,2
26-06-2025,12:28:26,28.1,2
26-06-2025,12:30:26,28.2,2
26-06-2025,12:32:26,28.2,2
26-06-2025,12:34:26,28.1,2
26-06-2025,12:36:26,27.8,2
26-06-2025,12:38:26,28.1,2
26-06-2025,12:40:26,28.2,2
26-06-2025,12:42:26,28.4,2
26-06-2025,12:44:26,28.4,2
26-06-2025,12:46:26,28.3,2
26-06-2025,12:48:26,28.2,2
26-06-2025,12:50:26,28.3,2
26-06-2025,12:52:26,28.5,2
26-06-2025,12:54:26,28.6,2
26-06-2025,12:56:26,28.5,2
26-06-2025,12:58:26,28.5,2
26-06-2025,13:00:26,28.5,2
26-06-2025,13:02:26,28.4,2
26-06-2025,13:04:26,28.4,2
26-06-2025,13:06:26,28.5,2
26-06-2025,13:08:26,28.5,2
26-06-2025,13:10:26,28.5,2
26-06-2025,13:12:26,28.5,2
26-06-2025,13:14:26,28.5,2
26-06-2025,13:16:26,28.5,2
26-06-2025,13:18:26,28.4,2
26-06-2025,13:20:26,28.5,2
26-06-2025,13:22:26,28.4,2
26-06-2025,13:24:26,28.4,2
26-06-2025,13:26:26,28.4,2
26-06-2025,13:28:26,28.4,2
26-06-2025,13:30:26,28.4,2
26-06-2025,13:32:26,28.3,2
26-06-2025,13:34:26,30.1,2
26-06-2025,13:36:26,31.4,2
26-06-2025,13:38:26,30.4,2
26-06-2025,13:40:26,30.1,2
26-06-2025,13:42:26,30.0,2
26-06-2025,13:44:26,30.0,2
26-06-2025,13:46:26,29.9,2
26-06-2025,13:48:26,30.0,2
26-06-2025,13:50:26,30.0,2
26-06-2025,13:52:26,29.9,2
26-06-2025,13:54:26,29.9,2
26-06-2025,13:56:26,29.9,2
26-06-2025,13:58:26,29.8,2
26-06-2025,14:00:26,29.9,2
26-06-2025,14:02:26,29.8,2
26-06-2025,14:04:26,29.9,2
26-06-2025,14:06:26,29.8,2
26-06-2025,14:08:26,29.8,2
26-06-2025,14:10:26,29.7,2
26-06-2025,14:12:26,29.5,2
26-06-2025,14:14:26,29.6,2
26-06-2025,14:16:26,29.6,2
26-06-2025,14:18:26,29.6,2
26-06-2025,14:20:26,29.6,2
26-06-2025,14:22:26,29.6,2
26-06-2025,14:24:26,29.6,2
26-06-2025,14:26:26,29.5,2
26-06-2025,14:28:26,29.5,2
26-06-2025,14:30:26,29.4,2
26-06-2025,14:32:26,29.5,2
26-06-2025,14:34:26,29.4,2
26-06-2025,14:36:26,29.3,2
26-06-2025,14:38:26,29.2,2
26-06-2025,14:40:26,29.2,2
26-06-2025,14:42:26,29.1,2
26-06-2025,14:44:26,29.1,2
26-06-2025,14:46:26,29.0,2
26-06-2025,14:48:26,29.0,2
26-06-2025,14:50:26,29.1,2
26-06-2025,14:52:26,29.1,2
26-06-2025,14:54:26,28.9,2
26-06-2025,14:56:26,29.0,2
26-06-2025,14:58:26,29.0,2
26-06-2025,15:00:26,29.1,2
26-06-2025,15:02:26,29.1,2
26-06-2025,15:04:26,29.1,2
26-06-2025,15:06:26,29.2,2
26-06-2025,15:08:26,29.2,2
26-06-2025,15:10:26,29.2,2
26-06-2025,15:12:26,29.3,2
26-06-2025,15:14:26,29.3,2
26-06-2025,15:16:26,29.3,2
26-06-2025,15:18:26,29.3,2
26-06-2025,15:20:26,29.3,2
