Date,Time,Temperature(°C),Interval
2025-04-10,11:40:10,-,30 sec
10-04-2025,11:40:10,26.2,30 sec
10-04-2025,11:40:40,26.2,30 sec
10-04-2025,11:41:10,26.2,30 sec
10-04-2025,11:41:40,26.2,30 sec
10-04-2025,11:42:10,26.2,30 sec
10-04-2025,11:42:40,26.2,30 sec
10-04-2025,11:43:10,26.2,30 sec
10-04-2025,11:43:40,26.2,30 sec
10-04-2025,11:44:10,26.2,30 sec
10-04-2025,11:44:40,26.2,30 sec
10-04-2025,11:40:10,26.2,30 sec
10-04-2025,11:40:40,26.2,30 sec
10-04-2025,11:41:10,26.2,30 sec
10-04-2025,11:41:40,26.2,30 sec
10-04-2025,11:42:10,26.2,30 sec
10-04-2025,11:42:40,26.2,30 sec
10-04-2025,11:43:10,26.2,30 sec
10-04-2025,11:43:40,26.2,30 sec
10-04-2025,11:44:10,26.2,30 sec
10-04-2025,11:44:40,26.2,30 sec
10-04-2025,11:40:10,26.2,30 sec
10-04-2025,11:40:40,26.2,30 sec
10-04-2025,11:41:10,26.2,30 sec
10-04-2025,11:41:40,26.2,30 sec
10-04-2025,11:42:10,26.2,30 sec
10-04-2025,11:42:40,26.2,30 sec
10-04-2025,11:43:10,26.2,30 sec
10-04-2025,11:43:40,26.2,30 sec
10-04-2025,11:44:10,26.2,30 sec
10-04-2025,11:44:40,26.2,30 sec
10-04-2025,11:40:10,26.2,30 sec
10-04-2025,11:40:40,26.2,30 sec
10-04-2025,11:41:10,26.2,30 sec
10-04-2025,11:41:40,26.2,30 sec
10-04-2025,11:42:10,26.2,30 sec
10-04-2025,11:42:40,26.2,30 sec
10-04-2025,11:43:10,26.2,30 sec
10-04-2025,11:43:40,26.2,30 sec
10-04-2025,11:44:10,26.2,30 sec
10-04-2025,11:44:40,26.2,30 sec
10-04-2025,11:40:10,26.2,30 sec
10-04-2025,11:40:40,26.2,30 sec
10-04-2025,11:41:10,26.2,30 sec
10-04-2025,11:41:40,26.2,30 sec
10-04-2025,11:42:10,26.2,30 sec
10-04-2025,11:42:40,26.2,30 sec
10-04-2025,11:43:10,26.2,30 sec
10-04-2025,11:43:40,26.2,30 sec
10-04-2025,11:44:10,26.2,30 sec
10-04-2025,11:44:40,26.2,30 sec
10-04-2025,11:40:10,26.2,30 sec
10-04-2025,11:40:40,26.2,30 sec
10-04-2025,11:41:10,26.2,30 sec
10-04-2025,11:41:40,26.2,30 sec
10-04-2025,11:42:10,26.2,30 sec
10-04-2025,11:42:40,26.2,30 sec
10-04-2025,11:43:10,26.2,30 sec
10-04-2025,11:43:40,26.2,30 sec
10-04-2025,11:44:10,26.2,30 sec
10-04-2025,11:44:40,26.2,30 sec
10-04-2025,11:40:10,26.2,30 sec
10-04-2025,11:40:40,26.2,30 sec
10-04-2025,11:41:10,26.2,30 sec
10-04-2025,11:41:40,26.2,30 sec
10-04-2025,11:42:10,26.2,30 sec
10-04-2025,11:42:40,26.2,30 sec
10-04-2025,11:43:10,26.2,30 sec
10-04-2025,11:43:40,26.2,30 sec
10-04-2025,11:44:10,26.2,30 sec
10-04-2025,11:44:40,26.2,30 sec
10-04-2025,11:40:10,26.2,30 sec
10-04-2025,11:40:40,26.1,30 sec
10-04-2025,11:41:10,26.1,30 sec
10-04-2025,11:41:40,26.1,30 sec
10-04-2025,11:42:10,26.2,30 sec
10-04-2025,11:42:40,26.1,30 sec
10-04-2025,11:43:10,26.1,30 sec
10-04-2025,11:43:40,26.1,30 sec
10-04-2025,11:44:10,26.1,30 sec
10-04-2025,11:44:40,26.1,30 sec
10-04-2025,11:40:10,26.1,30 sec
10-04-2025,11:40:40,26.1,30 sec
10-04-2025,11:41:10,26.1,30 sec
10-04-2025,11:41:40,26.1,30 sec
10-04-2025,11:42:10,26.1,30 sec
10-04-2025,11:42:40,26.1,30 sec
10-04-2025,11:43:10,26.1,30 sec
10-04-2025,11:43:40,26.0,30 sec
10-04-2025,11:44:10,26.0,30 sec
10-04-2025,11:44:40,26.0,30 sec
10-04-2025,11:40:10,26.0,30 sec
10-04-2025,11:40:40,26.0,30 sec
10-04-2025,11:41:10,26.0,30 sec
10-04-2025,11:41:40,26.0,30 sec
10-04-2025,11:42:10,26.0,30 sec
10-04-2025,11:42:40,26.0,30 sec
10-04-2025,11:43:10,26.0,30 sec
10-04-2025,11:43:40,26.0,30 sec
10-04-2025,11:44:10,26.0,30 sec
10-04-2025,11:44:40,26.0,30 sec
