Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,11:56:23,-,30 sec
24-06-2025,11:56:23,28.5,0.5
24-06-2025,11:56:53,28.5,0.5
24-06-2025,11:57:23,28.5,0.5
24-06-2025,11:57:53,28.5,0.5
24-06-2025,11:58:23,28.5,0.5
24-06-2025,11:58:53,28.5,0.5
24-06-2025,11:59:23,28.5,0.5
24-06-2025,11:59:53,28.5,0.5
24-06-2025,12:00:23,28.5,0.5
24-06-2025,12:00:53,28.5,0.5
24-06-2025,12:01:23,28.5,0.5
24-06-2025,12:01:53,28.5,0.5
24-06-2025,12:02:23,28.5,0.5
24-06-2025,12:02:53,28.5,0.5
24-06-2025,12:03:23,28.5,0.5
24-06-2025,12:03:53,28.5,0.5
24-06-2025,12:04:23,28.5,0.5
24-06-2025,12:04:53,28.5,0.5
24-06-2025,12:05:23,28.5,0.5
24-06-2025,12:05:53,28.5,0.5
24-06-2025,12:06:23,28.5,0.5
24-06-2025,12:06:53,28.5,0.5
24-06-2025,12:07:23,28.5,0.5
24-06-2025,12:07:53,28.5,0.5
24-06-2025,12:08:23,28.5,0.5
24-06-2025,12:08:53,28.5,0.5
24-06-2025,12:09:23,28.5,0.5
24-06-2025,12:09:53,28.5,0.5
24-06-2025,12:10:23,28.5,0.5
24-06-2025,12:10:53,28.5,0.5
