Date,Time,Temperature(°C),Interval(in minutes)
2025-06-24,15:07:03,-,30 sec
24-06-2025,15:07:03,26.0,0.5
24-06-2025,15:07:33,26.0,0.5
24-06-2025,15:08:03,26.0,0.5
24-06-2025,15:08:33,26.0,0.5
24-06-2025,15:09:03,26.0,0.5
24-06-2025,15:09:33,26.0,0.5
24-06-2025,15:10:03,26.0,0.5
24-06-2025,15:10:33,26.0,0.5
24-06-2025,15:11:03,26.0,0.5
24-06-2025,15:11:33,26.0,0.5
24-06-2025,15:12:03,26.0,0.5
24-06-2025,15:12:33,26.0,0.5
24-06-2025,15:13:03,26.0,0.5
24-06-2025,15:13:33,26.0,0.5
24-06-2025,15:14:03,26.0,0.5
24-06-2025,15:14:33,26.0,0.5
24-06-2025,15:15:03,26.0,0.5
24-06-2025,15:15:33,26.0,0.5
24-06-2025,15:16:03,26.0,0.5
24-06-2025,15:16:33,26.0,0.5
24-06-2025,15:17:03,26.0,0.5
24-06-2025,15:17:33,26.0,0.5
24-06-2025,15:18:03,26.0,0.5
24-06-2025,15:18:33,26.0,0.5
24-06-2025,15:19:03,26.0,0.5
24-06-2025,15:19:33,26.0,0.5
24-06-2025,15:20:03,26.0,0.5
24-06-2025,15:20:33,26.0,0.5
24-06-2025,15:21:03,26.0,0.5
24-06-2025,15:21:33,26.0,0.5
24-06-2025,15:22:03,26.0,0.5
24-06-2025,15:22:33,26.0,0.5
24-06-2025,15:23:03,26.0,0.5
24-06-2025,15:23:33,26.0,0.5
24-06-2025,15:24:03,26.0,0.5
24-06-2025,15:24:33,26.0,0.5
24-06-2025,15:25:03,26.0,0.5
24-06-2025,15:25:33,26.0,0.5
24-06-2025,15:26:03,26.0,0.5
24-06-2025,15:26:33,26.0,0.5
24-06-2025,15:27:03,26.0,0.5
24-06-2025,15:27:33,26.0,0.5
24-06-2025,15:28:03,26.0,0.5
24-06-2025,15:28:33,26.0,0.5
24-06-2025,15:29:03,26.0,0.5
24-06-2025,15:29:33,26.0,0.5
24-06-2025,15:30:03,26.0,0.5
24-06-2025,15:30:33,26.0,0.5
24-06-2025,15:31:03,26.0,0.5
24-06-2025,15:31:33,25.9,0.5
24-06-2025,15:32:03,25.9,0.5
24-06-2025,15:32:33,25.9,0.5
24-06-2025,15:33:03,25.9,0.5
24-06-2025,15:33:33,25.9,0.5
24-06-2025,15:34:03,25.9,0.5
24-06-2025,15:34:33,25.9,0.5
24-06-2025,15:35:03,25.9,0.5
24-06-2025,15:35:33,25.9,0.5
24-06-2025,15:36:03,25.9,0.5
24-06-2025,15:36:33,25.9,0.5
24-06-2025,15:37:03,25.9,0.5
24-06-2025,15:37:33,25.9,0.5
