Date,Time,Temperature(°C),Interval
2025-04-10,11:14:49,-,30 sec
10-04-2025,11:14:49,26.4,30 sec
10-04-2025,11:15:19,26.4,30 sec
10-04-2025,11:15:49,26.4,30 sec
10-04-2025,11:16:19,26.4,30 sec
10-04-2025,11:16:49,26.4,30 sec
10-04-2025,11:17:19,26.4,30 sec
10-04-2025,11:17:49,26.4,30 sec
10-04-2025,11:18:19,26.4,30 sec
10-04-2025,11:18:49,26.4,30 sec
10-04-2025,11:19:19,26.4,30 sec
10-04-2025,11:19:49,26.4,30 sec
10-04-2025,11:20:19,26.4,30 sec
10-04-2025,11:20:49,26.4,30 sec
10-04-2025,11:21:19,26.4,30 sec
10-04-2025,11:21:49,26.4,30 sec
10-04-2025,11:22:19,26.4,30 sec
10-04-2025,11:22:49,26.4,30 sec
10-04-2025,11:23:19,26.4,30 sec
10-04-2025,11:23:49,26.4,30 sec
10-04-2025,11:24:19,26.4,30 sec
10-04-2025,11:24:49,26.4,30 sec
10-04-2025,11:25:19,26.4,30 sec
10-04-2025,11:25:49,26.4,30 sec
10-04-2025,11:26:19,26.4,30 sec
10-04-2025,11:26:49,26.4,30 sec
10-04-2025,11:27:19,26.4,30 sec
10-04-2025,11:27:49,26.4,30 sec
10-04-2025,11:28:19,26.4,30 sec
10-04-2025,11:28:49,26.4,30 sec
10-04-2025,11:29:19,26.4,30 sec
10-04-2025,11:29:49,26.4,30 sec
10-04-2025,11:30:19,26.4,30 sec
10-04-2025,11:30:49,26.4,30 sec
10-04-2025,11:31:19,26.4,30 sec
10-04-2025,11:31:49,26.4,30 sec
10-04-2025,11:32:19,26.4,30 sec
10-04-2025,11:32:49,26.4,30 sec
10-04-2025,11:33:19,26.4,30 sec
10-04-2025,11:33:49,26.4,30 sec
10-04-2025,11:34:19,26.4,30 sec
10-04-2025,11:34:49,26.4,30 sec
10-04-2025,11:35:19,26.4,30 sec
10-04-2025,11:35:49,26.4,30 sec
10-04-2025,11:36:19,26.4,30 sec
10-04-2025,11:36:49,26.4,30 sec
10-04-2025,11:37:19,26.4,30 sec
10-04-2025,11:37:49,26.4,30 sec
10-04-2025,11:38:19,26.4,30 sec
10-04-2025,11:38:49,26.4,30 sec
10-04-2025,11:39:19,26.4,30 sec
10-04-2025,11:39:49,26.4,30 sec
10-04-2025,11:40:19,26.4,30 sec
10-04-2025,11:40:49,26.4,30 sec
10-04-2025,11:41:19,26.4,30 sec
10-04-2025,11:41:49,26.4,30 sec
10-04-2025,11:42:19,26.4,30 sec
10-04-2025,11:42:49,26.4,30 sec
10-04-2025,11:43:19,26.4,30 sec
10-04-2025,11:43:49,26.4,30 sec
10-04-2025,11:44:19,26.4,30 sec
10-04-2025,11:44:49,26.4,30 sec
10-04-2025,11:45:19,26.4,30 sec
10-04-2025,11:45:49,26.4,30 sec
10-04-2025,11:46:19,26.4,30 sec
10-04-2025,11:46:49,26.4,30 sec
10-04-2025,11:47:19,26.4,30 sec
10-04-2025,11:47:49,26.4,30 sec
10-04-2025,11:48:19,26.4,30 sec
10-04-2025,11:48:49,26.4,30 sec
10-04-2025,11:49:19,26.4,30 sec
10-04-2025,11:49:49,26.4,30 sec
10-04-2025,11:50:19,26.4,30 sec
10-04-2025,11:50:49,26.4,30 sec
10-04-2025,11:51:19,26.4,30 sec
10-04-2025,11:51:49,26.4,30 sec
10-04-2025,11:52:19,26.4,30 sec
10-04-2025,11:52:49,26.4,30 sec
10-04-2025,11:53:19,26.4,30 sec
10-04-2025,11:53:49,26.4,30 sec
10-04-2025,11:54:19,26.4,30 sec
10-04-2025,11:54:49,26.4,30 sec
10-04-2025,11:55:19,26.4,30 sec
10-04-2025,11:55:49,26.4,30 sec
10-04-2025,11:56:19,26.4,30 sec
10-04-2025,11:56:49,26.4,30 sec
10-04-2025,11:57:19,26.4,30 sec
10-04-2025,11:57:49,26.4,30 sec
10-04-2025,11:58:19,26.4,30 sec
10-04-2025,11:58:49,26.4,30 sec
10-04-2025,11:59:19,26.4,30 sec
