Date,Time,Temperature(°C),Interval
2025-04-10,11:28:12,-,30 sec
10-04-2025,11:28:12,26.5,30 sec
10-04-2025,11:28:42,26.5,30 sec
10-04-2025,11:29:12,26.5,30 sec
10-04-2025,11:29:42,26.5,30 sec
10-04-2025,11:30:12,26.5,30 sec
10-04-2025,11:30:42,26.5,30 sec
10-04-2025,11:31:12,26.5,30 sec
10-04-2025,11:31:42,26.5,30 sec
10-04-2025,11:32:12,26.5,30 sec
10-04-2025,11:32:42,26.5,30 sec
10-04-2025,11:28:12,26.5,30 sec
10-04-2025,11:28:42,26.5,30 sec
10-04-2025,11:29:12,26.5,30 sec
10-04-2025,11:29:42,26.5,30 sec
10-04-2025,11:30:12,26.5,30 sec
10-04-2025,11:30:42,26.5,30 sec
10-04-2025,11:31:12,26.5,30 sec
10-04-2025,11:31:42,26.5,30 sec
10-04-2025,11:32:12,26.5,30 sec
10-04-2025,11:32:42,26.5,30 sec
10-04-2025,11:28:12,26.5,30 sec
10-04-2025,11:28:42,26.5,30 sec
10-04-2025,11:29:12,26.5,30 sec
10-04-2025,11:29:42,26.5,30 sec
10-04-2025,11:30:12,26.5,30 sec
10-04-2025,11:30:42,26.5,30 sec
10-04-2025,11:31:12,26.5,30 sec
10-04-2025,11:31:42,26.5,30 sec
10-04-2025,11:32:12,26.5,30 sec
10-04-2025,11:32:42,26.5,30 sec
10-04-2025,11:28:12,26.5,30 sec
10-04-2025,11:28:42,26.5,30 sec
10-04-2025,11:29:12,26.5,30 sec
10-04-2025,11:29:42,26.5,30 sec
10-04-2025,11:30:12,26.5,30 sec
10-04-2025,11:30:42,26.5,30 sec
10-04-2025,11:31:12,26.5,30 sec
10-04-2025,11:31:42,26.5,30 sec
10-04-2025,11:32:12,26.5,30 sec
10-04-2025,11:32:42,26.5,30 sec
