Date,Time,Temperature(°C),Interval
2025-05-06,14:31:11,-,30 sec
06-05-2025,14:31:11,28.4,30 sec
06-05-2025,14:31:41,28.4,30 sec
06-05-2025,14:32:11,28.4,30 sec
06-05-2025,14:32:41,28.4,30 sec
06-05-2025,14:33:11,28.4,30 sec
2025-05-06,14:36:11,-,30 sec
06-05-2025,14:36:11,28.6,30 sec
06-05-2025,14:36:41,28.3,30 sec
06-05-2025,14:37:11,28.1,30 sec
06-05-2025,14:37:41,27.9,30 sec
06-05-2025,14:38:11,27.8,30 sec
06-05-2025,14:38:41,27.7,30 sec
06-05-2025,14:39:11,27.6,30 sec
06-05-2025,14:39:41,27.6,30 sec
06-05-2025,14:40:11,27.6,30 sec
06-05-2025,14:40:41,27.6,30 sec
