Date,Time,Temperature(°C),Interval
2025-05-26,21:52:10,-,5 min
26-05-2025,21:52:10,31.7,5 min
26-05-2025,21:57:10,31.7,5 min
26-05-2025,22:02:10,31.7,5 min
26-05-2025,22:07:10,31.7,5 min
26-05-2025,22:12:10,31.7,5 min
26-05-2025,22:17:10,31.7,5 min
26-05-2025,22:22:10,31.7,5 min
26-05-2025,22:27:10,31.8,5 min
26-05-2025,22:32:10,31.8,5 min
26-05-2025,22:37:10,31.8,5 min
26-05-2025,22:42:10,31.8,5 min
26-05-2025,22:47:10,31.7,5 min
26-05-2025,22:52:10,31.8,5 min
26-05-2025,22:57:10,31.8,5 min
26-05-2025,23:02:10,31.8,5 min
26-05-2025,23:07:10,31.8,5 min
26-05-2025,23:12:10,31.8,5 min
26-05-2025,23:17:10,31.8,5 min
26-05-2025,23:22:10,31.8,5 min
26-05-2025,23:27:10,31.8,5 min
26-05-2025,23:32:10,31.8,5 min
26-05-2025,23:37:10,31.8,5 min
26-05-2025,23:42:10,31.8,5 min
26-05-2025,23:47:10,31.8,5 min
26-05-2025,23:52:10,31.8,5 min
26-05-2025,23:57:10,31.8,5 min
27-05-2025,00:02:10,31.8,5 min
27-05-2025,00:07:10,32.0,5 min
27-05-2025,00:12:10,31.8,5 min
27-05-2025,00:17:10,31.9,5 min
27-05-2025,00:22:10,31.9,5 min
27-05-2025,00:27:10,31.9,5 min
27-05-2025,00:32:10,31.9,5 min
27-05-2025,00:37:10,31.9,5 min
27-05-2025,00:42:10,31.8,5 min
27-05-2025,00:47:10,31.9,5 min
27-05-2025,00:52:10,31.9,5 min
27-05-2025,00:57:10,32.0,5 min
27-05-2025,01:02:10,32.0,5 min
27-05-2025,01:07:10,32.0,5 min
27-05-2025,01:12:10,31.9,5 min
27-05-2025,01:17:10,31.9,5 min
27-05-2025,01:22:10,31.9,5 min
27-05-2025,01:27:10,31.9,5 min
27-05-2025,01:32:10,31.9,5 min
27-05-2025,01:37:10,31.8,5 min
27-05-2025,01:42:10,31.8,5 min
27-05-2025,01:47:10,31.8,5 min
27-05-2025,01:52:10,31.8,5 min
27-05-2025,01:57:10,31.8,5 min
27-05-2025,02:02:10,31.8,5 min
27-05-2025,02:07:10,31.8,5 min
27-05-2025,02:12:10,31.8,5 min
27-05-2025,02:17:10,31.8,5 min
27-05-2025,02:22:10,31.8,5 min
27-05-2025,02:27:10,31.8,5 min
27-05-2025,02:32:10,31.8,5 min
27-05-2025,02:37:10,31.8,5 min
27-05-2025,02:42:10,31.8,5 min
27-05-2025,02:47:10,31.8,5 min
27-05-2025,02:52:10,31.7,5 min
27-05-2025,02:57:10,31.7,5 min
27-05-2025,03:02:10,31.7,5 min
27-05-2025,03:07:10,31.7,5 min
27-05-2025,03:12:10,31.8,5 min
27-05-2025,03:17:10,31.8,5 min
27-05-2025,03:22:10,31.8,5 min
27-05-2025,03:27:10,31.8,5 min
27-05-2025,03:32:10,31.7,5 min
27-05-2025,03:37:10,31.7,5 min
