Date,Time,Temperature(°C),Interval
2025-04-15,17:17:52,-,30 sec
15-04-2025,17:17:52,26.0,30 sec
15-04-2025,17:18:22,26.0,30 sec
15-04-2025,17:18:52,26.0,30 sec
15-04-2025,17:19:22,26.0,30 sec
15-04-2025,17:19:52,26.0,30 sec
15-04-2025,17:20:22,26.0,30 sec
15-04-2025,17:20:52,26.0,30 sec
15-04-2025,17:21:22,26.0,30 sec
15-04-2025,17:21:52,26.0,30 sec
15-04-2025,17:22:22,26.0,30 sec
15-04-2025,17:22:52,26.0,30 sec
15-04-2025,17:23:22,26.0,30 sec
15-04-2025,17:23:52,26.0,30 sec
15-04-2025,17:24:22,26.0,30 sec
15-04-2025,17:24:52,26.0,30 sec
15-04-2025,17:25:22,26.0,30 sec
15-04-2025,17:25:52,26.0,30 sec
15-04-2025,17:26:22,26.0,30 sec
15-04-2025,17:26:52,26.0,30 sec
15-04-2025,17:27:22,26.0,30 sec
15-04-2025,17:27:52,26.0,30 sec
15-04-2025,17:28:22,26.0,30 sec
15-04-2025,17:28:52,26.0,30 sec
15-04-2025,17:29:22,26.0,30 sec
15-04-2025,17:29:52,26.0,30 sec
15-04-2025,17:30:22,26.0,30 sec
15-04-2025,17:30:52,26.0,30 sec
15-04-2025,17:31:22,26.0,30 sec
15-04-2025,17:31:52,26.0,30 sec
15-04-2025,17:32:22,26.0,30 sec
15-04-2025,17:32:52,26.0,30 sec
15-04-2025,17:33:22,26.0,30 sec
15-04-2025,17:33:52,26.0,30 sec
15-04-2025,17:34:22,26.0,30 sec
15-04-2025,17:34:52,26.0,30 sec
15-04-2025,17:35:22,26.0,30 sec
15-04-2025,17:35:52,26.0,30 sec
15-04-2025,17:36:22,26.0,30 sec
15-04-2025,17:36:52,26.0,30 sec
15-04-2025,17:37:22,26.0,30 sec
15-04-2025,17:37:52,26.0,30 sec
15-04-2025,17:38:22,26.0,30 sec
15-04-2025,17:38:52,26.0,30 sec
15-04-2025,17:39:22,26.0,30 sec
15-04-2025,17:39:52,26.0,30 sec
15-04-2025,17:40:22,26.0,30 sec
15-04-2025,17:40:52,26.0,30 sec
15-04-2025,17:41:22,26.0,30 sec
15-04-2025,17:41:52,26.0,30 sec
15-04-2025,17:42:22,26.0,30 sec
15-04-2025,17:42:52,26.0,30 sec
15-04-2025,17:43:22,26.0,30 sec
15-04-2025,17:43:52,26.0,30 sec
15-04-2025,17:44:22,25.9,30 sec
15-04-2025,17:44:52,25.9,30 sec
15-04-2025,17:45:22,25.9,30 sec
15-04-2025,17:45:52,25.9,30 sec
15-04-2025,17:46:22,25.9,30 sec
15-04-2025,17:46:52,25.9,30 sec
15-04-2025,17:47:22,25.9,30 sec
15-04-2025,17:47:52,25.9,30 sec
15-04-2025,17:48:22,25.9,30 sec
15-04-2025,17:48:52,25.9,30 sec
15-04-2025,17:49:22,25.9,30 sec
15-04-2025,17:49:52,25.9,30 sec
15-04-2025,17:50:22,25.9,30 sec
15-04-2025,17:50:52,25.9,30 sec
15-04-2025,17:51:22,25.9,30 sec
15-04-2025,17:51:52,25.9,30 sec
15-04-2025,17:52:22,25.9,30 sec
15-04-2025,17:52:52,25.9,30 sec
15-04-2025,17:53:22,25.9,30 sec
15-04-2025,17:53:52,25.9,30 sec
15-04-2025,17:54:22,25.9,30 sec
15-04-2025,17:54:52,25.9,30 sec
15-04-2025,17:55:22,25.9,30 sec
15-04-2025,17:55:52,25.9,30 sec
15-04-2025,17:56:22,25.9,30 sec
15-04-2025,17:56:52,25.9,30 sec
15-04-2025,17:57:22,25.9,30 sec
15-04-2025,17:57:52,25.9,30 sec
15-04-2025,17:58:22,25.9,30 sec
15-04-2025,17:58:52,25.9,30 sec
15-04-2025,17:59:22,26.0,30 sec
15-04-2025,17:59:52,26.0,30 sec
15-04-2025,18:00:22,26.0,30 sec
15-04-2025,18:00:52,26.0,30 sec
15-04-2025,18:01:22,26.0,30 sec
15-04-2025,18:01:52,26.0,30 sec
15-04-2025,18:02:22,26.0,30 sec
15-04-2025,18:02:52,26.0,30 sec
15-04-2025,18:03:22,26.0,30 sec
15-04-2025,18:03:52,26.0,30 sec
15-04-2025,18:04:22,26.0,30 sec
15-04-2025,18:04:52,26.0,30 sec
15-04-2025,18:05:22,26.0,30 sec
15-04-2025,18:05:52,26.0,30 sec
15-04-2025,18:06:22,26.0,30 sec
15-04-2025,18:06:52,26.0,30 sec
15-04-2025,18:07:22,26.0,30 sec
15-04-2025,18:07:52,26.0,30 sec
15-04-2025,18:08:22,26.0,30 sec
15-04-2025,18:08:52,26.0,30 sec
15-04-2025,18:09:22,26.0,30 sec
15-04-2025,18:09:52,26.0,30 sec
15-04-2025,18:10:22,26.0,30 sec
15-04-2025,18:10:52,26.0,30 sec
15-04-2025,18:11:22,26.0,30 sec
15-04-2025,18:11:52,26.0,30 sec
15-04-2025,18:12:22,26.0,30 sec
